,outright,calendar,butterfly,volofvol
2011-01-07,0.470001220703125,0.7000007629394531,0.4199981689453125,1.0699996948242188
2011-01-14,1.6799993515014648,-1.2100000381469727,-0.7299985885620117,7.790000915527344
2011-01-21,-3.0099992752075195,-1.4200010299682617,1.4000005722045898,-9.470001220703125
2011-01-28,-1.5700016021728516,-3.309999465942383,-1.4099979400634766,-6.109992980957031
2011-02-04,4.1100006103515625,4.800000190734863,1.0999994277954102,10.409996032714844
2011-02-11,0.24000072479248047,-1.0699996948242188,-0.6100025177001953,-3.3899993896484375
2011-02-18,-0.7400007247924805,0.909998893737793,0.31000232696533203,-0.970001220703125
2011-02-25,-2.789999008178711,-1.8799991607666016,0.3599987030029297,-0.6999969482421875
2011-03-04,0.15999984741210938,1.0099983215332031,0.22999954223632812,4.689994812011719
2011-03-11,-1.0200004577636719,-0.6399974822998047,-0.7399997711181641,-1.7299957275390625
2011-03-18,-4.3600006103515625,-3.440000534057617,0.34000205993652344,-13.069999694824219
2011-03-25,6.530000686645508,3.510000228881836,-0.9300022125244141,11.75
2011-04-01,0.5100002288818359,1.8999996185302734,1.760000228881836,2.5499954223632812
2011-04-08,-0.470001220703125,-1.6000003814697266,-1.579996109008789,-1.4499969482421875
2011-04-15,2.5500011444091797,2.0500001907348633,-1.290003776550293,-2.2900009155273438
2011-04-22,0.630000114440918,0.43000030517578125,0.8099994659423828,-1.9899978637695312
2011-04-29,-0.06000041961669922,-0.9100008010864258,0.9100008010864258,3.7299957275390625
2011-05-06,-3.6499996185302734,-3.3899993896484375,-0.9099998474121094,-10.449996948242188
2011-05-13,1.3299999237060547,0.9200000762939453,-0.05999946594238281,0.5699996948242188
2011-05-20,-0.3600006103515625,-0.9900016784667969,-0.22999954223632812,3.6299972534179688
2011-05-27,1.4500007629394531,2.390000343322754,1.3299989700317383,8.770004272460938
2011-06-03,-1.970001220703125,-1.859999656677246,-0.5999975204467773,-4.0800018310546875
2011-06-10,-0.9099998474121094,-0.28999900817871094,0.2499980926513672,-7.799995422363281
2011-06-17,-2.989999771118164,-1.8799991607666016,-0.5599994659423828,-1.970001220703125
