per,pl,iv,rv
1993-02,-0.0008275030846073474,0.12420000076293945,0.12748781617912164
1993-03,0.004583305910071809,0.1315999984741211,0.1128505812493532
1993-04,0.0018805448897351237,0.12529999732971192,0.11755655847757152
1993-05,0.0029925337054063014,0.12420000076293945,0.11150384066976285
1993-06,0.009191185933365166,0.1347000026702881,0.09461979066775858
1993-07,0.0062774231773928746,0.11260000228881836,0.0800083579262131
1993-08,0.011223707008021007,0.11729999542236329,0.05035456203826463
1993-09,0.007533903947878507,0.11850000381469726,0.08067432649985222
1993-10,0.012284592267290098,0.12989999771118163,0.06774523701393992
1993-11,0.006156593249270761,0.11460000038146972,0.08352584533042512
1993-12,0.015142061661939868,0.13760000228881836,0.061576772958177574
1994-01,0.008917453558102688,0.1165999984741211,0.06839668183517644
1994-02,-0.00414415076943042,0.10630000114440918,0.12427325139679823
1994-03,0.010337886044658256,0.14869999885559082,0.108507159279904
1994-04,0.02530696995053571,0.20450000762939452,0.12850402005340808
1994-05,0.010068561280339854,0.13770000457763673,0.0943012724216451
1994-06,0.0019263429279594811,0.13029999732971193,0.12268555895525542
1994-07,0.018781643442446597,0.14970000267028807,0.060236594832690046
1994-08,0.00622932350318592,0.11130000114440917,0.07847526203562218
1994-09,0.0034914689410780533,0.11970000267028809,0.10409909556854431
1994-10,0.004622529750784338,0.1427999973297119,0.1255759112512483
1994-11,0.005671634364424756,0.145600004196167,0.12461029996552891
1994-12,0.015436636932937479,0.15949999809265136,0.10001806066215396
1995-01,0.013792520717220997,0.13199999809265137,0.060261752208502606
1995-02,0.008474867773112873,0.11960000038146973,0.07634980234509246
1995-03,0.006597502759535975,0.1175,0.08490434170561612
1995-04,0.013687010325658482,0.1336999988555908,0.06472000748089034
1995-05,-0.0007445683970826195,0.1175,0.12062677313549683
1995-06,0.007389884050922757,0.12850000381469726,0.09551108275720914
1995-07,0.0022435059488346253,0.11380000114440918,0.10347431715953918
1995-08,0.015596904731164835,0.13489999771118164,0.051001025982934656
1995-09,0.008460924934651604,0.11520000457763672,0.06935500068514107
1995-10,0.009317996165476298,0.12739999771118163,0.08314302887995353
1995-11,0.012233420830740877,0.13829999923706054,0.08302691707049029
1995-12,0.0002519530120370962,0.11579999923706055,0.11470696060512688
1996-01,0.000593684184994888,0.12520000457763672,0.12280617639697675
1996-02,-0.0023825126690905016,0.12529999732971192,0.13447156576732613
1996-03,-0.0003339292510998945,0.17040000915527342,0.17137704738738255
