name,per,date,idio,z,mkt,tot,pl,ym
AAPL,2005Q2,2005-04-14,-0.07403270776188517,-3.5001159927353833,-0.013129620935165676,-0.09662679627958758,-3.5001159927353833,2005-04
AAPL,2005Q3,2005-08-12,0.057218130220624504,3.0790888221452692,-0.006157018426138805,0.0466228342854072,-3.0790888221452692,2005-08
AAPL,2005Q4,2005-10-13,0.0882741454575929,5.100946181043442,-0.0005962083608119784,0.08724816119302814,-5.100946181043442,2005-10
AAPL,2006Q1,2006-02-06,-0.06955321547223284,-3.353724294116371,0.0026101259386113185,-0.06542060822945694,-3.353724294116371,2006-02
AAPL,2006Q2,2006-04-05,0.08871746619126002,3.6458262330122975,0.0034406442583039265,0.09416503144906785,-3.6458262330122975,2006-04
AAPL,2006Q3,2006-07-20,0.12268032796684841,6.358061113983277,-0.006866195965819166,0.1118090934570839,-6.358061113983277,2006-07
AAPL,2006Q4,2006-10-19,0.05557140251830708,3.5811342743722094,0.0016093568434936145,0.0581194940296198,-3.5811342743722094,2006-10
AAPL,2007Q1,2007-01-09,0.08079027738534607,5.00501322460742,-0.0008498091610125158,0.07979945918296993,-5.00501322460742,2007-01
AAPL,2007Q2,2007-06-13,-0.041537132486073214,-2.7643497091179734,0.014857162746791275,-0.02421471710089884,-2.7643497091179734,2007-06
AAPL,2007Q3,2007-07-26,0.08967052152795572,4.6733818068940165,-0.023964302273528304,0.061729816733052,-4.6733818068940165,2007-07
AAPL,2007Q4,2007-11-13,0.06516332365532723,2.8548530037021433,0.03002475275776284,0.10017009096151797,-2.8548530037021433,2007-11
AAPL,2008Q1,2008-01-23,-0.13454921801349484,-5.58671177416178,0.023736744737390403,-0.1125674013012894,-5.58671177416178,2008-01
AAPL,2008Q2,2008-06-12,-0.04617261141540138,-2.5540776891093233,0.0038003797189043453,-0.04265320505442105,-2.5540776891093233,2008-06
AAPL,2008Q3,2008-09-29,-0.12190061251648526,-6.129346992595725,-0.08160211845495091,-0.19746964403489953,-6.129346992595725,2008-09
AAPL,2008Q4,2008-10-10,0.109675662877784,3.855502739794119,-0.02455471249588026,0.08693635319244586,-3.855502739794119,2008-10
AAPL,2009Q1,2009-01-22,0.07879857854599288,2.765015373902171,-0.015588662759410177,0.06462889549455075,-2.765015373902171,2009-01
