per,EQ_SPX,EQ_NDX,OIL,GOLD,FX_EUR,RATES
2008-09,-0.19471663748069537,-0.1607668189421794,-0.15497134650754602,-0.23241324640971023,-0.02403085519327084,-27372.2706168691
2008-10,-0.6187803787824324,-0.4241346548404713,-0.007930147444890179,0.021707308035256917,-0.0029156511509067368,14098.013945331862
2008-11,-0.1483864938685337,-0.016515474698737154,-0.20357039949811628,0.12740104097450325,0.03694723946215303,11117.390612739153
2008-12,0.08750597304421262,0.10810828574576636,0.07131087695223015,0.1269040726130123,0.0036652012533896078,24658.314010843973
2009-01,0.00868742652584023,0.009643738861957574,0.1461101224387784,0.07960303427591595,0.02696639487309499,16319.600999184797
2009-02,0.08077978479473796,0.0877993948869494,0.20520571499212753,0.08480655870621795,0.01817112376890714,-3005.8898191443113
2009-03,-0.009210312921864028,0.020580004981899325,-0.05688808419474556,0.08540412859674783,0.0040970093423138565,-10968.35462949828
2009-04,0.1078566346869843,0.12485777931064493,0.331679170830821,0.04950916027075068,0.02101492825429438,521.2404802050733
2009-05,0.057812752543157916,0.07257139249397535,0.16301032131277832,0.049987299008236216,0.008259135359529735,-6311.213030929102
2009-06,0.043855956568824545,0.046815414725100084,0.03604407775329116,0.05113576116610839,0.005396453591681144,441.0385723709296
2009-07,0.03012417932544044,0.02950672565270763,-0.034306046750409325,0.020277487153291897,0.0071160584546396816,4850.395587749703
2009-08,0.04021799500379995,0.03587621188776784,0.07489634660203814,0.026674578187080966,0.0051137614056822114,6602.935473144884
2009-09,0.04470542109593069,0.05241134028118708,0.02939350649776934,0.0186840338536453,0.004785521986811247,8817.99726051181
2009-10,0.020339510513790016,0.02882888794808857,0.11399408677983362,0.01893191053490026,0.005675222632340795,-697.2280084377635
2009-11,0.07104487695991059,0.062328005948021306,0.08515190961661166,0.023791199489239096,0.004450492223203803,9071.356744415096
2009-12,0.049166918794598474,0.04669734640068835,0.11170210288160548,0.004084125387613671,0.008353609167418178,-509.58170090164003
2010-01,0.01893277453989513,0.004243864769283977,0.0780365642767858,0.019644985722150947,0.00554960126669652,6371.202632939723
2010-02,0.029717837953353463,0.03898254311386935,-0.005505113380467552,0.004744542262870417,0.0040674110763845375,-736.3899301966785
2010-03,0.032364467602067626,0.03178014290808249,0.06295144222698065,0.02028223101778032,0.004388461713190055,1927.178778622946
2010-04,0.008017449022210254,0.011945435390602933,0.03055522744284462,0.015007249878602365,0.00336266147355873,-2709.1316654625243
2010-05,-0.053518653198970284,-0.07825773784648957,-0.05683496455471236,0.005685800513277751,-0.00978667384878793,-7030.906867183674
