split,from,to,n_m,cagr_pct,spy_cagr_pct,edge_pp,sharpe,max_dd_pct
A1,2011-01-01,2018-12-31,96,23.853648851409794,14.080900583561906,9.772748267847886,1.2530934102993867,-21.60629371971576
A2,2015-01-01,2021-12-31,84,31.76841763878533,14.712482626251333,17.055935012533997,1.1252790623597195,-21.606293719715755
A3,2018-01-01,2024-12-31,84,25.207577297584027,14.751627095452037,10.45595020213199,0.8844588637289911,-23.34242511365283
R1_GFC,2008-01-01,2010-12-31,36,55.600631787334855,0.047259599882343295,55.55337218745251,1.5107241086477885,-15.723631812619072
R2,2011-01-01,2013-12-31,36,26.781563494125393,15.626222022427317,11.155341471698076,1.429872472172654,-14.4070112210432
R3,2014-01-01,2016-12-31,36,24.191421682284297,16.016169805583935,8.175251876700361,1.4071596704683078,-7.528352211742267
R4,2017-01-01,2019-12-31,36,22.81156983651542,13.04619006076968,9.765379775745743,1.072265290189945,-21.606293719715737
R5_COVID,2020-01-01,2022-12-31,36,34.65853790925018,5.631006725044485,29.027531184205692,0.9519382000294533,-23.342425113652816
R6_AI,2023-01-01,2024-12-31,24,25.472402079450408,35.95093726573664,-10.47853518628623,1.096492490356985,-12.270862970717577
STRICT,2021-01-01,2024-12-31,48,28.767528311634962,18.197401554724934,10.570126756910025,1.152151839197663,-23.342425113652826
