split,from,to,n_m,cagr_pct,spy_cagr_pct,edge_pp,sharpe,max_dd_pct
A1,2011-01-01,2018-12-31,96,25.36388699919052,14.080900583561906,11.282986415628615,1.2895219316114988,-21.664121823671355
A2,2015-01-01,2021-12-31,84,34.99127993371272,14.712482626251333,20.27879730746138,1.1278772812970437,-21.664121823671355
A3,2018-01-01,2024-12-31,84,28.126274954259834,14.751627095452037,13.374647858807798,0.8907573869003076,-25.962498870636193
R1_GFC,2008-01-01,2010-12-31,36,61.43133297884451,0.047259599882343295,61.38407337896217,1.4154424434194917,-23.04386765260224
R2,2011-01-01,2013-12-31,36,28.416728794631464,15.626222022427317,12.790506772204147,1.4660575202550907,-14.126689899706427
R3,2014-01-01,2016-12-31,36,26.504252047251796,16.016169805583935,10.488082241667861,1.469043414742845,-7.604792764163294
R4,2017-01-01,2019-12-31,36,24.215652950762113,13.04619006076968,11.169462889992431,1.098529431519264,-21.664121823671366
R5_COVID,2020-01-01,2022-12-31,36,39.219314384092364,5.631006725044485,33.58830765904788,0.9474939631312419,-25.962498870636225
R6_AI,2023-01-01,2024-12-31,24,27.353842011171015,35.95093726573664,-8.597095254565623,1.1407434845378532,-12.298112279501474
STRICT,2021-01-01,2024-12-31,48,30.811755843267896,18.197401554724934,12.614354288542962,1.1273617187486544,-25.962498870636196
