start,trough,end,depth_pct
2007-10-31,2009-01-30,2009-03-31,-29.135393665790886
2021-12-31,2022-05-31,2022-12-30,-26.020515488105517
2018-09-28,2018-12-31,2019-08-30,-21.664121823671355
2020-08-31,2020-09-30,2020-10-30,-18.98905158619188
2009-05-29,2009-05-29,2009-06-30,-16.74843238311641
2025-01-31,2025-02-28,2025-06-30,-14.747483163704514
2012-02-29,2012-03-30,2012-10-31,-14.126689899706403
2010-04-30,2010-07-30,2010-10-29,-12.659494006482728
2011-06-30,2011-07-29,2011-12-30,-12.558979636218156
2024-01-31,2024-03-28,2024-06-28,-12.3740484154943
