year,year_ret,spy_year_ret,edge_pp
2003,0.07026674214384787,0.09794954900005215,-2.768280685620428
2004,0.17766790692428858,0.0267071588504324,15.096074807385618
2005,0.138193192728298,0.06636005871523576,7.183313401306224
2006,0.22747560936451006,0.19170814749076825,3.57674618737418
2007,0.009025736341889523,-0.017193374914227122,2.6219111256116645
2008,-0.13787724074422747,-0.2935318464536879,15.565460570946044
2009,2.571694227580033,0.09979872158878278,247.18955059912503
2010,0.3662183572603597,0.28887200952876,7.734634773159965
2011,0.1623427928443768,0.08578056398773515,7.656222885664166
2012,0.2312442355300206,0.3004415937584881,-6.919735822846751
2013,0.47974326179546023,0.0948032857889638,38.49399760064964
2014,0.1146156352274037,0.20589780534692448,-9.128217011952078
2015,0.3149401387799069,0.10800093916069242,20.69391996192145
2016,0.3812880555627929,0.16870509407341783,21.258296148937504
2017,0.4797357095722723,0.20114238810573504,27.859332146653728
2018,-0.038353928418873084,-0.01057140678672086,-2.7782521632152224
2019,0.346882045189012,0.2155948183718508,13.12872268171612
2020,0.4946361227081171,0.11610987881121515,37.85262438969019
2021,0.5699481642652107,0.25185764111631626,31.809052314889442
2022,0.14994662893907895,-0.1564470277526845,30.639365669176343
2023,0.5876894247455462,0.22232486036609855,36.536456437944764
2024,0.02154746527997209,0.5120904386986389,-49.05429734186668
2025,0.2106574354760149,0.1601629026607252,5.0494532815289705
