name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats,wf_n_splits,universe,strat
PIT_SP500|v3_baseline,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,PIT_SP500,v3_baseline
PIT_SP500|v5_chr_q0.4_k3_ew,0.4481362715456887,0.12725478443785376,32.08814871078349,1.03558644651507,-0.4982861928502925,4,0.45860399893579257,0.43832658350017706,0.17006813149774525,1.0879351638068608,31.054380159635805,10,10,10,PIT_SP500,v5_chr_q0.4_k3_ew
PIT_SP500|v5_chr_q0.45_k2_iv4,0.4663285141965945,0.12725478443785376,33.907372975874075,0.9534392401050555,-0.6906744930515392,4,0.5128201790981346,0.48403862467168035,0.21889615184793998,0.7637908978018024,36.47599817587001,10,10,10,PIT_SP500,v5_chr_q0.45_k2_iv4
PIT_SP500|v5_chr_q0.45_k3_iv4,0.43864629694883184,0.12725478443785376,31.139151251097807,1.0627352046927585,-0.4841335600608197,4,0.4715628096454572,0.4348503729834512,0.2308054868545717,1.0458558656075327,32.35026123060226,10,10,10,PIT_SP500,v5_chr_q0.45_k3_iv4
broader_1833|v3_baseline,0.509418511805847,0.09402857386360575,41.53899379422412,0.9117075621694972,-0.6245230993469499,4,0.5183160715448172,0.41779949031327124,0.1372785194246291,1.2375020707770892,37.02558742053826,10,10,10,broader_1833,v3_baseline
broader_1833|v5_chr_q0.4_k3_ew,0.4919712759301218,0.09402857386360575,39.7942702066516,0.8981772846636356,-0.6806605070750479,4,0.49777129239269835,0.4219799999276148,0.1372785194246291,1.2373330718214093,34.971109505326375,10,9,10,broader_1833,v5_chr_q0.4_k3_ew
broader_1833|v5_chr_q0.45_k2_iv4,0.34723841414694645,0.09402857386360575,25.32098402833407,0.675485402816565,-0.8601116413299654,4,0.39054477745368354,0.31859581161868045,-0.26035811550229815,1.1550264404505355,24.24845801142489,9,7,10,broader_1833,v5_chr_q0.45_k2_iv4
broader_1833|v5_chr_q0.45_k3_iv4,0.517891180901698,0.09402857386360575,42.38626070380922,0.9747964967878787,-0.6671902083042682,4,0.5782042002190344,0.4930847053283576,0.09382942147220108,1.380119790115907,43.01440028795997,10,9,10,broader_1833,v5_chr_q0.45_k3_iv4
non_SP500_PIT|v3_baseline,0.482154521099756,0.09402857386360575,38.81259472361502,0.8956195451276143,-0.6245230993469499,4,0.510252856252802,0.425327686297873,0.21374120097888638,0.9994699833695622,36.21926589133674,10,10,10,non_SP500_PIT,v3_baseline
non_SP500_PIT|v5_chr_q0.4_k3_ew,0.5027104596019891,0.09402857386360575,40.86818857383834,0.9226082337279019,-0.605104289145113,4,0.5481778464243735,0.467576959568214,0.21374120097888638,0.9993189630225796,40.01176490849389,10,9,10,non_SP500_PIT,v5_chr_q0.4_k3_ew
non_SP500_PIT|v5_chr_q0.45_k2_iv4,0.3709100183026144,0.09402857386360575,27.688144443900864,0.7107497313275983,-0.7679523621780789,4,0.4624151464186907,0.3790545216722848,-0.26035811550229815,1.5129102182121459,31.435494907925612,9,8,10,non_SP500_PIT,v5_chr_q0.45_k2_iv4
non_SP500_PIT|v5_chr_q0.45_k3_iv4,0.5203534484883585,0.09402857386360575,42.632487462475275,0.9939514652811811,-0.6169462640012117,4,0.6272471327301017,0.6064656847307788,0.16758251371791144,1.0482601025824971,47.9186935390667,10,10,10,non_SP500_PIT,v5_chr_q0.45_k3_iv4
random_500_seed1|v3_baseline,0.5692358650851559,0.09402857386360575,47.52072912215502,0.9833739900108119,-0.6495279740493646,4,0.6209169175988329,0.5882390355038462,0.20221546135331603,1.5392628489720677,47.28567202593983,10,10,10,random_500_seed1,v3_baseline
random_500_seed1|v5_chr_q0.4_k3_ew,0.6166599854391666,0.09402857386360575,52.26314115755608,1.0386797164030104,-0.6495279740493646,4,0.7077361753860354,0.6384697975201767,0.16361864489362232,1.9577655308151325,55.967597804660066,10,10,10,random_500_seed1,v5_chr_q0.4_k3_ew
random_500_seed1|v5_chr_q0.45_k2_iv4,0.5253768382398925,0.09402857386360575,43.13482643762867,0.8872444141897815,-0.7533852032772791,4,0.7733550703361588,0.673957398965737,0.34611217488231505,1.8598727015510632,62.52948729967242,10,10,10,random_500_seed1,v5_chr_q0.45_k2_iv4
random_500_seed1|v5_chr_q0.45_k3_iv4,0.5810101321782826,0.09402857386360575,48.69815583146768,1.0621113350754345,-0.6247145128964371,4,0.6709122528127367,0.5909639931859167,0.2122516024906882,1.8445025140271665,52.2852055473302,10,10,10,random_500_seed1,v5_chr_q0.45_k3_iv4
random_500_seed2|v3_baseline,0.4060382184988034,0.09402857386360575,31.200964463519764,0.7333611995767155,-0.8141194745287496,4,0.4749526965864437,0.44412183541483197,-0.12334965246421592,1.5338093012280742,32.68924992470092,9,6,10,random_500_seed2,v3_baseline
random_500_seed2|v5_chr_q0.4_k3_ew,0.3785097596600915,0.09402857386360575,28.448118579648572,0.7079155602887561,-0.8087496711478749,4,0.43562789292163806,0.3536033593230381,-0.21108030819999213,1.5338093012280742,28.75676955822035,8,7,10,random_500_seed2,v5_chr_q0.4_k3_ew
random_500_seed2|v5_chr_q0.45_k2_iv4,0.3403870809202194,0.09402857386360575,24.635850705661365,0.6684344360251677,-0.7980780758118575,4,0.34535973293427247,0.23664427938656962,-0.18283347293054508,1.303763106193431,19.729953559483793,8,7,10,random_500_seed2,v5_chr_q0.45_k2_iv4
random_500_seed2|v5_chr_q0.45_k3_iv4,0.4076754544282879,0.09402857386360575,31.364688056468214,0.7427627703502891,-0.7785951853690053,4,0.4686166277973525,0.40869270709858907,-0.12843932999999097,1.4288743662307755,32.05564304579178,9,8,10,random_500_seed2,v5_chr_q0.45_k3_iv4
random_500_seed3|v3_baseline,0.46951023106962175,0.09402857386360575,37.5481657206016,0.8939943163239887,-0.7291735950089752,4,0.44949464696426517,0.40377271605462794,-0.019224250642727814,1.4924552408480962,30.143444962483063,9,7,10,random_500_seed3,v3_baseline
random_500_seed3|v5_chr_q0.4_k3_ew,0.4592664403950175,0.09402857386360575,36.52378665314118,0.869079387519646,-0.7852725782771014,4,0.4173687322556213,0.26519087681788556,0.11121248789096816,1.47698125755675,26.93085349161867,10,8,10,random_500_seed3,v5_chr_q0.4_k3_ew
random_500_seed3|v5_chr_q0.45_k2_iv4,0.38668986348233014,0.09402857386360575,29.26612896187244,0.7455549477347767,-0.7927576339565272,4,0.4259510249521387,0.488985316005651,-0.04653156866760755,1.280696281548778,27.789082761270407,8,7,10,random_500_seed3,v5_chr_q0.45_k2_iv4
random_500_seed3|v5_chr_q0.45_k3_iv4,0.4873959435308488,0.09402857386360575,39.3367369667243,0.9334885465101254,-0.8047178037623127,4,0.5113885848935331,0.42436092875258113,0.15335826988092527,1.4817147450115278,36.332838755409846,10,9,10,random_500_seed3,v5_chr_q0.45_k3_iv4
