asof,in_panel
2003,0.5141700404858299
2004,0.5218123631463703
2005,0.5294018817204301
2006,0.5504694835680751
2007,0.5726022803487593
2008,0.5925615681018596
2009,0.618443033745406
2010,0.6460843373493976
2011,0.6581153588195842
2012,0.6695171026156942
2013,0.6864520456069751
2014,0.7010705921712947
2015,0.7214178731902147
2016,0.7480626545754329
2017,0.7833964750452973
2018,0.8052119412831932
2019,0.8287037037037037
2020,0.8583002645502645
2021,0.8849206349206349
2022,0.9154509283819628
2023,0.9412350597609562
2024,0.951701244813278
2025,0.9631474103585658
