period,from,to,n_m,cagr,spy_cagr,edge_pp
2003-2009 (GFC era),2003-09-30,2009-12-31,76,0.48775655724932365,0.014271458158998218,47.34850990903254
2010-2014 (Recovery),2010-01-01,2014-12-31,60,0.2926175898644481,0.19162021148052988,10.099737838391821
2015-2019 (Pre-COVID),2015-01-01,2019-12-31,60,0.32756804359356617,0.1334505333770517,19.411751021651448
2020-2025 (COVID era),2020-01-01,2025-12-31,72,0.5252941594699871,0.16710413347035136,35.81900259996358
Full 2003-2025,2003-09-30,2025-12-31,268,0.4147905119871267,0.1194382410561079,29.53522709310188
