name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats,wf_n_splits,sl,tp,sm,st,gate,kn,kr,kb,h,w
sl-1.0|tp0.75|sm0|st-1000000000.0|multi|k333|h6|ew,0.39768588467284216,0.12725478443785376,27.04311002349884,0.9210079171310935,-0.4926663357180208,4,0.437528125507782,0.43851688514773324,0.10946879204181159,0.9730384295033623,28.946792816834737,10,9,10,-1.0,0.75,0,-1000000000.0,multi,3,3,3,6,ew
sl-1.0|tp0.75|sm0|st0.5|multi|k333|h6|ew,0.39768588467284216,0.12725478443785376,27.04311002349884,0.9210079171310935,-0.4926663357180208,4,0.437528125507782,0.43851688514773324,0.10946879204181159,0.9730384295033623,28.946792816834737,10,9,10,-1.0,0.75,0,0.5,multi,3,3,3,6,ew
sl-1.0|tp0.75|sm0|st0.55|multi|k333|h6|ew,0.39768588467284216,0.12725478443785376,27.04311002349884,0.9210079171310935,-0.4926663357180208,4,0.437528125507782,0.43851688514773324,0.10946879204181159,0.9730384295033623,28.946792816834737,10,9,10,-1.0,0.75,0,0.55,multi,3,3,3,6,ew
sl-1.0|tp1.5|sm0|st0.5|multi|k333|h6|ew,0.40394629215215283,0.12725478443785376,27.669150771429905,0.9549954270537974,-0.4926663357180208,4,0.4350058984574809,0.39897919814733074,0.14492104439496223,1.1579403480495896,28.69457011180463,10,9,10,-1.0,1.5,0,0.5,multi,3,3,3,6,ew
sl-1.0|tp1.5|sm0|st0.55|multi|k333|h6|ew,0.40394629215215283,0.12725478443785376,27.669150771429905,0.9549954270537974,-0.4926663357180208,4,0.4350058984574809,0.39897919814733074,0.14492104439496223,1.1579403480495896,28.69457011180463,10,9,10,-1.0,1.5,0,0.55,multi,3,3,3,6,ew
sl-1.0|tp1.5|sm0|st-1000000000.0|multi|k333|h6|ew,0.40394629215215283,0.12725478443785376,27.669150771429905,0.9549954270537974,-0.4926663357180208,4,0.4350058984574809,0.39897919814733074,0.14492104439496223,1.1579403480495896,28.69457011180463,10,9,10,-1.0,1.5,0,-1000000000.0,multi,3,3,3,6,ew
sl-1.0|tp0.75|sm0|st0.5|breadth_tight|k333|h6|ew,0.39407322835593606,0.12725478443785376,26.68184439180823,0.9270511984066426,-0.4982861928502928,4,0.43376308416144027,0.43851688514773324,0.10946879204181159,0.935388016039945,28.570288682200566,10,9,10,-1.0,0.75,0,0.5,breadth_tight,3,3,3,6,ew
sl-1.0|tp0.75|sm0|st-1000000000.0|breadth_tight|k333|h6|ew,0.39407322835593606,0.12725478443785376,26.68184439180823,0.9270511984066426,-0.4982861928502928,4,0.43376308416144027,0.43851688514773324,0.10946879204181159,0.935388016039945,28.570288682200566,10,9,10,-1.0,0.75,0,-1000000000.0,breadth_tight,3,3,3,6,ew
sl-1.0|tp0.75|sm0|st0.5|tight|k333|h6|ew,0.39407322835593606,0.12725478443785376,26.68184439180823,0.9270511984066426,-0.4982861928502928,4,0.43376308416144027,0.43851688514773324,0.10946879204181159,0.935388016039945,28.570288682200566,10,9,10,-1.0,0.75,0,0.5,tight,3,3,3,6,ew
sl-1.0|tp0.75|sm0|st-1000000000.0|tight|k333|h6|ew,0.39407322835593606,0.12725478443785376,26.68184439180823,0.9270511984066426,-0.4982861928502928,4,0.43376308416144027,0.43851688514773324,0.10946879204181159,0.935388016039945,28.570288682200566,10,9,10,-1.0,0.75,0,-1000000000.0,tight,3,3,3,6,ew
sl-1.0|tp0.75|sm0|st0.55|breadth_tight|k333|h6|ew,0.39407322835593606,0.12725478443785376,26.68184439180823,0.9270511984066426,-0.4982861928502928,4,0.43376308416144027,0.43851688514773324,0.10946879204181159,0.935388016039945,28.570288682200566,10,9,10,-1.0,0.75,0,0.55,breadth_tight,3,3,3,6,ew
sl-1.0|tp0.75|sm0|st0.55|tight|k333|h6|ew,0.39407322835593606,0.12725478443785376,26.68184439180823,0.9270511984066426,-0.4982861928502928,4,0.43376308416144027,0.43851688514773324,0.10946879204181159,0.935388016039945,28.570288682200566,10,9,10,-1.0,0.75,0,0.55,tight,3,3,3,6,ew
sl-1.0|tp1.5|sm1|st-1000000000.0|multi|k333|h6|ew,0.4017283810751344,0.12725478443785376,27.447359663728065,0.9525284437517788,-0.4926663357180208,4,0.4324809334759448,0.39897919814733074,0.14492104439496223,1.1326906982342284,28.442073613651026,10,9,10,-1.0,1.5,1,-1000000000.0,multi,3,3,3,6,ew
sl-1.0|tp1.5|sm1|st0.5|multi|k333|h6|ew,0.4017283810751344,0.12725478443785376,27.447359663728065,0.9525284437517788,-0.4926663357180208,4,0.4324809334759448,0.39897919814733074,0.14492104439496223,1.1326906982342284,28.442073613651026,10,9,10,-1.0,1.5,1,0.5,multi,3,3,3,6,ew
sl-1.0|tp1.5|sm1|st0.55|multi|k333|h6|ew,0.4017283810751344,0.12725478443785376,27.447359663728065,0.9525284437517788,-0.4926663357180208,4,0.4324809334759448,0.39897919814733074,0.14492104439496223,1.1326906982342284,28.442073613651026,10,9,10,-1.0,1.5,1,0.55,multi,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm0|st0.5|multi|k333|h6|ew,0.40136277906926043,0.12725478443785376,27.410799463140666,0.9481560907513833,-0.4926663357180208,4,0.432067181674565,0.39897919814733074,0.14492104439496223,1.1285531802204303,28.400698433513043,10,9,10,-1.0,1000000000.0,0,0.5,multi,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm0|st-1000000000.0|multi|k333|h6|ew,0.40136277906926043,0.12725478443785376,27.410799463140666,0.9481560907513833,-0.4926663357180208,4,0.432067181674565,0.39897919814733074,0.14492104439496223,1.1285531802204303,28.400698433513043,10,9,10,-1.0,1000000000.0,0,-1000000000.0,multi,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm1|st0.55|multi|k333|h6|ew,0.40136277906926043,0.12725478443785376,27.410799463140666,0.9481560907513833,-0.4926663357180208,4,0.432067181674565,0.39897919814733074,0.14492104439496223,1.1285531802204303,28.400698433513043,10,9,10,-1.0,1000000000.0,1,0.55,multi,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm0|st0.55|multi|k333|h6|ew,0.40136277906926043,0.12725478443785376,27.410799463140666,0.9481560907513833,-0.4926663357180208,4,0.432067181674565,0.39897919814733074,0.14492104439496223,1.1285531802204303,28.400698433513043,10,9,10,-1.0,1000000000.0,0,0.55,multi,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm1|st0.5|multi|k333|h6|ew,0.40136277906926043,0.12725478443785376,27.410799463140666,0.9481560907513833,-0.4926663357180208,4,0.432067181674565,0.39897919814733074,0.14492104439496223,1.1285531802204303,28.400698433513043,10,9,10,-1.0,1000000000.0,1,0.5,multi,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm1|st-1000000000.0|multi|k333|h6|ew,0.40136277906926043,0.12725478443785376,27.410799463140666,0.9481560907513833,-0.4926663357180208,4,0.432067181674565,0.39897919814733074,0.14492104439496223,1.1285531802204303,28.400698433513043,10,9,10,-1.0,1000000000.0,1,-1000000000.0,multi,3,3,3,6,ew
sl-1.0|tp1.5|sm0|st0.55|breadth_tight|k333|h6|ew,0.4003174543019892,0.12725478443785376,27.30626698641354,0.9624185764694916,-0.49828619285029263,4,0.4308880188906897,0.39897919814733074,0.14492104439496223,1.1167615523816772,28.28278215512551,10,9,10,-1.0,1.5,0,0.55,breadth_tight,3,3,3,6,ew
sl-1.0|tp1.5|sm0|st0.5|breadth_tight|k333|h6|ew,0.4003174543019892,0.12725478443785376,27.30626698641354,0.9624185764694916,-0.49828619285029263,4,0.4308880188906897,0.39897919814733074,0.14492104439496223,1.1167615523816772,28.28278215512551,10,9,10,-1.0,1.5,0,0.5,breadth_tight,3,3,3,6,ew
