split,from,to,n_m,cagr,spy_cagr,edge_pp,sharpe,spy_sharpe,max_dd,n_cash
A1,2011-01-01,2018-12-31,96,0.19010590121776505,0.14080900583561906,4.929689538214599,0.7369700775416926,1.2085119984215418,-0.3654857183192382,1
A2,2015-01-01,2021-12-31,84,0.4064884198970269,0.14712482626251333,25.936359363451356,0.9527027409123543,1.053678658214403,-0.36548571831923826,1
A3,2018-01-01,2024-12-31,84,0.3608190684668937,0.14751627095452036,21.330279751237335,0.8540236274340984,0.8928253548083755,-0.36548571831923815,1
R1_GFC,2008-01-01,2010-12-31,36,0.9141298933883593,0.00047259599882343295,91.36572973895358,1.1350150733773887,0.10791611069788355,-0.4745918757975244,3
R2,2011-01-01,2013-12-31,36,0.21968965328465817,0.15626222022427316,6.342743306038501,0.9484222837249985,1.2822816440152383,-0.2588309514409096,0
R3,2014-01-01,2016-12-31,36,0.27402762729166086,0.16016169805583935,11.38659292358215,0.8970697029851228,1.320771901567261,-0.27708821521975935,0
R4,2017-01-01,2019-12-31,36,0.15951182991723978,0.1304619006076968,2.9049929309542977,0.6334895005736052,1.1321684100078229,-0.36548571831923826,1
R5_COVID,2020-01-01,2022-12-31,36,0.6150283828130543,0.05631006725044485,55.87183155626094,1.0230834049773339,0.361026156471094,-0.3243997455617716,0
R6_AI,2023-01-01,2024-12-31,24,0.29187382686806695,0.3595093726573664,-6.763554578929942,1.0057653637125235,2.67043916609621,-0.14437475460943283,0
STRICT,2021-01-01,2024-12-31,48,0.3451815067587909,0.18197401554724935,16.320749121154154,0.9701115904439713,1.0430246729529726,-0.32439974556177154,0
