name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats,wf_n_splits
chr_p70_q0.45_k2,0.4556946783454614,0.12725478443785376,32.84398939076076,0.93840409640783,-0.6906744930515392,4,0.49060774298431004,0.46872984275320384,0.17311374397076107,0.7637908978018024,34.25475456448754,10,10,10
chr_p70_q0.50_k2,0.45474241169037866,0.12725478443785376,32.74876272525249,0.9356283897134126,-0.6906744930515392,4,0.48764121187161036,0.46872984275320384,0.17311374397076107,0.7637908978018024,33.95810145321757,10,10,10
chr_p70_q0.35_k2,0.42649148258668856,0.12725478443785376,29.923669814883482,0.8973449549122852,-0.6906744930515392,4,0.47566347036891904,0.45532802569636444,0.17311374397076107,0.7637908978018024,32.76032730294844,10,10,10
chr_p70_q0.40_k2,0.4403540025859518,0.12725478443785376,31.309921814809805,0.9158957405285858,-0.6906744930515392,4,0.47566347036891904,0.45532802569636444,0.17311374397076107,0.7637908978018024,32.76032730294844,10,10,10
chr_p90_rk_q0.70,0.4211183558309364,0.12725478443785376,29.38635713930826,0.9820142172801696,-0.4982861928502928,4,0.47059671036971223,0.4344917848409958,0.17557353570344048,1.1386207018892223,32.25365130302776,10,10,10
chr_p70_q0.30_k2,0.4208058269897148,0.12725478443785376,29.355104255186106,0.8897098010605576,-0.6906744930515392,4,0.4686631257105957,0.45363574097066295,0.16539343474963708,0.7637908978018024,32.06029283711611,10,10,10
chr_p90_rk_q0.55,0.4500788451212505,0.12725478443785376,32.282406068339675,1.03437072262804,-0.49828619285029274,4,0.4682873954573613,0.4380647843755011,0.12829735232515138,1.1386207018892223,32.02271981179266,10,9,10
chr_p70_rk_q0.45,0.44341047793986443,0.12725478443785376,31.615569350201067,1.0257656872424443,-0.49828619285029274,4,0.4647932333306922,0.43122394826998167,0.1362166955567381,1.0879351638068608,31.673303599125774,10,9,10
chr_p70_q0.45_k3,0.44341047793986443,0.12725478443785376,31.615569350201067,1.0257656872424443,-0.49828619285029274,4,0.4647932333306922,0.43122394826998167,0.1362166955567381,1.0879351638068608,31.673303599125774,10,9,10
chr_p90_rk_q0.25,0.43552433447917616,0.12725478443785376,30.826955004132238,1.0129450065896979,-0.4982861928502928,4,0.4612109072153494,0.4376351440878693,0.17357947969248255,1.0879351638068608,31.31507098759148,10,10,10
chr_p70_q0.4_invvol_cap0.4,0.4373369006408021,0.12725478443785376,31.008211620294833,1.0653257717981452,-0.4841335600608198,4,0.4609096742652077,0.41784203855726154,0.2308054868545717,1.0458558656075327,31.284947692577298,10,10,10
chr_p70_rk_q0.35,0.44387253025344897,0.12725478443785376,31.66177458155952,1.0284507082670018,-0.4982861928502928,4,0.45860399893579257,0.43832658350017706,0.17006813149774525,1.0879351638068608,31.054380159635805,10,10,10
