name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats,wf_n_splits,name_suffix,k_normal,k_recovery,k_bull,weighting,regime_gate,hold_months,stop_loss_pct,take_profit_pct,score_threshold_pct,scorer
ml_3plus6|k2_h12_tp1.0,0.5077987214446129,0.12725478443785376,38.05439370067592,1.0401424547566787,-0.7244967704356283,4,0.7147373634816242,0.6627140877993716,0.038493070787188666,1.829266720928174,56.66771661421897,10,9,10,k2_h12_tp1.0,2,2,2,ew,tight,12,0.0,1.0,0.0,ml_3plus6
ml_3plus6|k2_h12_tp0.5,0.5067239800036292,0.12725478443785376,37.94691955657754,1.1495502308553547,-0.7244967704356282,4,0.6662930000514624,0.7243413161179016,0.06791573736812784,1.4690932934384362,51.82328027120278,10,9,10,k2_h12_tp0.5,2,2,2,ew,tight,12,0.0,0.5,0.0,ml_3plus6
ml_3plus6|k2_h12_tp0.75,0.5098350661481434,0.12725478443785376,38.25802817102897,1.0681515495492648,-0.7244967704356282,4,0.6650436134062363,0.6940148874692122,0.08490771501891681,1.40873051475684,51.698341606680174,10,9,10,k2_h12_tp0.75,2,2,2,ew,tight,12,0.0,0.75,0.0,ml_3plus6
ml_3plus6|k3_h12_tp1.0,0.5559585760519581,0.12725478443785376,42.87037916141043,1.2243064581084644,-0.5876047160434916,4,0.6635339669413609,0.6274567080352749,0.2154855552449988,1.4841167006073088,51.54737696019263,10,10,10,k3_h12_tp1.0,3,3,3,ew,tight,12,0.0,1.0,0.0,ml_3plus6
ml_3plus6|k2_h12_tp0.6,0.5041241378079349,0.12725478443785376,37.68693533700811,1.1333398331079294,-0.7244967704356283,4,0.6571419939582313,0.6892233639105331,0.14334056742362833,1.3185896708258507,50.90817966187967,10,9,10,k2_h12_tp0.6,2,2,2,ew,tight,12,0.0,0.6,0.0,ml_3plus6
ml_3plus6|k3_h6_tp0.5,0.5520404726238652,0.12725478443785376,42.47856881860115,1.2718280279341205,-0.4745918757975244,4,0.6456280927880649,0.5450096183922034,0.25560783514464447,1.2068271519787652,49.75678954486303,10,10,10,k3_h6_tp0.5,3,3,3,ew,tight,6,0.0,0.5,0.0,ml_3plus6
ml_3plus6|k3_h6_tp0.5_thr0.2,0.5520404726238652,0.12725478443785376,42.47856881860115,1.2718280279341205,-0.4745918757975244,4,0.6456280927880649,0.5450096183922034,0.25560783514464447,1.2068271519787652,49.75678954486303,10,10,10,k3_h6_tp0.5_thr0.2,3,3,3,ew,tight,6,0.0,0.5,0.2,ml_3plus6
ml_3plus6|k3_h6_tp0.5_thr0.1,0.5520404726238652,0.12725478443785376,42.47856881860115,1.2718280279341205,-0.4745918757975244,4,0.6456280927880649,0.5450096183922034,0.25560783514464447,1.2068271519787652,49.75678954486303,10,10,10,k3_h6_tp0.5_thr0.1,3,3,3,ew,tight,6,0.0,0.5,0.1,ml_3plus6
ml_3plus6|k3_h6_tp0.5_thr0.05,0.5520404726238652,0.12725478443785376,42.47856881860115,1.2718280279341205,-0.4745918757975244,4,0.6456280927880649,0.5450096183922034,0.25560783514464447,1.2068271519787652,49.75678954486303,10,10,10,k3_h6_tp0.5_thr0.05,3,3,3,ew,tight,6,0.0,0.5,0.05,ml_3plus6
ml_3plus6|k3_h6_tp0.5_gate_v4,0.5520404726238652,0.12725478443785376,42.47856881860115,1.2718280279341205,-0.4745918757975244,4,0.6456280927880649,0.5450096183922034,0.25560783514464447,1.2068271519787652,49.75678954486303,10,10,10,k3_h6_tp0.5_gate_v4,3,3,3,ew,v4,6,0.0,0.5,0.0,ml_3plus6
