split,from,to,n_m,cagr,sharpe,max_dd,spy_cagr,edge_pp,n_cash
A1,2011-01-01,2018-12-31,96,0.27443805850601555,1.0671609134158202,-0.4584918406598707,0.14080900583561906,13.362905267039649,1
A2,2015-01-01,2021-12-31,84,0.5063573544414572,1.1302086379639784,-0.4584918406598708,0.14712482626251333,35.923252817894394,1
A3,2018-01-01,2024-12-31,84,0.4122289330103541,0.9209259525858231,-0.45849184065987075,0.14751627095452036,26.471266205583376,1
R1_GFC,2008-01-01,2010-12-31,36,1.0558463428565679,1.2847704409935377,-0.4012613754720257,0.00047259599882343295,105.53737468577444,3
R2,2011-01-01,2013-12-31,36,0.3007751274570907,1.2770250287432776,-0.19055178552490662,0.15626222022427316,14.451290723281751,0
R3,2014-01-01,2016-12-31,36,0.3386429942446496,1.508920644612713,-0.08705198168745466,0.16016169805583935,17.848129618881025,0
R4,2017-01-01,2019-12-31,36,0.2405666232279975,0.8199610717053246,-0.4584918406598708,0.1304619006076968,11.010472262030069,1
R5_COVID,2020-01-01,2022-12-31,36,0.7394441104739662,1.133772447723098,-0.33231625792450975,0.05631006725044485,68.31340432235213,0
R6_AI,2023-01-01,2024-12-31,24,0.37102773994971394,1.3146159239028334,-0.12862038307751045,0.3595093726573664,1.1518367292347564,0
STRICT,2021-01-01,2024-12-31,48,0.3685684362250983,0.9855270144792568,-0.33231625792450975,0.18197401554724935,18.659442067784894,0
