asof,coverage
2003,0.6432186234817814
2004,0.6464544382684858
2005,0.6512096774193549
2006,0.6716968477531858
2007,0.6886317907444668
2008,0.7056458368235885
2009,0.7173404610758436
2010,0.7309236947791165
2011,0.7407780013413816
2012,0.7536887994634474
2013,0.7647551978537894
2014,0.7713282034125125
2015,0.7896488600432684
2016,0.821434460016488
2017,0.841541755888651
2018,0.8508988949365001
2019,0.8617724867724867
2020,0.8900462962962963
2021,0.9095568783068783
2022,0.9363395225464191
2023,0.9588313413014609
2024,0.9714522821576763
2025,0.9848937583001328
2026,0.99800796812749
