split,from,to,n_m,cagr,spy_cagr,edge_pp,sharpe,max_dd,n_cash
A1,2011-01-01,2018-12-31,96,0.2576568262769301,0.14080900583561906,11.684782044131104,1.0036967628116797,-0.3539057714114448,1
A2,2015-01-01,2021-12-31,84,0.38451709931108313,0.14712482626251333,23.739227304856982,0.9483331770081319,-0.3539057714114449,1
A3,2018-01-01,2024-12-31,84,0.430224023203025,0.14751627095452036,28.270775224850464,0.9619736794064266,-0.35390577141144486,1
R1_GFC,2008-01-01,2010-12-31,36,1.0879351638068608,0.00047259599882343295,108.74625678080375,1.2497703444569324,-0.4745918757975244,3
R2,2011-01-01,2013-12-31,36,0.4854093879914394,0.15626222022427316,32.914716776716624,1.54110717735788,-0.2127809718450466,0
R3,2014-01-01,2016-12-31,36,0.17006813149774525,0.16016169805583935,0.9906433441905893,0.821803629295777,-0.15837507389118685,0
R4,2017-01-01,2019-12-31,36,0.19969606131984774,0.1304619006076968,6.923416071215094,0.7846710511142798,-0.35390577141144475,1
R5_COVID,2020-01-01,2022-12-31,36,0.634056215903658,0.05631006725044485,57.77461486532132,1.0379069786095263,-0.3240467529278681,0
R6_AI,2023-01-01,2024-12-31,24,0.4900479362500072,0.3595093726573664,13.053856359264081,1.5166945023619667,-0.12472541495681616,0
STRICT,2021-01-01,2024-12-31,48,0.4464291437973291,0.18197401554724935,26.445512825007977,1.1599198673619275,-0.32404675292786816,0
