alpha_yr,median,p10,p90
0.0,43.864629694883185,43.864629694883185,43.864629694883185
0.02,38.73456146007585,36.23854050012525,41.53514369945899
0.04,36.23854050012525,33.78742630721921,41.276311922189635
0.06,32.58391862778359,28.78458266548593,36.48814259612031
0.08,29.357808190933056,22.177682486951422,36.48814259612031
0.12,24.41609501842843,13.415155419987332,29.016701026301163
0.16,15.70119200954645,4.805013536903345,24.644037258400473
0.2,11.575403682586828,1.7627547760702638,19.979542001147692
