year,year_ret,spy_year_ret,edge_pp
2003,0.1447983086058111,0.38916540788984233,-24.436709928403122
2004,0.4172580661257086,0.0267071588504324,39.05509072752762
2005,0.4589320441193543,0.06636005871523576,39.25719854041185
2006,0.17965795255492623,0.19170814749076825,-1.205019493584203
2007,0.0013729472314263358,-0.017193374914227122,1.8566322145653458
2008,-0.202845920277959,-0.2935318464536879,9.06859261757289
2009,6.231573988259054,0.09979872158878278,613.1775266670271
2010,0.4854224854603335,0.28887200952876,19.65504759315735
2011,0.4802929109982468,0.08578056398773515,39.45123470105116
2012,0.3008227040273195,0.3004415937584881,0.03811102688313639
2013,0.569107088471666,0.0948032857889638,47.43038026827022
2014,-0.02172903516764846,0.20589780534692448,-22.762684051457292
2015,0.3898367062445378,0.10800093916069242,28.18357670838454
2016,0.535033134781385,0.16870509407341783,36.63280407079672
2017,0.48755234230850686,0.20114238810573504,28.640995420277182
2018,-0.13858795319062,-0.01057140678672086,-12.801654640389915
2019,0.4550739769921466,0.2155948183718508,23.94791586202958
2020,1.4535310976724678,0.11610987881121515,133.74212188612526
2021,0.6588659052707122,0.25185764111631626,40.70082641543959
2022,0.10151711172353717,-0.1564470277526845,25.796413947622167
2023,1.0125894527236818,0.22232486036609855,79.02645923575832
2024,0.04994021055101361,0.5120904386986389,-46.21502281476253
2025,0.263597742699917,0.1601629026607252,10.34348400391918
