ticker,n_months_picked
NVDA,120
NFLX,48
AAPL,30
CSX,24
COL,24
COTY,18
AMD,18
CMG,18
CCL,18
F,18
BBBY,12
SYF,12
KDP,12
APA,12
DVN,12
HBAN,12
GNW,12
SLM,12
WBD,12
MBI,12
AMZN,12
WMB,12
EXC,12
PEG,12
FTNT,6
WDC,6
KR,6
MSI,6
FTI,6
PLTR,6
