date,equity,ret_m,regime,n_picks,picks
2003-09-30,1.0365901456235458,0.03762777339694286,active,3,"SITC,BAP,TPL"
2003-10-31,1.0971023637631059,0.05837622361648042,active,3,"SITC,BAP,TPL"
2003-11-28,1.2132748182818995,0.10589025997566665,active,3,"SITC,BAP,TPL"
2003-12-31,1.1828549623511069,-0.025072518997690734,active,3,"SITC,BAP,TPL"
2004-01-30,1.2518684014049815,0.05834480240645871,active,3,"SITC,BAP,TPL"
2004-02-27,1.3539898056456696,0.0815751912310243,active,3,"SITC,BAP,TPL"
2004-03-31,1.2258410483228346,-0.09373902866711122,active,3,"DSGX,JHX,SITC"
2004-04-30,1.0293562497114466,-0.16028570660136865,active,3,"DSGX,JHX,SITC"
2004-05-31,1.0118109540818454,-0.01704492068175567,active,3,"DSGX,JHX,SITC"
2004-06-30,1.0169021787891632,0.00503179441453842,active,3,"DSGX,JHX,SITC"
2004-07-30,0.9887018307767557,-0.0277316231596495,active,3,"DSGX,JHX,SITC"
2004-08-31,1.087201022609587,0.09962476933561173,active,3,"DSGX,JHX,SITC"
2004-09-30,1.267480544275207,0.16698684712733458,active,3,"MITK,AAPL,XLU"
2004-10-29,1.3506458779882584,0.06561468267791724,active,3,"MITK,AAPL,XLU"
2004-11-30,1.3158028195086515,-0.025797330778889647,active,3,"MITK,AAPL,XLU"
2004-12-31,1.390733099856991,0.05694643546691892,active,3,"MITK,AAPL,XLU"
2005-01-31,1.984660648051528,0.4270607697879707,active,3,"MITK,AAPL,XLU"
2005-02-28,1.8861289431101522,-0.04964662600536314,active,3,"MITK,AAPL,XLU"
2005-03-31,1.9610550486405869,0.04076557113341065,active,3,"ABEV,SITC,ITUB"
2005-04-29,2.0281715632757567,0.0342246968955285,active,3,"ABEV,SITC,ITUB"
2005-05-31,1.9177285836233955,-0.05445445624628599,active,3,"ABEV,SITC,ITUB"
2005-06-30,1.949249332762265,0.01643650170730293,active,3,"ABEV,SITC,ITUB"
2005-07-29,2.0420429640493025,0.0476048034119579,active,3,"ABEV,SITC,ITUB"
2005-08-31,2.2613032323892512,0.10737299469212092,active,3,"ABEV,SITC,ITUB"
2005-09-30,2.2813991445819615,0.009896768686114369,active,3,"UVE,BGC,HWKN"
2005-10-31,3.9066348211810342,0.7123855027555371,active,3,"UVE,BGC,HWKN"
2005-11-30,4.134757705018347,0.05839370565185004,active,3,"UVE,BGC,HWKN"
2005-12-30,4.712830443394959,0.1398081289442926,active,3,"UVE,BGC,HWKN"
2006-01-31,5.178047987365437,0.09871298141491183,active,3,"UVE,BGC,HWKN"
2006-02-28,5.122658333312923,-0.010697014432401081,active,3,"UVE,BGC,HWKN"
2006-03-31,5.013235943352524,-0.020380850911704124,active,3,"UVE,NVDA,GIB"
2006-04-28,4.856148863475935,-0.031334467727353627,active,3,"UVE,NVDA,GIB"
2006-05-31,4.881699271797251,0.005261454918214059,active,3,"UVE,NVDA,GIB"
2006-06-30,4.534330558469757,-0.07115733558892615,active,3,"UVE,NVDA,GIB"
2006-07-31,5.229767664378335,0.15337150587964063,active,3,"UVE,NVDA,GIB"
2006-08-31,6.931880286527473,0.32546620258922515,active,3,"UVE,NVDA,GIB"
2006-09-29,8.001699112777187,0.1554886250944259,active,3,"NVDA,XPO,UVE"
2006-10-31,8.654753259672571,0.08161443434589791,active,3,"NVDA,XPO,UVE"
2006-11-30,8.081794733468055,-0.06620160147999335,active,3,"NVDA,XPO,UVE"
2006-12-29,9.062948252514788,0.12140292489533486,active,3,"NVDA,XPO,UVE"
2007-01-31,8.736011208718013,-0.036074027423256785,active,3,"NVDA,XPO,UVE"
2007-02-28,8.34887077174401,-0.04431546935146561,active,3,"NVDA,XPO,UVE"
2007-03-30,9.790651190969601,0.17386553350196127,active,3,"MITK,XPO,UVE"
2007-04-30,10.397544865391156,0.061987059142840494,active,3,"MITK,XPO,UVE"
2007-05-31,10.301783086338142,-0.00921003758990857,active,3,"MITK,XPO,UVE"
2007-06-29,9.836514744997086,-0.04516386507478298,active,3,"MITK,XPO,UVE"
2007-07-31,9.182968144647717,-0.06644087029725305,active,3,"MITK,XPO,UVE"
2007-08-31,10.045567185512773,0.09393466548915581,active,3,"MITK,XPO,UVE"
2007-09-28,10.553402246254391,0.05160475435390987,active,3,"EVO,EXAS,TREX"
2007-10-31,9.112099679513364,-0.1365723141323997,active,3,"EVO,EXAS,TREX"
2007-11-30,8.744217995712802,-0.04037287746397977,active,3,"EVO,EXAS,TREX"
2007-12-31,7.652923601857454,-0.12480182840711405,active,3,"EVO,EXAS,TREX"
2008-01-31,6.695639114537764,-0.12508742241819137,active,3,"EVO,EXAS,TREX"
2008-02-29,7.790889579565979,0.16357668719781754,active,3,"EVO,EXAS,TREX"
2008-03-31,6.104495684288121,-0.21567284092876152,active,3,"RDN,MBI,MITK"
2008-04-30,8.915910865653613,0.4605483117305774,active,3,"RDN,MBI,MITK"
2008-05-30,4.938163546504601,-0.4461403191537412,active,3,"RDN,MBI,MITK"
2008-06-30,6.55025737214411,0.32645614315074745,active,3,"RDN,MBI,MITK"
2008-07-31,11.699207131148771,0.7860683125065119,active,3,"RDN,MBI,MITK"
2008-08-29,13.192503450506397,0.1276408138276114,active,3,"RDN,MBI,MITK"
2008-09-30,13.192503450506397,0.0,cash,0,
2008-10-31,13.192503450506397,0.0,cash,0,
2008-11-28,13.192503450506397,0.0,cash,0,
2008-12-31,15.700729872409543,0.19131644556249805,active,3,"NXST,CAR,SIRI"
2009-01-30,14.857963974349994,-0.05367686119742236,active,3,"NXST,CAR,SIRI"
2009-02-27,26.591628900811028,0.7897222625332391,active,3,"NXST,CAR,SIRI"
2009-03-31,40.40197178436516,0.5193492634493302,active,3,"NXST,CAR,SIRI"
2009-04-30,59.41831283487929,0.47067853895866324,active,3,"NXST,CAR,SIRI"
2009-05-29,63.28304533811035,0.0650427842670486,active,3,"NXST,CAR,SIRI"
2009-06-30,65.45104730796884,0.03529410637236278,active,3,"FNMA,FMCC,AEHR"
2009-07-31,150.6302477767018,1.3014184489353795,active,3,"FNMA,FMCC,AEHR"
2009-08-31,156.39272497252966,0.0382557771820857,active,3,"FNMA,FMCC,AEHR"
2009-09-30,125.1920315889213,-0.1995022043965841,active,3,"FNMA,FMCC,AEHR"
