split,from,to,n_months,cagr,spy_cagr,edge_pp,sharpe,max_dd,n_cash_months
A1,2011-01-01,2018-12-31,96,0.08671876907369036,0.14080900583561906,-5.40902367619287,0.5848502407163202,-0.2584465364707303,2
A2,2015-01-01,2021-12-31,84,0.15933483796097314,0.14712482626251333,1.221001169845981,0.6800086929113907,-0.3305884415994078,2
A3,2018-01-01,2024-12-31,84,0.09411673226704353,0.14751627095452036,-5.339953868747682,0.4437078618480642,-0.3969563325292761,5
R1_GFC,2008-01-01,2010-12-31,36,0.1693649385113165,0.00047259599882343295,16.889234251249306,0.812231470780567,-0.37067617126152597,6
R2,2011-01-01,2013-12-31,36,0.04721846885888259,0.15626222022427316,-10.904375136539057,0.36914359955374143,-0.2584465364707303,1
R3,2014-01-01,2016-12-31,36,0.12998274062112047,0.16016169805583935,-3.017895743471888,0.7850472853560325,-0.23801443894992733,0
R4,2017-01-01,2019-12-31,36,0.15015815848583403,0.1304619006076968,1.9696257878137224,0.8171869384880034,-0.1739056745600169,1
R5_COVID,2020-01-01,2022-12-31,36,0.06222696178891196,0.05631006725044485,0.591689453846711,0.33657145623632023,-0.39695633252927615,4
R6_AI,2023-01-01,2024-12-31,24,0.08732527798521139,0.3595093726573664,-27.218409467215498,0.46106959691628707,-0.16188521893907065,0
STRICT,2021-01-01,2024-12-31,48,0.0602552186132419,0.18197401554724935,-12.171879693400744,0.35570231316828926,-0.39695633252927603,3
