period,from,to,n_m,cagr,spy_cagr,edge_pp
2003-09 to 2012-12,2003-09-30,2012-12-31,112,0.5075077387769491,0.07655887600240541,43.09488627745437
2008-01 to 2017-12,2008-01-31,2017-12-31,120,0.5505495184841329,0.11248321286409957,43.806630562003335
2013-01 to 2022-12,2013-01-31,2022-12-31,120,0.39230878922887813,0.11276477886304992,27.954401036582823
2018-01 to 2025-12,2018-01-31,2025-12-31,96,0.40290201555850236,0.1490895298315431,25.381248572695924
Modern 2010-2025,2010-01-31,2025-12-31,191,0.39702164223496395,0.16765733623759949,22.936430599736447
