param,value,cagr_full,wf_mean_cagr,wf_min_cagr,wf_mean_edge_pp,wf_n_beats,max_dd,sharpe
K,1,0.2954816602324004,0.2494326244748235,-0.035062127382072594,10.13724271353889,7,-0.8038217546777913,0.6323611837027225
K,2,0.4663285141965945,0.5128201790981346,0.21889615184793998,36.47599817587001,10,-0.6906744930515392,0.9534392401050555
K,3,0.43864629694883184,0.4715628096454572,0.2308054868545717,32.35026123060226,10,-0.4841335600608197,1.0627352046927585
K,4,0.3440410409436174,0.3770177726771509,0.15686620313437705,22.895757533771636,9,-0.5036237190386973,0.9600532524534017
K,5,0.3078203950907408,0.32794783487865126,0.14515788723968615,17.988763753921663,9,-0.5736405197259409,0.9167277888050472
K,7,0.2717807277733959,0.27877124988175134,0.1860244882366544,13.071105254231677,9,-0.5737620067684827,0.8732231164005327
hold,1,0.22384269621606,0.22515153658642123,-0.12810485502835,7.709133924698662,6,-0.842174726137565,0.7157923162173666
hold,3,0.32292524401880685,0.31008498844896115,0.1240726846324216,16.202479110952655,8,-0.5227209466753477,0.9165383539003246
hold,6,0.43864629694883184,0.4715628096454572,0.2308054868545717,32.35026123060226,10,-0.4841335600608197,1.0627352046927585
hold,9,0.3134461079832389,0.3270300193291885,0.05654529246769302,17.896982198975387,8,-0.736848603653656,0.8350497506252506
hold,12,0.34228766917931797,0.37085707523110895,0.07089158613697899,22.279687789167433,9,-0.573608558983653,0.9953573784765634
weighting,ew,0.44341047793986443,0.4647932333306922,0.1362166955567381,31.673303599125774,9,-0.49828619285029274,1.0257656872424443
weighting,invvol,0.43864629694883184,0.4715628096454572,0.2308054868545717,32.35026123060226,10,-0.4841335600608197,1.0627352046927585
weighting,softmax,0.3631012241117344,0.33241489595582063,0.03463111449157186,18.4354698616386,7,-0.714937898791594,0.781806783385985
weighting,conv,0.43789026453046853,0.4230395793482655,0.21668827551119385,27.49793820088309,9,-0.690670357370421,0.8971917190466763
cap,0.34,0.4464009688481543,0.4773933040238238,0.24141373301881774,32.93331066843893,10,-0.4876421489980038,1.067540673593039
cap,0.4,0.43864629694883184,0.4715628096454572,0.2308054868545717,32.35026123060226,10,-0.4841335600608197,1.0627352046927585
cap,0.5,0.43579226523486336,0.47138307786990524,0.22405559062187197,32.332288053047066,10,-0.4686374458877959,1.0621511173201013
cap,0.6,0.4358359324191776,0.4716801969841146,0.22306751890592902,32.361999964468005,10,-0.46382559899278275,1.0623596477259543
cap,0.75,0.4358359324191776,0.4716801969841146,0.22306751890592902,32.361999964468005,10,-0.46382559899278275,1.0623596477259543
cap,1.0,0.4358359324191776,0.4716801969841146,0.22306751890592902,32.36199996446799,10,-0.46382559899278275,1.0623596477259543
chr_q,0.0,0.38661046873202065,0.4284038206547313,0.22002737973279607,28.034362331529678,9,-0.48413356006081976,0.97591699624933
chr_q,0.2,0.40529249984355387,0.45438758921812666,0.219232289652463,30.63273918786921,10,-0.4841335600608197,1.0085364694379184
chr_q,0.3,0.4183963882340216,0.4501833355365643,0.219232289652463,30.21231381971297,10,-0.4841335600608198,1.0285219439194195
chr_q,0.35,0.43162677741948663,0.4609096742652077,0.2308054868545717,31.284947692577298,10,-0.4841335600608198,1.0549370826084612
chr_q,0.4,0.4373369006408021,0.4609096742652077,0.2308054868545717,31.284947692577298,10,-0.4841335600608198,1.0653257717981452
chr_q,0.45,0.43864629694883184,0.4715628096454572,0.2308054868545717,32.35026123060226,10,-0.4841335600608197,1.0627352046927585
chr_q,0.5,0.4222167366213223,0.46451409522325876,0.2308054868545717,31.645389788382424,10,-0.48413356006081976,1.03215979254634
chr_q,0.55,0.41069603636311713,0.4471685771858759,0.2308054868545717,29.910837984644132,10,-0.48413356006082,1.013439520106909
chr_q,0.6,0.39071307673296785,0.42938422887313976,0.1633850517175761,28.132403153370518,10,-0.4584543640546071,0.9783324939032126
