date,equity,ret_m,regime,n_picks,picks
2003-09-30,1.049383536476548,0.05043397044699485,active,3,"JHX,NNN,MOV"
2003-10-31,1.123461327127203,0.07059172178303992,active,3,"JHX,NNN,MOV"
2003-11-28,1.1309452641639144,0.006661499471324661,active,3,"JHX,NNN,MOV"
2003-12-31,1.1432549593394379,0.010884430542820251,active,3,"JHX,NNN,MOV"
2004-01-30,1.2049568824937942,0.053970396236030505,active,3,"JHX,NNN,MOV"
2004-02-27,1.1876117849698782,-0.014394786880687627,active,3,"JHX,NNN,MOV"
2004-03-31,1.0848204674841653,-0.08563860042398813,active,3,"JHX,ITUB,TDS"
2004-04-30,1.1072885290098058,0.020711317862343443,active,3,"JHX,ITUB,TDS"
2004-05-31,1.1297381411741183,0.020274401455588155,active,3,"JHX,ITUB,TDS"
2004-06-30,1.1415677302537903,0.0104710894042912,active,3,"JHX,ITUB,TDS"
2004-07-30,1.1676400000622427,0.02283900386940333,active,3,"JHX,ITUB,TDS"
2004-08-31,1.272787235385213,0.09005107337652465,active,3,"JHX,ITUB,TDS"
2004-09-30,1.2632684185998482,-0.006485203185837337,active,3,"ITUB,TDS,FLUT"
2004-10-29,1.3056709691511001,0.033565748915221905,active,3,"ITUB,TDS,FLUT"
2004-11-30,1.3818357393037042,0.058333816062498135,active,3,"ITUB,TDS,FLUT"
2004-12-31,1.4121465401891267,0.02193516929927989,active,3,"ITUB,TDS,FLUT"
2005-01-31,1.6627357549340513,0.17745269886180762,active,3,"ITUB,TDS,FLUT"
2005-02-28,1.6769541838773727,0.00855122583436907,active,3,"ITUB,TDS,FLUT"
2005-03-31,1.66183648350149,-0.008022998196223506,active,3,"ITUB,TDS,WEN"
2005-04-29,2.8573509369287797,0.719393553635518,active,3,"ITUB,TDS,WEN"
2005-05-31,2.9916560647950936,0.047003371595185195,active,3,"ITUB,TDS,WEN"
2005-06-30,3.0575089064368313,0.022012169920424242,active,3,"ITUB,TDS,WEN"
2005-07-29,3.159040432926738,0.03320727088518264,active,3,"ITUB,TDS,WEN"
2005-08-31,3.2811800327559566,0.038663512678139646,active,3,"ITUB,TDS,WEN"
2005-09-30,3.258865277020693,-0.005806639117828564,active,3,"WFC,PEG,TLT"
2005-10-31,3.321179315665228,0.01912139144994159,active,3,"WFC,PEG,TLT"
2005-11-30,3.4035452863607643,0.024800217894600036,active,3,"WFC,PEG,TLT"
2005-12-30,3.4610733502520517,0.01690239413643857,active,3,"WFC,PEG,TLT"
2006-01-31,3.5140710132958652,0.015312493461011007,active,3,"WFC,PEG,TLT"
2006-02-28,3.373144146292373,-0.040103591097129396,active,3,"WFC,PEG,TLT"
2006-03-31,3.4079759885382517,0.011337561622982717,active,3,"NVDA,NRG,WIT"
2006-04-28,3.034102404953969,-0.10970546296150543,active,3,"NVDA,NRG,WIT"
2006-05-31,3.006383481954798,-0.00913579019413202,active,3,"NVDA,NRG,WIT"
2006-06-30,3.0405306236859673,0.011358212262717195,active,3,"NVDA,NRG,WIT"
2006-07-31,3.4052722817053676,0.11995986989179941,active,3,"NVDA,NRG,WIT"
2006-08-31,3.3553190533795534,-0.014669378596884886,active,3,"NVDA,NRG,WIT"
2006-09-29,3.940546146604373,0.17559331154175473,active,3,"NVDA,HCKT,SNFCA"
2006-10-31,4.074045778899256,0.03387845931202249,active,3,"NVDA,HCKT,SNFCA"
2006-11-30,4.116409823273136,0.01039851947498871,active,3,"NVDA,HCKT,SNFCA"
2006-12-29,4.041707375843648,-0.01814747574625305,active,3,"NVDA,HCKT,SNFCA"
2007-01-31,3.9549608133899707,-0.02146285081699432,active,3,"NVDA,HCKT,SNFCA"
2007-02-28,3.7823465510008463,-0.04364499941559952,active,3,"NVDA,HCKT,SNFCA"
2007-03-30,4.212753422071686,0.11490851924932613,active,3,"NVDA,SNFCA,HCKT"
2007-04-30,4.419397797772803,0.049052093725318636,active,3,"NVDA,SNFCA,HCKT"
2007-05-31,4.675908861252509,0.05804208519291387,active,3,"NVDA,SNFCA,HCKT"
2007-06-29,4.865076406884351,0.0404557811636154,active,3,"NVDA,SNFCA,HCKT"
2007-07-31,4.601164234224771,-0.05424625444445855,active,3,"NVDA,SNFCA,HCKT"
2007-08-31,4.65635635627572,0.011995251471445903,active,3,"NVDA,SNFCA,HCKT"
2007-09-28,4.517125755022774,-0.028930121224283734,active,3,"NVDA,LBTYK,PATK"
2007-10-31,4.441355110712267,-0.016774083437073872,active,3,"NVDA,LBTYK,PATK"
2007-11-30,4.256341445543827,-0.04165703046851591,active,3,"NVDA,LBTYK,PATK"
2007-12-31,3.7286052466347104,-0.12398821985055489,active,3,"NVDA,LBTYK,PATK"
2008-01-31,3.3524560831412815,-0.10088200241442183,active,3,"NVDA,LBTYK,PATK"
2008-02-29,3.0678810687167193,-0.08488553089647417,active,3,"NVDA,LBTYK,PATK"
2008-03-31,3.221596169666614,0.05115580376986366,active,3,"MBI,SLM,WEN"
2008-04-30,3.1893528694029496,-0.010008486031631108,active,3,"MBI,SLM,WEN"
2008-05-30,2.5036910825218834,-0.21498461128555613,active,3,"MBI,SLM,WEN"
2008-06-30,2.5872573211228005,0.03337721621660439,active,3,"MBI,SLM,WEN"
2008-07-31,4.099336611770275,0.5844332831924399,active,3,"MBI,SLM,WEN"
2008-08-29,3.2757511448210272,-0.20090701129166055,active,3,"MBI,SLM,WEN"
2008-09-30,3.2757511448210272,0.0,cash,0,
2008-10-31,3.2757511448210272,0.0,cash,0,
2008-11-28,3.2757511448210272,0.0,cash,0,
2008-12-31,3.395409726754172,0.03756615964646411,active,3,"CAR,SIRI,PPC"
2009-01-30,3.5361052413825846,0.04143697696328093,active,3,"CAR,SIRI,PPC"
2009-02-27,7.727006950365235,1.1851744851756862,active,3,"CAR,SIRI,PPC"
2009-03-31,14.509287437285307,0.8777370760096821,active,3,"CAR,SIRI,PPC"
2009-04-30,21.07032285957009,0.4521955644371983,active,3,"CAR,SIRI,PPC"
2009-05-29,24.432955388402075,0.1595909351386462,active,3,"CAR,SIRI,PPC"
2009-06-30,27.54273561869771,0.1284065102377873,active,3,"FNMA,ACLS,LVS"
2009-07-31,53.897353870745285,0.9568627683503027,active,3,"FNMA,ACLS,LVS"
2009-08-31,64.49918100463522,0.19670403781445123,active,3,"FNMA,ACLS,LVS"
2009-09-30,51.562226443599336,-0.2005754857585893,active,3,"FNMA,ACLS,LVS"
2009-10-30,51.89790454528049,0.006510155298440003,active,3,"FNMA,ACLS,LVS"
2009-11-30,61.652845652818364,0.1879640650814094,active,3,"FNMA,ACLS,LVS"
2009-12-31,61.291049791632986,-0.004873148283915756,active,3,"FNMA,SMCI,PATK"
2010-01-29,66.88568962762677,0.09127988270740188,active,3,"FNMA,SMCI,PATK"
2010-02-26,73.71200284022228,0.10205939791605208,active,3,"FNMA,SMCI,PATK"
2010-03-31,76.33233796617151,0.03554828284382742,active,3,"FNMA,SMCI,PATK"
2010-04-30,64.62361448033836,-0.15339139082864398,active,3,"FNMA,SMCI,PATK"
2010-05-31,44.56350405050933,-0.3104145534281789,active,3,"FNMA,SMCI,PATK"
2010-06-30,45.27293865584237,0.016936569022721636,active,3,"SMCI,PATK,NVDA"
2010-07-30,40.613925896294475,-0.10290943989664465,active,3,"SMCI,PATK,NVDA"
2010-08-31,46.238922270745256,0.1384992031751353,active,3,"SMCI,PATK,NVDA"
2010-09-30,46.68509803147209,0.009649354673846236,active,3,"SMCI,PATK,NVDA"
2010-10-29,45.94555001976538,-0.015841200787629295,active,3,"SMCI,PATK,NVDA"
2010-11-30,50.92844875361734,0.10845225994048083,active,3,"SMCI,PATK,NVDA"
2010-12-31,53.285125357854085,0.04732158797370086,active,3,"ASGN,FR,JBL"
2011-01-31,61.98540806887813,0.16327788763926865,active,3,"ASGN,FR,JBL"
2011-02-28,60.228097424423744,-0.028350392442389974,active,3,"ASGN,FR,JBL"
2011-03-31,63.95903452561649,0.06194678664512776,active,3,"ASGN,FR,JBL"
2011-04-29,66.35563244638341,0.037470827046444034,active,3,"ASGN,FR,JBL"
2011-05-31,60.300953927858345,-0.09124588667612143,active,3,"ASGN,FR,JBL"
2011-06-30,43.91162450663367,-0.27106327141512404,active,3,"RILY,GMAB,SMCI"
2011-07-29,34.79575467729406,-0.20759582301407414,active,3,"RILY,GMAB,SMCI"
2011-08-31,31.113158000285928,-0.10583465457673238,active,3,"RILY,GMAB,SMCI"
2011-09-30,36.05948445404991,0.15897860492716687,active,3,"RILY,GMAB,SMCI"
2011-10-31,34.248997443033005,-0.050208344307417496,active,3,"RILY,GMAB,SMCI"
2011-11-30,36.00471006074676,0.05126318283138246,active,3,"RILY,GMAB,SMCI"
2011-12-30,36.16852468440221,0.005555366304347203,active,3,"RILY,GMAB,FNMA"
2012-01-31,44.93665607174324,0.2424243583018557,active,3,"RILY,GMAB,FNMA"
2012-02-29,41.39254860069847,-0.07886896313304803,active,3,"RILY,GMAB,FNMA"
2012-03-30,43.216353784176945,0.044061195677322876,active,3,"RILY,GMAB,FNMA"
2012-04-30,47.84668222598387,0.10714296872269347,active,3,"RILY,GMAB,FNMA"
2012-05-31,59.00779729554375,0.23326831768282294,active,3,"RILY,GMAB,FNMA"
2012-06-29,62.78298124737803,0.06504275629347345,active,3,"SUZ,RILY,UMC"
2012-07-31,62.46285472276905,-0.005098937932679827,active,3,"SUZ,RILY,UMC"
2012-08-31,69.25477297314411,0.10873531606135932,active,3,"SUZ,RILY,UMC"
2012-09-28,64.55788103698751,-0.0678204798675461,active,3,"SUZ,RILY,UMC"
2012-10-31,63.77213573076627,-0.012171175596222791,active,3,"SUZ,RILY,UMC"
2012-11-30,70.42628870703814,0.10434263961872665,active,3,"SUZ,RILY,UMC"
2012-12-31,89.7956076904351,0.2763059765583799,active,3,"RGEN,SNFCA,GRBK"
2013-01-31,78.18009002184759,-0.1293550761261209,active,3,"RGEN,SNFCA,GRBK"
2013-02-28,79.5427270494808,0.01742946352776534,active,3,"RGEN,SNFCA,GRBK"
2013-03-28,86.07927106341968,0.08217651388633845,active,3,"RGEN,SNFCA,GRBK"
2013-04-30,79.58199339597249,-0.0754801659816597,active,3,"RGEN,SNFCA,GRBK"
2013-05-31,70.00390423338786,-0.12035497923415131,active,3,"RGEN,SNFCA,GRBK"
2013-06-28,72.5331814701313,0.037167684466945516,active,3,"GMAB,WSR,ABT"
2013-07-31,67.78566577461025,-0.0654530188707639,active,3,"GMAB,WSR,ABT"
2013-08-30,77.86547494918747,0.14870119013203975,active,3,"GMAB,WSR,ABT"
2013-09-30,80.28437626271888,0.03106513271908895,active,3,"GMAB,WSR,ABT"
2013-10-31,79.2285716186298,-0.013150810820702168,active,3,"GMAB,WSR,ABT"
2013-11-29,78.29867740801173,-0.01173685441527524,active,3,"GMAB,WSR,ABT"
2013-12-31,76.65071859516863,-0.02006715079763436,active,3,"UMC,USMV,NVDA"
2014-01-31,82.14161498321134,0.07163528912289688,active,3,"UMC,USMV,NVDA"
2014-02-28,82.62690660601972,0.005907987357048783,active,3,"UMC,USMV,NVDA"
2014-03-31,85.17894502971271,0.030886287875468838,active,3,"UMC,USMV,NVDA"
2014-04-30,88.01757793302129,0.03332552313624444,active,3,"UMC,USMV,NVDA"
2014-05-30,89.07550246436016,0.012019468794561802,active,3,"UMC,USMV,NVDA"
2014-06-30,97.36098733208321,0.09411053636048822,active,3,"FNMA,PPC,EXEL"
2014-07-31,98.1401391574108,0.008002710805201946,active,3,"FNMA,PPC,EXEL"
2014-08-29,68.18063813511615,-0.30527265683046806,active,3,"FNMA,PPC,EXEL"
2014-09-30,64.62914709911486,-0.05208943672488327,active,3,"FNMA,PPC,EXEL"
2014-10-31,69.86461897465617,0.08100790603831154,active,3,"FNMA,PPC,EXEL"
2014-11-30,63.50467039200645,-0.09103246644709861,active,3,"FNMA,PPC,EXEL"
2014-12-31,64.6012275349843,0.01828563205254341,active,3,"EXEL,HCKT,GRBK"
