ticker,n_months_picked
NVDA,114
NFLX,42
COL,30
CSX,24
AAPL,18
NI,18
KDP,18
AMD,18
COTY,18
CCL,18
AMZN,12
MBI,12
SLM,12
F,12
HBAN,12
BBBY,12
ORLY,12
CMG,12
DVN,12
APA,12
