alpha_yr,p10,median,p90,mean,n_iters
0.0,34.20507780422608,34.20507780422608,34.20507780422608,34.20507780422607,30
0.02,26.847789440092434,31.68837768587709,34.20507780422608,30.80126206600722,30
0.04,21.392174336327482,28.630322868888967,32.192448607420054,26.976282709371276,30
0.06,15.958685012589354,22.30038302131706,28.166745064887483,22.561064921155197,30
0.08,14.779904883418174,20.011465890782265,26.991975853134647,20.049194204256928,30
0.12,6.4980249582775995,12.920518203128461,20.99440814274638,14.226515181977842,30
0.16,2.006816474077902,9.224486063109305,18.934800145435577,9.972627276474572,30
0.2,-7.345845735684524,2.1603810599977735,12.035747910408055,2.0081451252758677,30
