asof,n,ic_pearson,ic_spearman
2003-09-30,253,-0.15464327890525204,-0.11440071967288674
2003-10-31,253,-0.04428184575059624,0.011929585876864206
2003-11-28,255,0.09913774796991852,0.03831852130616026
2003-12-31,255,-0.19020921400776314,-0.1544313050023159
2004-01-30,255,0.054075082740837506,0.06111842867068087
2004-02-27,256,0.12995267145809739,0.11786449988555733
2004-03-31,256,-0.017966253514505866,-0.018095531013962007
2004-04-30,257,0.09519041840162246,0.04325895280970048
2004-05-31,258,0.02370198954661353,0.10830061676138954
2004-06-30,258,0.3823681574279383,0.3847416453515449
2004-07-30,259,0.12157704046576265,0.11289879196855941
2004-08-31,259,0.03401105100796502,0.011908330512981676
2004-09-30,260,-0.09370924533447304,-0.030494078769940838
2004-10-29,260,0.007759408689000352,0.06722857757340515
2004-11-30,261,-0.11658731531306718,-0.11050681353392593
2004-12-31,259,0.35791251842572436,0.32728465751721564
2005-01-31,259,0.09089344112577502,0.06956092304929515
2005-02-28,259,0.2826736063281485,0.31819990192083214
2005-03-31,260,0.07136626882570617,0.08232883776083023
2005-04-29,260,-0.09745473131467389,-0.07646084887464198
2005-05-31,260,0.12717902846483248,0.12911797739383946
2005-06-30,260,-0.20363521522789632,-0.1826865895831413
2005-07-29,262,-0.03353183476774502,0.02274663034198513
2005-08-31,265,-0.08979357884188888,-0.0509488855525751
2005-09-30,265,0.11171246063773697,0.043419440539599424
2005-10-31,266,-0.2723538783055733,-0.22761663539812005
2005-11-30,267,0.12898953021868687,0.0919151812114556
2005-12-30,268,-0.09187955789953492,-0.009232896542308298
2006-01-31,269,0.05059798765432057,0.03301583778751842
2006-02-28,270,-0.05856785236838329,-0.04959464464533121
2006-03-31,270,0.10122770494685437,0.06535953091872926
2006-04-28,272,0.18504247151314818,0.1914061684716673
2006-05-31,273,0.1314479094391105,0.12715097268553688
2006-06-30,274,0.14670186618489367,0.09322502315203045
2006-07-31,275,0.09933034630345118,0.10045411269149765
2006-08-31,275,-0.010981528813339391,0.011275496956233231
2006-09-29,275,0.09155849262396903,0.09513285825567641
2006-10-31,274,-0.07844482989522818,-0.0730221603214304
2006-11-30,276,0.18589637492813077,0.16563005664873504
2006-12-29,277,-0.00813897856706098,0.0006278449223041908
2007-01-31,277,0.1366109504513547,0.16969880381991692
2007-02-28,278,0.11819564873979427,0.15813458468115457
2007-03-30,280,-0.0004023796483944493,-0.016049767398636644
2007-04-30,282,-0.055910166899583245,-0.06055868755754056
2007-05-31,283,0.025514145448780938,-0.00043838703221509343
2007-06-29,283,-0.0388081210230746,-0.05494556694349996
2007-07-31,283,-0.056018020462005824,-0.052901620880674065
2007-08-31,285,0.030776698251263272,0.007849378197784425
2007-09-28,286,0.009931907643553133,0.042871890625420794
2007-10-31,289,0.029090532868205284,-0.043753231515730025
2007-11-30,291,0.14062615143488133,0.07067918519203892
2007-12-31,294,0.2371573774070638,0.22913832855407448
2008-01-31,294,-0.17052280237717915,-0.05516968631612997
2008-02-29,294,-0.056612707232203824,0.014801024244949904
2008-03-31,294,0.04740794459213415,0.03315715596124491
2008-04-30,294,-0.08893057650519684,-0.0032113313885744036
2008-05-30,294,-0.4675332031481813,-0.3803015832352493
2008-06-30,293,0.11196275121907263,0.1270422236873617
2008-07-31,293,0.16993626590075478,0.1351452825742013
2008-08-29,294,-0.24916590220104592,-0.1481748110825287
2008-09-30,295,-0.06469942614942026,-0.12668159338861518
2008-10-31,296,-0.2218989120498702,-0.20318808793385065
2008-11-28,297,0.33368582439061767,0.16825840483558605
2008-12-31,299,-0.04295214120193671,0.020460146798051672
2009-01-30,302,-0.08305837077564487,0.03469932040837799
2009-02-27,302,0.3638705558848884,0.18775807087210228
2009-03-31,306,0.3961894389828652,0.2850658114476634
2009-04-30,306,0.2916557868600021,0.12889578536599666
2009-05-29,306,0.2356962924442861,0.2940849795356814
2009-06-30,308,0.1424649215891698,0.07695157377330616
2009-07-31,310,0.09694858677607122,-0.014810734494568606
2009-08-31,311,0.01939921634022279,0.010320905108790183
