ticker,n_months_picked
NVDA,118
HBAN,62
AES,50
F,48
ORLY,47
CSX,46
NFLX,44
CMG,37
LRCX,34
FCX,34
COL,31
FAST,31
KDP,28
CAG,27
AVGO,24
AAPL,24
VFC,22
RF,21
MO,21
KEY,20
FTNT,20
AMZN,19
HRL,19
GME,18
AAL,17
CFG,17
AMD,16
DXC,16
ANET,16
UAA,16
