feature,mean_IC,std_IC,IR_annl
vol_1y,0.01568091811212757,0.25167278885383243,0.21583697628356774
vol_12m,0.01568091811212757,0.25167278885383243,0.21583697628356774
vol_6m,0.014921222098544162,0.24902174139853114,0.207566734057466
beta_2y,0.014229549786430528,0.26262649922459697,0.1876909091176754
best_month_24m,0.01369205573798219,0.1932789750356493,0.24540006168675058
excess_5y_logret,0.013400151976155938,0.21570032550502802,0.21520360711097355
mom_5y,0.013400151976155938,0.21570032550502802,0.21520360711097355
dist_from_low_1y,0.013128861137007567,0.1647983934556851,0.27597179872907485
multibagger_ratio_24m,0.011838604849378978,0.15605015518013723,0.26280095737406434
vol_3m,0.011293402530998859,0.24126394015753577,0.16215226329508325
sharpe_5y,0.010528645585343525,0.18684868133484048,0.19519697927137972
trend_slope_252,0.009797065591320745,0.20065297347550556,0.1691379407474749
mean_ret_12m,0.00958250527517723,0.1979755166026891,0.1676710967620559
mom_3y,0.009225693080211081,0.20169417108247098,0.15845147199051557
trend_health_5y,0.009175925418444735,0.1803094839796092,0.17628766585573852
idio_mom_12_1,0.008249279255389031,0.19784526440031433,0.1444378346832451
quality_score_5y,0.007860321963370135,0.20706459139616018,0.1314998079836753
mom_per_unit_vol_12,0.007755719707634531,0.19087881643134735,0.14075213618812174
earnings_drift_proxy,0.007166479100729372,0.07012419574458674,0.35402062817389224
mom_12_1,0.006840892324756808,0.20087956776565533,0.117968922448195
rs_12m_spy,0.006044599057575826,0.20890732773284393,0.10023155044607164
tail_ratio_24m,0.006035389758553425,0.13079053913851665,0.15985256692342664
below_52wh,0.0059635178557645736,0.21818539406657536,0.09468201079378122
dd_from_52wh,0.0059635178557645736,0.21818539406657536,0.09468201079378122
sharpe_12m,0.005683599869904382,0.198072990143936,0.09940056680532353
sharpe_1y,0.005683599869904382,0.198072990143936,0.09940056680532353
trend_r2_12m,0.005614712373206308,0.1259671452744161,0.15440481848014206
accel,0.0054655886365117526,0.1686178642502557,0.11228557844451649
acceleration_2y,0.0031692466989416248,0.16524802981933223,0.06643705598533739
mom_2y,0.00308953096093429,0.20911398893303693,0.051179977228676655
frac_above_50dma_1y,0.0025219740066903668,0.18899688815445184,0.04622496335903691
sma50_above_200,0.0021959739338745384,0.15209707767474878,0.05001461545107731
vol_expansion_24m,0.00204241047229793,0.12073798637537132,0.05859893500182423
recovery_rate,0.0018280369228604683,0.09610086015144655,0.06589437021721682
d_sma200,0.0011041056459807517,0.20059997382569966,0.01906647383138708
pullback_5y,0.0007175982382134179,0.22433673963774853,0.011080811908157124
bb_width_pct,0.0006400154910945991,0.18597304353181204,0.011921505688724916
vol_contraction,0.0003287752859962346,0.12080571005231258,0.009427625554650935
rs_6m_spy,0.0001128249856524193,0.19355114612743826,0.0020192968259103153
near_52wh_60d,-0.0002140314855918208,0.16349968957368174,-0.004534729190386827
pullback_all,-0.0003682211955040999,0.2189642344752093,-0.005825406332366683
rsi_zone_score,-0.000559378180223512,0.09970118371111858,-0.019435505030708986
pullback_3y,-0.0012567788932020799,0.2273976412437223,-0.019145360391606758
mom_6_1,-0.0016208380261379972,0.18494107040849558,-0.030359657872745843
range_pos_1y,-0.0017111566164611121,0.1955198675750634,-0.030317227974598945
max_dd_5y,-0.0020202524655885076,0.22847452065656051,-0.030630810862061115
mom_consistency_12m,-0.002348103147847686,0.15790422944206683,-0.05151266647961134
rs_3m_zscore,-0.003156436714470746,0.17949489335021218,-0.060916593874035654
rs_3m_spy,-0.003156436714470746,0.17949489335021218,-0.060916593874035654
mom_3,-0.003156436714470746,0.17949489335021218,-0.060916593874035654
new_52wh,-0.004356830708417693,0.08271441718556943,-0.18246521957655254
drawdown_age_days,-0.004719833318285449,0.1657270240456356,-0.09865610219701633
fip_score,-0.005038641210687588,0.12112580103708252,-0.1441011329262449
tight_consolidation_60,-0.005224277953507872,0.18967102638296152,-0.09541483505306167
max_below_200_streak,-0.005249914994806547,0.15555957182428637,-0.11690851806527015
pullback_1y,-0.005963517855764575,0.21818539406657536,-0.09468201079378125
bb_width_contraction,-0.007057456300454068,0.106175125042647,-0.23025869533327334
worst_month_24m,-0.008617302730532841,0.21693932047392542,-0.13760166779243554
min_dd_60d,-0.009254938363624472,0.2144211518769051,-0.1495190500228118
mom_accel,-0.01066265349850761,0.1840619636305051,-0.20067435160032623
d_sma50,-0.011510141961518323,0.16397293299121202,-0.2431639212155666
ret_21d,-0.012095433164404855,0.16389969411304958,-0.2556430003567016
breakout_strength_60,-0.014239198036518696,0.18760779877868897,-0.26292099389086737
rsi_14,-0.017416245336795914,0.1474089464952567,-0.4092807460826094
ret_5d,-0.021394260547456228,0.1372293597280882,-0.5400585753950128
price,-0.033261149309240234,0.12771290292239706,-0.9021797986495452
log_price,-0.033261149309240234,0.12771290292239706,-0.9021797986495452
