start,trough,end,depth_pct
2020-01-31,2020-09-30,2024-10-31,-52.21276245954566
2007-01-31,2008-12-31,2009-06-30,-50.678521815282366
2018-09-28,2018-11-30,2019-09-30,-21.616473284043856
2011-06-30,2011-10-31,2012-01-31,-16.04950493555493
2024-11-29,2025-02-28,2025-07-31,-13.219960620096028
2015-12-31,2015-12-31,2016-02-29,-12.346806049839497
2012-04-30,2012-08-31,2012-11-30,-11.872943526533492
2025-10-31,2025-10-31,2025-12-31,-9.600329352167995
2009-09-30,2009-09-30,2009-11-30,-6.969997007551928
2006-04-28,2006-06-30,2006-07-31,-6.344517314618684
