universe,n_picks_universe,cagr_full,sharpe,max_dd,wf_mean_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats
PIT_SP500,587,0.4386462969488318,1.0627352046927585,-0.4841335600608197,0.4715628096454572,0.2308054868545717,1.0458558656075327,32.35026123060226,10,10
broader_1833,1811,0.517891180901698,0.9747964967878788,-0.6671902083042682,0.5782042002190344,0.093829421472201,1.380119790115907,43.01440028795997,10,9
non_SP500_PIT,1579,0.5203534484883585,0.9939514652811812,-0.6169462640012117,0.6272471327301017,0.1675825137179114,1.0482601025824971,47.9186935390667,10,10
random_500_seed1,497,0.5810101321782826,1.0621113350754343,-0.6247145128964371,0.6709122528127367,0.2122516024906882,1.8445025140271665,52.2852055473302,10,10
random_500_seed2,497,0.4076754544282879,0.7427627703502891,-0.7785951853690053,0.4686166277973525,-0.1284393299999909,1.4288743662307757,32.05564304579178,9,8
random_500_seed3,497,0.4873959435308488,0.9334885465101254,-0.8047178037623127,0.5113885848935331,0.1533582698809252,1.4817147450115278,36.332838755409846,10,9
