name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats,wf_n_splits,k_normal,k_recovery,k_bull,weighting,regime_gate,hold_months,stop_loss_pct,take_profit_pct,scorer,cap_per_pick,cost_bps
cap40_invvol,0.38661046873202065,0.12725478443785376,25.93556842941669,0.97591699624933,-0.48413356006081976,4,0.4284038206547313,0.3521756612930308,0.22002737973279607,1.0458558656075327,28.034362331529678,10,9,10,3,3,3,invvol,tight,6,0.0,0.0,ml_3plus6,0.4,
baseline_v3,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,3,3,3,ew,tight,6,0.0,0.0,ml_3plus6,,
cost1bp,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,3,3,3,ew,tight,6,0.0,0.0,ml_3plus6,,1.0
cap50,0.38097910837635807,0.12725478443785376,25.37243239385043,0.9690512123077768,-0.46863744588779593,4,0.42351385775867945,0.3474080153843132,0.21283077690647878,1.0519157493394968,27.545366041924478,10,9,10,3,3,3,invvol,tight,6,0.0,0.0,ml_3plus6,0.5,
K_3_3_5,0.38970212350244293,0.12725478443785376,26.24473390645892,0.9484968180768497,-0.49828619285029263,4,0.406546277891599,0.3825308453231261,0.14492104439496223,1.0879351638068608,25.84860805521644,10,9,10,3,3,5,ew,tight,6,0.0,0.0,ml_3plus6,,
K_3_2_3,0.3365141461732124,0.12725478443785376,20.925936173535863,0.8198812980056251,-0.5698805278680616,4,0.37936350769502425,0.32141102109856867,0.1526269534268483,1.1446102889622227,23.130331035558967,10,8,10,3,2,3,ew,tight,6,0.0,0.0,ml_3plus6,,
K_2_3_4,0.32528192089165686,0.12725478443785376,19.802713645380308,0.8043887570116713,-0.5698805278680614,4,0.36115909459343054,0.2975271747617202,0.1371201393040955,1.1446102889622227,21.3098897253996,10,8,10,3,2,4,ew,tight,6,0.0,0.0,ml_3plus6,,
K_3_2_5,0.32882776809287706,0.12725478443785376,20.157298365502328,0.8111986625973575,-0.5698805278680614,4,0.35861948907823293,0.29151015205781217,0.13537182302306583,1.1446102889622227,21.05592917387984,10,8,10,3,2,5,ew,tight,6,0.0,0.0,ml_3plus6,,
K_4_3_5,0.3430974930218085,0.12725478443785376,21.58427085839547,0.8855544848803998,-0.5773755420734833,4,0.35316243419806825,0.3549458170058306,0.04651456912472929,0.8866417834508866,20.510223685863373,10,9,10,4,3,5,ew,tight,6,0.0,0.0,ml_3plus6,,
K2_h9,0.27630510077981385,0.12725478443785376,14.905031634196009,0.6942447878916381,-0.8583899287491248,1,0.2934275576269121,0.28476159209748686,0.0019184954046649327,0.7363259578050656,14.536736028747745,10,7,10,2,2,2,ew,tight,9,0.0,0.0,ml_3plus6,,
K2_h3,0.33135010206983795,0.12725478443785376,20.40953176319842,0.8072460944569612,-0.6906744930515392,5,0.27931320786830166,0.2005705653423514,0.12405205921660856,0.7021076287867534,13.125301052886707,10,7,10,2,2,2,ew,tight,3,0.0,0.0,ml_3plus6,,
K3_h3,0.30500809797072703,0.12725478443785376,17.775331353287328,0.8290810705188388,-0.5671508992865044,5,0.27120625683527677,0.18114505470107645,0.14214326137462896,0.9548693010010079,12.314605949584214,10,7,10,3,3,3,ew,tight,3,0.0,0.0,ml_3plus6,,
