asof,ic_pearson,ic_spearman,n
2005-11-30,0.0923642750345002,0.09805958801077824,267.0
2005-12-30,0.08743312451833475,0.12059434667438049,268.0
2006-01-31,-0.014434899336242845,0.008761644072080736,269.0
2006-02-28,-0.03994756877514339,-0.04122568363230101,270.0
2006-03-31,0.08495527686472715,0.06346284280686673,270.0
2006-04-28,0.07525317194013922,0.04916374816855552,272.0
2006-05-31,0.02546772977951291,0.05225619164004737,273.0
2006-06-30,-0.03390697166930884,-0.04373290942634008,274.0
2006-07-31,0.24633899677746846,0.2045676697152419,275.0
2006-08-31,0.08071368877638763,0.14382851042958944,275.0
2006-09-29,0.08100919580497316,0.07377744438994836,275.0
2006-10-31,0.10800495519207758,0.10922016098785378,275.0
2006-11-30,-0.13908582235288874,-0.11650364292670182,277.0
2006-12-29,0.03144384427137771,0.037242454784280184,278.0
2007-01-31,0.058538495480199355,0.081113087559033,278.0
2007-02-28,-0.008494086131961022,-0.005460332195073434,279.0
2007-03-30,0.07823006129845132,0.02720256573894796,281.0
2007-04-30,-0.008815532996349981,0.008250994577343015,283.0
2007-05-31,0.05043534441105032,-0.008793154385299845,283.0
2007-06-29,-0.020138446910666262,-0.020429471044748303,283.0
2007-07-31,-0.029425178384721057,0.03637686306240681,283.0
2007-08-31,-0.04287067043025657,-0.0013369136423250583,285.0
2007-09-28,-0.07618687242318853,-0.05990184398400059,286.0
2007-10-31,-0.04759033929666071,-0.12446058545121903,289.0
2007-11-30,-0.10250128259338011,-0.06545977823120638,291.0
2007-12-31,0.16731419317144128,0.21957445904259779,294.0
2008-01-31,-0.05053537624031743,-0.02200662760621111,294.0
2008-02-29,-0.05308276045659411,-0.05873258541572469,294.0
2008-03-31,0.08415788959642527,0.07137391197585068,294.0
2008-04-30,0.030498900530285554,0.12591578194301958,294.0
2008-05-30,-0.21278554460634208,-0.21069672503698073,294.0
2008-06-30,0.15592054818111695,0.10183996923843174,293.0
2008-07-31,0.06692809403493635,0.09707450234289798,293.0
2008-08-29,-0.23360403325664092,-0.2492308128202979,294.0
2008-09-30,-0.11884547687321274,-0.13114418465508054,295.0
2008-10-31,-0.026414507785143905,-0.04042162347247093,296.0
2008-11-28,0.2561880093054464,0.20775595607810374,297.0
2008-12-31,0.18281653608325368,0.16951583578370855,299.0
2009-01-30,0.26684628386149223,0.20804147475978374,302.0
2009-02-27,-0.1902799067901927,-0.25988013203643745,302.0
2009-03-31,-0.5142489222759812,-0.5044353491917406,306.0
2009-04-30,-0.20930052352158185,-0.14148157687809465,306.0
2009-05-29,0.2975274720069847,0.32664738026358087,306.0
2009-06-30,-0.20275105638029597,-0.2040711889230279,308.0
2009-07-31,-0.2651605563702912,-0.34139370387191437,310.0
2009-08-31,-0.049644310489014284,-0.07881204471288487,311.0
2009-09-30,0.2841754557713778,0.2561899100795481,311.0
2009-10-30,0.005135051581382174,-0.01705665691263012,312.0
2009-11-30,0.018061334646459055,-0.007635015723984203,313.0
2009-12-31,0.14970189778983492,0.17069602976238468,315.0
2010-01-29,0.06848857630611868,0.042412764331064855,316.0
2010-02-26,-0.0984220187981694,-0.04645062364738328,318.0
2010-03-31,-0.04738818230389175,-0.08534023625703838,321.0
2010-04-30,0.15055508290080644,0.1062467460090818,322.0
2010-05-31,0.14560028192793506,0.10599334581883396,322.0
2010-06-30,-0.07223016098694497,-0.05371947914685834,323.0
2010-07-30,0.06476162087077766,0.10506480751466618,323.0
2010-08-31,-0.03537926270436806,-0.06405933845696936,323.0
2010-09-30,0.07566358620090476,0.08956000401686227,323.0
2010-10-29,-0.02694287491742041,0.036781709887107654,323.0
2010-11-30,0.052398706408313026,-0.008522656456429509,323.0
2010-12-31,0.09694016161041227,0.07640831591295988,324.0
2011-01-31,0.03724004510393275,0.07192894251717781,324.0
2011-02-28,-0.021067078027657192,-0.04223121907332433,324.0
