name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats,wf_n_splits,k,h,w,q,qcol
chr_p70_q0.5_k2_h6_ew,0.45474241169037866,0.12725478443785376,32.74876272525249,0.9356283897134126,-0.6906744930515392,4,0.48764121187161036,0.46872984275320384,0.17311374397076107,0.7637908978018024,33.95810145321757,10,10,10,2,6,ew,0.5,chr_p70_rk
chr_p90_q0.7_k3_h6_ew,0.4211183558309364,0.12725478443785376,29.38635713930826,0.9820142172801696,-0.4982861928502928,4,0.47059671036971223,0.4344917848409958,0.17557353570344048,1.1386207018892223,32.25365130302776,10,10,10,3,6,ew,0.7,chr_p90_rk
chr_p70_q0.5_k3_h6_invvol,0.4222167366213223,0.12725478443785376,29.496195218346855,1.03215979254634,-0.48413356006081976,4,0.46451409522325876,0.42370415217906043,0.2308054868545717,1.0458558656075327,31.645389788382424,10,10,10,3,6,invvol,0.5,chr_p70_rk
chr_p70_q0.4_k3_h6_invvol,0.4373369006408021,0.12725478443785376,31.008211620294833,1.0653257717981452,-0.4841335600608198,4,0.4609096742652077,0.41784203855726154,0.2308054868545717,1.0458558656075327,31.284947692577298,10,10,10,3,6,invvol,0.4,chr_p70_rk
chr_p70_q0.4_k3_h6_ew,0.4481362715456887,0.12725478443785376,32.08814871078349,1.03558644651507,-0.4982861928502925,4,0.45860399893579257,0.43832658350017706,0.17006813149774525,1.0879351638068608,31.054380159635805,10,10,10,3,6,ew,0.4,chr_p70_rk
chr_p90_q0.4_k3_h6_ew,0.43429819609672604,0.12725478443785376,30.70434116588723,1.0107673172086828,-0.49828619285029274,4,0.45800182969056225,0.43000128872072274,0.14930629277931984,1.0879351638068608,30.994163235112772,10,9,10,3,6,ew,0.4,chr_p90_rk
chr_p90_q0.5_k3_h6_ew,0.43193583431865434,0.12725478443785376,30.468104988080057,1.0038410063733836,-0.4982861928502928,4,0.4569719170601087,0.43008670387458425,0.14129571605893276,1.0879351638068608,30.891171972067404,10,9,10,3,6,ew,0.5,chr_p90_rk
v3_baseline,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,3,6,ew,,
