name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats,wf_n_splits,name_suffix,k_normal,k_recovery,k_bull,weighting,regime_gate,hold_months,stop_loss_pct,take_profit_pct,score_threshold_pct,scorer
ml_3plus6|tp0.50,0.5520404726238652,0.12725478443785376,42.47856881860115,1.2718280279341205,-0.4745918757975244,4,0.6456280927880649,0.5450096183922034,0.25560783514464447,1.2068271519787652,49.75678954486303,10,10,10,tp0.50,3,3,3,ew,tight,6,0.0,0.5,0.0,ml_3plus6
ml_3plus6|tp0.75,0.5579965998407395,0.12725478443785376,43.07418154028857,1.198560099648142,-0.4982861928502927,4,0.6425251294974371,0.6477909614487953,0.19104660711134125,1.126637358025353,49.44649321580025,10,10,10,tp0.75,3,3,3,ew,tight,6,0.0,0.75,0.0,ml_3plus6
ml_3plus6|sl0.35_tp0.5,0.49608879430085207,0.12725478443785376,36.88340098629983,1.1430871018443602,-0.4583858541066106,4,0.6041397097027627,0.5357003199380045,0.2241212275031197,1.2015551405385518,45.60795123633281,10,10,10,sl0.35_tp0.5,3,3,3,ew,tight,6,0.35,0.5,0.0,ml_3plus6
ml_3plus6|sl0.35_tp0.75,0.49488531495742616,0.12725478443785376,36.76305305195724,1.0921163782971215,-0.4608874604444958,4,0.5937013109110604,0.6226132984870238,0.16117898750018766,1.0672002470798292,44.564111357162574,10,10,10,sl0.35_tp0.75,3,3,3,ew,tight,6,0.35,0.75,0.0,ml_3plus6
ml_3plus6|sl0.3_tp0.5,0.5048872262654494,0.12725478443785376,37.76324418275956,1.150254944973713,-0.5000925988736773,4,0.5890668833808329,0.4811496920713155,0.21235667270485004,1.3204545517245125,44.10066860413983,10,10,10,sl0.3_tp0.5,3,3,3,ew,tight,6,0.3,0.5,0.0,ml_3plus6
ml_3plus6|sl0.3_tp0.75,0.5074210050480414,0.12725478443785376,38.016622061018765,1.0994703770757883,-0.5109526516855852,4,0.5857766885325071,0.5892164512412398,0.14970134068475782,1.1650153548599644,43.771649119307256,10,9,10,sl0.3_tp0.75,3,3,3,ew,tight,6,0.3,0.75,0.0,ml_3plus6
ml_3plus6|sl0.25_tp0.5,0.49154779285976713,0.12725478443785376,36.42930084219134,1.0963112824126293,-0.5268072072458296,4,0.5833790977716127,0.4927835606575751,0.14725544621885445,1.2788985228320304,43.53189004321781,10,9,10,sl0.25_tp0.5,3,3,3,ew,tight,6,0.25,0.5,0.0,ml_3plus6
ml_3plus6|sl0.25_tp0.75,0.49116424899404065,0.12725478443785376,36.39094645561869,1.052910667280971,-0.5262815190086482,4,0.5754993105267139,0.5830622429416439,0.08900500271044764,1.1410540602136021,42.743911318727925,10,9,10,sl0.25_tp0.75,3,3,3,ew,tight,6,0.25,0.75,0.0,ml_3plus6
ml_3plus6|tp1.00,0.506118140531095,0.12725478443785376,37.88633560932413,1.1158163104617989,-0.4982861928502927,4,0.5518363505781989,0.4928163120568523,0.2150742470687872,1.4259307314092933,40.377615323876434,10,10,10,tp1.00,3,3,3,ew,tight,6,0.0,1.0,0.0,ml_3plus6
ml_3plus6|tp0.40,0.47283244159221827,0.12725478443785376,34.55776571543645,1.1941659163521297,-0.4745918757975243,4,0.5242582651186039,0.4670684470792478,0.26922488558988555,0.9758704870851767,37.61980677791693,10,10,10,tp0.40,3,3,3,ew,tight,6,0.0,0.4,0.0,ml_3plus6
ml_3plus6|sl0.35_tp1.0,0.446858438743335,0.12725478443785376,31.960365430548123,1.0096190043091493,-0.46088746044449574,4,0.5063784931127312,0.44663621715054813,0.1846040914979843,1.3794717045618792,35.83182957732966,10,10,10,sl0.35_tp1.0,3,3,3,ew,tight,6,0.35,1.0,0.0,ml_3plus6
ml_3plus6|sl0.3_tp1.0,0.4589913888844597,0.12725478443785376,33.17366044466059,1.0181353275759777,-0.5109526516855852,4,0.5032789384560111,0.432992108765077,0.1728948997844848,1.4920627714264887,35.52187411165766,10,10,10,sl0.3_tp1.0,3,3,3,ew,tight,6,0.3,1.0,0.0,ml_3plus6
ml_3plus6|sl0.25_tp1.0,0.44007669080364353,0.12725478443785376,31.282190636578978,0.9767979173091969,-0.5262815190086483,4,0.4868812057134038,0.4384721741269231,0.11097410111579498,1.464481881429871,33.88210083739692,10,9,10,sl0.25_tp1.0,3,3,3,ew,tight,6,0.25,1.0,0.0,ml_3plus6
ml_3plus6|baseline,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,baseline,3,3,3,ew,tight,6,0.0,0.0,0.0,ml_3plus6
ml_3plus6|invvol,0.3813972304007436,0.12725478443785376,25.41424459628898,0.9695106424150287,-0.4638255989927828,4,0.4240895680107781,0.3477814420211862,0.2081844566274158,1.0558463428565679,27.60293706713435,10,9,10,invvol,3,3,3,invvol,tight,6,0.0,0.0,0.0,ml_3plus6
ml_3plus6|sl0.40,0.3627608476071644,0.12725478443785376,23.550606316931066,0.9020653930167618,-0.5229392771572444,4,0.38856450996247993,0.37080107011544416,0.14492104439496223,0.8654536015262904,24.050431262304535,10,9,10,sl0.40,3,3,3,ew,tight,6,0.4,0.0,0.0,ml_3plus6
ml_3plus6|sl0.35,0.3369092850667905,0.12725478443785376,20.965450062893677,0.8566309356122419,-0.46088746044449586,4,0.3795344139300477,0.35288224414074687,0.11621010559993938,0.9826081306423378,23.147421659061308,10,9,10,sl0.35,3,3,3,ew,tight,6,0.35,0.0,0.0,ml_3plus6
ml_3plus6|sl0.30,0.348120232360992,0.12725478443785376,22.086544792313823,0.866905734287919,-0.5109526516855852,4,0.37536481875490074,0.3382716125495938,0.1051769526564208,1.0764205362177055,22.730462141546617,10,9,10,sl0.30,3,3,3,ew,tight,6,0.3,0.0,0.0,ml_3plus6
ml_3plus6|k2,0.3449989657542558,0.12725478443785376,21.774418131640203,0.7877515149773633,-0.6906744930515393,4,0.3743414724081379,0.3145798364031659,0.13207884438122242,0.7637908978018024,22.62812750687033,10,9,10,k2,2,2,2,ew,tight,6,0.0,0.0,0.0,ml_3plus6
