date,equity,ret_m,regime,n_picks,n_eligible,picks
2005-11-30,1.0064962242445792,0.007503727972551914,recovery,7,267,"WMB,PPL,OXY,EIX,COP,CMI,XEL"
2005-12-30,1.066619013994686,0.06079553502222859,normal,15,268,"OXY,EIX,WEN,PPL,COP,WMB,EXC,ADI,CVS,MU,AMAT,NEE,AEP,AMZN,CMI"
2006-01-31,1.0383044823868526,-0.025571630942026632,recovery,7,269,"WMB,EIX,TSN,NEE,OXY,EMN,TPR"
2006-02-28,1.0581831600992235,0.020165491404545155,recovery,7,270,"WMB,OXY,NOV,EIX,DDS,VLO,EBAY"
2006-03-31,1.0954017901207642,0.03620840867128992,recovery,7,270,"WMB,EIX,AES,AAPL,KLAC,AMAT,OXY"
2006-04-28,1.0932248734770478,-0.0009883108287849678,recovery,7,272,"AES,TPR,PEG,OXY,MRK,PPL,DDS"
2006-05-31,1.1225711864886798,0.02787167455867591,bull,7,273,"OXY,AAPL,CSCO,WMB,AES,DRI,CSX"
2006-06-30,1.0896211390039696,-0.028380681793115457,normal,15,274,"CSX,AAPL,AES,OXY,TLAB,WM,WMB,HPQ,GILD,GLW,NVDA,BBBY,SCHW,DXC,WEN"
2006-07-31,1.1909919125996784,0.09412717321743479,recovery,7,275,"GLW,TLAB,AMZN,GOOGL,JBL,WMB,AES"
2006-08-31,1.235258658123365,0.038206171003831245,recovery,7,275,"AAPL,GOOGL,AES,WMB,GLW,WEN,HPQ"
2006-09-29,1.311712683085139,0.0629560862894201,recovery,7,275,"AES,HPQ,WMB,MO,AMZN,WY,QCOM"
2006-10-31,1.3432588033183503,0.025074640250163267,recovery,7,275,"HPQ,MO,GLW,AES,GOOGL,DGX,CVS"
2006-11-30,1.3361319839227432,-0.004309928904191115,recovery,7,277,"HPQ,GLW,MO,DRI,CMI,WEN,DDS"
2006-12-29,1.379025270705864,0.03313571787236161,recovery,7,278,"DRI,GLW,AES,GOOGL,INTC,VRSN,F"
2007-01-31,1.143502288796076,-0.16995941985463975,recovery,7,278,"CFC,NVDA,GOOGL,PFE,MU,DRI,T"
2007-02-28,1.1236747525989672,-0.016355661749176447,bull,7,279,"GOOGL,INTC,MU,NVDA,F,DDS,DGX"
2007-03-30,1.205385091418352,0.07379086369138928,recovery,7,281,"NVDA,AAPL,GOOGL,CSX,INTC,DDS,IAC"
