ticker,n_months_picked
NVDA,126
NFLX,36
CMG,24
AAPL,24
NI,18
CSX,18
CCL,18
COTY,18
GNW,18
AMZN,18
AMD,18
KDP,18
HPE,18
FCX,18
COL,12
WBD,12
ORLY,12
BBBY,12
MBI,12
F,12
T,12
SLM,12
UBER,12
APA,12
SYF,12
SRE,6
MO,6
PEG,6
CNP,6
EXC,6
