split,from,to,n_months,cagr,spy_cagr,edge_pp,sharpe,max_dd,n_cash_months
A1,2011-01-01,2018-12-31,96,0.16491650526803459,0.14080900583561906,2.4107499432415525,0.9481776897177072,-0.21302153771494528,2
A2,2015-01-01,2021-12-31,84,0.09958228201273034,0.14712482626251333,-4.754254424978299,0.5009232557777266,-0.5182873846839434,2
A3,2018-01-01,2024-12-31,84,0.05905312357421355,0.14751627095452036,-8.846314738030681,0.3427917216788552,-0.5182873846839435,5
R1_GFC,2008-01-01,2010-12-31,36,0.3613081324558769,0.00047259599882343295,36.083553645705344,0.926844916160357,-0.42016517028829997,6
R2,2011-01-01,2013-12-31,36,0.2279149605586206,0.15626222022427316,7.165274033434743,1.1547521299927646,-0.15634313679742265,1
R3,2014-01-01,2016-12-31,36,0.22187654344162144,0.16016169805583935,6.171484538578209,1.3337557041028982,-0.12171236351305768,0
R4,2017-01-01,2019-12-31,36,0.13239020253170186,0.1304619006076968,0.19283019240050603,0.7997318805088579,-0.21302153771494534,1
R5_COVID,2020-01-01,2022-12-31,36,-0.11931416560251495,0.05631006725044485,-17.56242328529598,-0.13214953833458729,-0.49081800647620166,4
R6_AI,2023-01-01,2024-12-31,24,0.30733146139755707,0.3595093726573664,-5.217791125980931,1.4304256298141276,-0.12762560613752125,0
STRICT,2021-01-01,2024-12-31,48,0.16678871013609387,0.18197401554724935,-1.518530541115548,0.7071882462142023,-0.44018903200014425,3
