name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats,wf_n_splits,param,value
K=1,0.3057954886458607,0.1194382410561079,18.63572475897528,0.6713217628688171,-0.765511431422146,4,0.31136933537323197,0.29149047886697343,0.06986545234888952,0.6631959977088435,16.330913803379737,10,7,10,K,1
K=2,0.3449989657542558,0.1194382410561079,22.556072469814794,0.7877515149773633,-0.6906744930515393,4,0.3743414724081379,0.3145798364031659,0.13207884438122242,0.7637908978018024,22.62812750687033,10,9,10,K,2
K=3,0.3583853527557914,0.1194382410561079,23.894711169968353,0.8485254529275702,-0.5698805278680614,4,0.39591078027618276,0.3049407621398441,0.15316251248461943,1.1446102889622227,24.785058293674812,10,8,10,K,3
K=4,0.35086641189752776,0.1194382410561079,23.14281708414199,0.8930117232282615,-0.5773755420734834,4,0.37404108154520843,0.375485918451516,0.04651456912472929,0.8866417834508866,22.598088420577383,10,9,10,K,4
K=5,0.30614760941563013,0.1194382410561079,18.670936835952222,0.8624632785762338,-0.5995625522072973,4,0.30999247107774164,0.3127703014406551,0.03045642463924647,0.7359683077909989,16.193227373830705,10,7,10,K,5
K=7,0.2843805822215115,0.1194382410561079,16.494234116540362,0.8897148339556671,-0.5756360680581869,4,0.27479446955594056,0.2644148144275599,0.11534791309875914,0.561496102705517,12.673427221650599,10,7,10,K,7
H=1,0.23347288796132148,0.1194382410561079,11.403464690521359,0.7046489746662569,-0.8697410513917836,12,0.26679170678338693,0.26817181141787216,0.0013109860855637923,0.4537762434059147,11.873150944395231,10,8,10,hold,1
H=2,0.16696919683303268,0.1194382410561079,4.753095577692479,0.5920809366160446,-0.9213658770083721,9,0.20520134530578912,0.23310643269021147,-0.003420780833415793,0.3654103316855739,5.714114796635455,9,8,10,hold,2
H=3,0.30500809797072703,0.1194382410561079,18.556985691461914,0.8290810705188388,-0.5671508992865044,5,0.27120625683527677,0.18114505470107645,0.14214326137462896,0.9548693010010079,12.314605949584214,10,7,10,hold,3
H=4,0.21223746208089223,0.1194382410561079,9.279922102478434,0.6318501556647459,-0.908413619213871,5,0.31298851878352635,0.2513204646498499,0.18329671174723416,0.7406205474406395,16.492832144409174,10,10,10,hold,4
H=6,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,hold,6
H=9,0.3380650233502682,0.1194382410561079,21.862678229416034,0.8491059461497422,-0.7669704496246204,1,0.37175802423605553,0.3698203329491223,0.15028620605670295,0.5901785854208506,22.3697826896621,10,10,10,hold,9
