name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash_months,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_positive,wf_n_beats_spy,wf_n_splits,scorer,k_combo,weighting,gate,hold
mom_12_1|k15_7_7|ew|tight|h1,0.11419223840687165,0.1194382410561079,-0.5246002649236248,0.6431620999482363,-0.3872992817701868,12,0.1094658602607892,0.08958920133523951,-0.039560378437292876,0.22974183700351825,-3.8594337078645418,9,3,10,mom_12_1,k15_7_7,ew,tight,1
mom_12_1|k15_7_7|ew|tight|h3,0.13524396638362357,0.1194382410561079,1.5805725327515674,0.6623189501511728,-0.522569539744816,5,0.14650547744807169,0.12816221439923992,0.11355460965598252,0.2959452718569293,-0.155471989136291,10,2,10,mom_12_1,k15_7_7,ew,tight,3
mom_12_1|k15_7_7|ew|tight|h6,0.09103046178172591,0.1194382410561079,-2.8407779274381983,0.48508118781492515,-0.6002601844209579,4,0.12983043662405974,0.11966396653930045,0.003886615366367918,0.3573933219638208,-1.8229760715374852,10,4,10,mom_12_1,k15_7_7,ew,tight,6
mom_12_1|k15_7_7|ew|loose|h1,0.1211115989905851,0.1194382410561079,0.16733579344772043,0.7004119623182908,-0.3615343496828587,36,0.12701811316722778,0.12208035109636872,0.0073183156024254625,0.25052074080894515,-2.104208417220683,10,4,10,mom_12_1,k15_7_7,ew,loose,1
mom_12_1|k15_7_7|ew|loose|h3,0.12512126215479324,0.1194382410561079,0.5683021098685348,0.6616152960030909,-0.654858299206442,24,0.15774663865494645,0.16029436667123675,-0.02720670275246473,0.3106621167382655,0.9686441315511839,9,5,10,mom_12_1,k15_7_7,ew,loose,3
mom_12_1|k15_7_7|ew|loose|h6,0.0678418851210223,0.1194382410561079,-5.15963559350856,0.41032896635995886,-0.7093644503597812,21,0.08920017236410166,0.09552537764162872,-0.10663107440519914,0.27757283002393573,-5.886002497533295,8,1,10,mom_12_1,k15_7_7,ew,loose,6
mom_12_1|k15_7_7|ew|none|h1,0.11371127231896061,0.1194382410561079,-0.5726968737147287,0.6581475847622491,-0.5792012950127718,0,0.13514181752077936,0.14703673908732084,-0.05154785356425673,0.26677897825176,-1.2918379818655237,9,4,10,mom_12_1,k15_7_7,ew,none,1
mom_12_1|k15_7_7|ew|none|h3,0.10765919595427942,0.1194382410561079,-1.1779045101828478,0.5965886024871943,-0.6185271521132639,0,0.13041873239755303,0.13768939720441653,-0.07123691933955534,0.2780080406044485,-1.7641464941881604,9,3,10,mom_12_1,k15_7_7,ew,none,3
mom_12_1|k15_7_7|ew|none|h6,0.10645390005117239,0.1194382410561079,-1.2984341004935507,0.5927576612399954,-0.6042308297823783,0,0.14490439572002803,0.13956736627840882,-0.06694261449454275,0.34654738832004117,-0.31558016194065963,9,4,10,mom_12_1,k15_7_7,ew,none,6
mom_12_1|k15_7_7|conv|tight|h1,0.11530293144434878,0.1194382410561079,-0.4135309611759119,0.5975193014761168,-0.6095575736834695,12,0.12747454754449064,0.085600377122245,-0.03987929718722372,0.2951969405377255,-2.058564979494397,9,4,10,mom_12_1,k15_7_7,conv,tight,1
mom_12_1|k15_7_7|conv|tight|h3,0.13487089434223942,0.1194382410561079,1.5432653286131526,0.6216464754703067,-0.6807213316821541,5,0.1479662529997792,0.13485486962502313,0.07048477682553322,0.2692074083767657,-0.009394433965541626,10,5,10,mom_12_1,k15_7_7,conv,tight,3
mom_12_1|k15_7_7|conv|tight|h6,0.09307819627646752,0.1194382410561079,-2.636004477964038,0.4688464613499927,-0.7395714406383328,4,0.14376117036869812,0.1287793160291335,-0.003552750501779278,0.3295571532765933,-0.42990269707365075,9,3,10,mom_12_1,k15_7_7,conv,tight,6
mom_12_1|k15_7_7|conv|loose|h1,0.12745321219132721,0.1194382410561079,0.8014971135219318,0.6611440008428198,-0.5617454680077106,36,0.1511967668746333,0.14474541055220191,0.011972551114323382,0.3206954256532881,0.31365695351986994,10,6,10,mom_12_1,k15_7_7,conv,loose,1
