period,from,to,cagr,spy_cagr,edge_pp,n_m
p1_03_12,2003-09-30,2012-12-31,0.40985522177305245,0.07655887600240541,33.3296345770647,112
p2_08_17,2008-01-01,2017-12-31,0.42016965854386057,0.11248321286409957,30.7686445679761,120
p3_13_22,2013-01-01,2022-12-31,0.33987195377599133,0.11276477886304992,22.71071749129414,120
p4_18_25,2018-01-01,2025-12-31,0.34100827513589205,0.1490895298315431,19.191874530434895,96
modern_10_25,2010-01-01,2025-12-31,0.30135890100057305,0.1640187813907834,13.734011960978965,192
