year,bull,crash,normal,recovery
2005,0,0,1,1
2006,1,0,1,10
2007,3,0,2,7
2008,0,3,9,0
2009,0,2,3,7
2010,2,1,3,6
2011,3,1,3,5
2012,2,0,1,9
2013,2,0,0,10
2014,3,0,0,9
2015,1,0,6,5
2016,1,0,5,6
2017,2,0,0,10
2018,3,1,1,7
2019,0,0,4,8
2020,3,1,2,6
2021,3,0,0,9
2022,1,3,6,2
2023,1,0,2,9
2024,3,0,0,9
2025,1,0,2,9
