name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats,wf_n_splits,k_normal,k_recovery,k_bull,weighting,regime_gate,hold_months,stop_loss_pct,take_profit_pct,scorer,score_threshold_pct
k3_h9,0.3380650233502682,0.12725478443785376,21.081023891241447,0.8491059461497422,-0.7669704496246204,1,0.37175802423605553,0.3698203329491223,0.15028620605670295,0.5901785854208506,22.3697826896621,10,10,10,3,3,3,ew,tight,9,0.0,0.0,ml_3plus6,
sl0.4,0.33409466969661317,0.12725478443785376,20.68398852587594,0.9702219817855977,-0.589148067374231,4,0.36166389181605485,0.3843946340760892,0.14492104439496223,0.5715333757638381,21.360369447662023,10,9,10,3,3,3,ew,tight,6,0.4,0.0,ml_3plus6,
sl0.3,0.316612296071453,0.12725478443785376,18.935751163359924,0.9800353197873996,-0.5227716578056684,4,0.34796722670636304,0.3529957695396668,0.1677700389636596,0.5826898229168729,19.990702936692845,10,10,10,3,3,3,ew,tight,6,0.3,0.0,ml_3plus6,
tp0.5,0.31607131799159927,0.12725478443785376,18.88165335537455,0.9405690105105956,-0.4361797986699979,4,0.3448715610326058,0.31793395311922923,0.07816973581569386,0.7590082821417834,19.68113636931712,10,8,10,3,3,3,ew,tight,6,0.0,0.5,ml_3plus6,
sl0.3_tp1.0,0.30227016533829887,0.12725478443785376,17.501538090044512,0.971168309176905,-0.5227716578056681,4,0.34363338337875476,0.35517143258032535,0.15007043821930366,0.5656781493462886,19.557318603932014,10,8,10,3,3,3,ew,tight,6,0.3,1.0,ml_3plus6,
sl0.3_tp0.75,0.28682718415449293,0.12725478443785376,15.957239971663917,0.9917084515051294,-0.5227716578056681,4,0.3293370171787316,0.3464293754066784,0.1312721534472543,0.5027412685192036,18.127681983929698,10,8,10,3,3,3,ew,tight,6,0.3,0.75,ml_3plus6,
sl0.25,0.2983535630153029,0.12725478443785376,17.109877857744916,1.0368299764920184,-0.4610653485103708,4,0.3128943778535994,0.3015574205600191,0.17508568117480916,0.6437177794409585,16.48341805141649,10,9,10,3,3,3,ew,tight,6,0.25,0.0,ml_3plus6,
sl0.25_tp1.0,0.2811048839656616,0.12725478443785376,15.38500995278078,1.0363414142569358,-0.4610653485103709,4,0.3020821397882914,0.30696064857688177,0.16433837099258208,0.4634008044735367,15.402194244885678,10,9,10,3,3,3,ew,tight,6,0.25,1.0,ml_3plus6,
k5_h6,0.2980833639091178,0.12725478443785376,17.082857947126406,0.8588307090930304,-0.5909142089595415,4,0.29544281793433685,0.29711353258451745,0.04753139829500763,0.6707996455163325,14.738262059490228,10,8,10,5,5,5,ew,tight,6,0.0,0.0,ml_3plus6,
k3_h6_conv,0.3406822200641535,0.12725478443785376,21.342743562629973,0.7535113583317441,-0.7074931175762068,4,0.2941248780452055,0.24847350111775435,-0.032952156271357724,0.7462218877412667,14.606468070577085,9,8,10,3,3,3,conv,tight,6,0.0,0.0,ml_3plus6,
sl0.25_tp0.75,0.26955991352752084,0.12725478443785376,14.230512908966709,1.0555286494866083,-0.46106534851037095,4,0.2939026800272351,0.2923123606323341,0.1453068721021038,0.41909803380436994,14.584248268780048,10,8,10,3,3,3,ew,tight,6,0.25,0.75,ml_3plus6,
sl0.3_tp0.5,0.2396928253757067,0.12725478443785376,11.243804093785293,0.9478083279056013,-0.3939260317312036,4,0.27196151338928437,0.27932952714232795,0.09940424906761436,0.4375340374666308,12.390131604984976,10,8,10,3,3,3,ew,tight,6,0.3,0.5,ml_3plus6,
k3_h3,0.30500809797072703,0.12725478443785376,17.775331353287328,0.8290810705188388,-0.5671508992865044,5,0.27120625683527677,0.18114505470107645,0.14214326137462896,0.9548693010010079,12.314605949584214,10,7,10,3,3,3,ew,tight,3,0.0,0.0,ml_3plus6,
tp0.3,0.24317837296557898,0.12725478443785376,11.592358852772522,0.9077838595958068,-0.3162480597916005,4,0.2490575997118052,0.2131978664443579,0.10912630659294065,0.6554162355517779,10.099740237237057,10,8,10,3,3,3,ew,tight,6,0.0,0.3,ml_3plus6,
sl0.25_tp0.5,0.22528962902512117,0.12725478443785376,9.803484458726741,1.0034779797595352,-0.32825566270556217,4,0.2419273118310495,0.2291473598362389,0.11307533782598744,0.40433450652314695,9.386711449161492,10,8,10,3,3,3,ew,tight,6,0.25,0.5,ml_3plus6,
sl0.2,0.2414832477576554,0.12725478443785376,11.422846331980164,0.9274271253461129,-0.45765945439687356,4,0.2376750978097782,0.21071431069430568,0.1301897529051257,0.4523194418983165,8.961490047034356,10,8,10,3,3,3,ew,tight,6,0.2,0.0,ml_3plus6,
k3_h6_softmax,0.3021980261374535,0.12725478443785376,17.494324169959974,0.6805218419285719,-0.7472216603341127,4,0.23644053567646636,0.1701203173761866,-0.028439285071707787,0.6439576063314163,8.838033833703172,8,7,10,3,3,3,softmax,tight,6,0.0,0.0,ml_3plus6,
sl0.2_tp1.0,0.2265780635669532,0.12725478443785376,9.932327912909944,0.9221656653343399,-0.4576594543968736,4,0.22803722695330803,0.23959839621945656,0.1130597472324888,0.33586551570038803,7.9977029613873425,10,8,10,3,3,3,ew,tight,6,0.2,1.0,ml_3plus6,
sl0.2_tp0.75,0.22151886967688217,0.12725478443785376,9.42640852390284,0.9455035142743639,-0.4576594543968735,4,0.22696714636661164,0.2364773126115315,0.0948664145448157,0.3598717240602536,7.890694902717702,10,8,10,3,3,3,ew,tight,6,0.2,0.75,ml_3plus6,
k1_h6,0.26821279902294703,0.12725478443785376,14.095801458509328,0.6017848887805844,-0.8038217546777913,4,0.1980350476894011,0.128845397751573,-0.08761541671242146,0.5445344177091693,4.99748503499665,8,4,10,1,1,1,ew,tight,6,0.0,0.0,ml_3plus6,
sl0.15,0.21332835969784592,0.12725478443785376,8.607357525999216,0.8997948485155565,-0.35906359225190226,4,0.19511982144450543,0.1458585319987612,0.11396557529745066,0.393264708448255,4.705962410507082,10,7,10,3,3,3,ew,tight,6,0.15,0.0,ml_3plus6,
sl0.2_tp0.5,0.18727465785955122,0.12725478443785376,6.001987342169746,0.9016834403202314,-0.33609092643148497,4,0.18957854705253444,0.20263004759901282,0.057988219818787545,0.3319892144437264,4.151834971309983,10,8,10,3,3,3,ew,tight,6,0.2,0.5,ml_3plus6,
