name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats,wf_n_splits,k_normal,k_recovery,k_bull,weighting,regime_gate,hold_months,stop_loss_pct,take_profit_pct,scorer,score_threshold_pct
baseline_v3,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,3,3,3,ew,tight,6,0.0,0.0,ml_3plus6,
thr0.3,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,3,3,3,ew,tight,6,0.0,0.0,ml_3plus6,0.3
thr0.05,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,3,3,3,ew,tight,6,0.0,0.0,ml_3plus6,0.05
thr0.2,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,3,3,3,ew,tight,6,0.0,0.0,ml_3plus6,0.2
thr0.1,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,3,3,3,ew,tight,6,0.0,0.0,ml_3plus6,0.1
k3_h6_gate_v4,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,3,3,3,ew,v4,6,0.0,0.0,ml_3plus6,
k3_h6_invvol,0.3813972304007436,0.12725478443785376,25.41424459628898,0.9695106424150287,-0.4638255989927828,4,0.4240895680107781,0.3477814420211862,0.2081844566274158,1.0558463428565679,27.60293706713435,10,9,10,3,3,3,invvol,tight,6,0.0,0.0,ml_3plus6,
tp1.5,0.3915389902347757,0.12725478443785376,26.42842057969219,0.9668380830238402,-0.49828619285029263,4,0.4213612211897161,0.39897919814733074,0.159356103663852,0.9752749541258987,27.330102385028148,10,9,10,3,3,3,ew,tight,6,0.0,1.5,ml_3plus6,
tp1.0,0.38106584170710334,0.12725478443785376,25.381105726924957,0.9618173787702917,-0.4982861928502926,4,0.4169819571890052,0.39805031077681785,0.12629996590212889,0.8481225060570701,26.892175984957067,10,9,10,3,3,3,ew,tight,6,0.0,1.0,ml_3plus6,
tp0.75,0.37014748041792767,0.12725478443785376,24.28926959800739,0.9850723124792213,-0.49828619285029246,4,0.40607215928499285,0.37838226298658084,0.10892409917854717,0.8263766530008321,25.80119619455582,10,8,10,3,3,3,ew,tight,6,0.0,0.75,ml_3plus6,
k3_h12,0.35568744158996046,0.12725478443785376,22.84326571521067,0.9943094803469081,-0.5876047160434913,4,0.38911224284584944,0.36838392951310583,0.10619991220641989,0.6596371980921731,24.105204550641496,10,9,10,3,3,3,ew,tight,12,0.0,0.0,ml_3plus6,
k2_h6,0.3449989657542558,0.12725478443785376,21.774418131640203,0.7877515149773633,-0.6906744930515393,4,0.3743414724081379,0.3145798364031659,0.13207884438122242,0.7637908978018024,22.62812750687033,10,9,10,2,2,2,ew,tight,6,0.0,0.0,ml_3plus6,
