date,ret_m,n_picks,scale,picks,pick_ret_min,pick_ret_max,pick_ret_mean,top_w_pick,top_w,reason
2009-03-31,0.0,0,0.0,,,,,,,regime
2009-04-30,0.0,0,0.0,,,,,,,regime
2009-05-29,0.0,0,0.0,,,,,,,regime
2009-06-30,0.17102477937791635,30,0.9786152025999633,"C,AIG,GT,GR,MU,THC,F,IP,ETFC,DFS,MBI,X,EQ,LM,AMD,KBH,ARNC,CPWR,IGT,FITB,VIAV,TGNA,PXD,SLM,MSI,CIEN,AXP,DD,AFL,TLAB",-0.4336206082737946,0.9607835032430282,0.15765098778939207,TLAB,0.05000000000000001,ok
2009-07-31,0.19936307471969517,30,1.0,"C,MBI,AIG,MTW,AMD,TGNA,VLO,LM,AIV,BAC,X,KIM,THC,ANDV,GR,ARNC,COF,DD,ODP,AKAM,PXD,HIG,MS,CIEN,KEY,AMP,TXT,IPG,RRD,HBAN",-0.3947368470585578,2.4497718093615073,0.23664661152992908,DD,0.04999999999999999,ok
2009-08-31,0.07067397821327999,30,1.0,"CPWR,MS,AIG,ETFC,FITB,RF,ODP,ZION,SLM,GNW,CBRE,HBAN,MSI,AIV,GR,TGNA,KIM,PXD,LNC,PLD,AMD,CIEN,AZO,PBG,EBAY,UNH,C,FHN,YUM,FISV",-0.10571416729504095,0.45522959650925804,0.06679063878293164,AZO,0.04999999999999999,ok
2009-09-30,-0.001,30,1.0,"SLM,ETFC,KEY,FITB,AIG,VIAV,DNR,ARNC,ANF,KIM,ANDV,KBH,XRX,LM,CPWR,BAC,AET,BHGE,VLO,IP,GT,HOG,JWN,X,CI,MAS,ATI,IGT,TIE,PXD",0.0,0.0,0.0,AET,0.045629192965642065,ok
2009-10-30,0.0,0,0.0,,,,,,,regime
2009-11-30,0.09036143972388193,30,1.0,"C,AIG,MBI,ETFC,GR,TGNA,TXT,FITB,BAC,CPWR,LNC,KIM,VIAV,RRD,SLM,LEN,AIV,GNW,COF,MS,ATI,ANDV,NYT,AMD,GE,PFG,BEN,HBAN,TMUS,IGT",-0.1946473823796236,0.5066240195395934,0.07401350742602814,RRD,0.04999999999999999,ok
2009-12-31,-0.001,30,1.0,"CPWR,AIG,ETFC,C,GR,TMUS,MS,ESRX,RF,SWN,CF,AIV,DO,CSX,JNPR,MUR,MOLX,EOG,WBA,COG,RRC,TGNA,GPS,NBL,WMB,HIG,RRD,L,BHGE,KSS",0.0,0.0,0.0,ESRX,0.05,ok
