date,ret_m,n_picks,picks,reason
2010-06-30,0.0,0,,regime
2010-07-30,0.0,0,,regime
2010-08-31,0.0,0,,regime
2010-09-30,-0.001,30,"MCD,SRCL,AZO,MO,WEC,GIS,HRL,ES,YUM,AMT,SO,PCG,VTR,AAPL,KDP,CHRW,CRM,DE,ORLY,INTU,UNP,CMI,BLL,SHW,CTSH,T,FMC,DISCA,PSA,ECL",ok
2010-10-29,0.0,0,,regime
2010-11-30,0.049039879155863476,30,"MO,AZO,YUM,MCD,WEC,ORCL,SRCL,UNP,ES,PM,AAPL,FMC,GWW,DE,BLL,CHRW,CTL,ROP,BKNG,EL,MKC,AMT,INTU,CF,SO,XEL,OKE,PPG,T,APD",ok
2010-12-31,-0.013435325283545674,30,"AZO,FMC,MCD,SRCL,YUM,GWW,HRL,CTL,KO,UNP,NKE,CHRW,ROP,BLL,AAPL,MKC,MO,CMI,CRM,ES,WEC,NFLX,IFF,CF,ORCL,WAT,PPG,SO,OKE,SHW",ok
2011-01-31,0.037821860792755214,30,"AZO,SRCL,AAPL,CTL,HRL,ORCL,FMC,SHW,MO,CHRW,ROST,MKC,YUM,CMI,KO,UNP,GWW,ORLY,OKE,AGN,ROP,NFLX,CVX,IBM,ES,VZ,CF,LH,APD,DHR",ok
2011-02-28,0.03191228262237328,30,"IBM,AAPL,ORCL,SRCL,AZO,OKE,DE,EMN,CSX,CVX,HRL,BLL,ROST,ROP,AGN,BKNG,SHW,MO,NFLX,EL,LH,CMI,ES,KO,UNP,CF,VZ,IFF,COP,WEC",ok
2011-03-31,-0.001,30,"SRCL,HRL,OKE,AAPL,AZO,CVX,IBM,ROP,ROST,CSX,BLL,AGN,EL,DE,TDC,MKC,BKNG,PM,CF,DHR,ES,ORCL,COP,NFLX,MCD,HUM,DVN,PPG,LH,UNP",ok
2011-04-29,0.0,0,,regime
2011-05-31,-0.0066659582041591545,30,"PM,MO,IBM,HRL,OKE,AGN,ORCL,SRCL,CVX,SJM,EW,BAX,AZO,CERN,DHR,EMN,DE,CNP,BKNG,ES,WAT,CSX,GWW,WELL,VZ,T,HON,TJX,IFF,SO",ok
2011-06-30,-0.001,30,"PM,AZO,MO,HRL,OKE,IBM,SJM,AGN,ROST,MCD,BLL,YUM,CERN,WAT,VRSN,CNP,SRCL,ES,CSX,CVX,BAX,UNP,EW,NFLX,GWW,DHR,SO,WEC,IFF,ADP",ok
2011-07-29,0.0,0,,regime
2011-08-31,-0.031231049648101066,30,"IBM,MCD,PM,AGN,AAPL,AZO,TJX,OKE,MO,ROST,KO,HRL,CERN,SO,CNP,GWW,D,ACN,UNP,NSC,NFLX,MA,CVX,BAX,ED,CF,FMC,EQT,BLL,BMY",ok
2011-09-30,0.0,0,,regime
2011-10-31,0.08509978299080295,30,"AZO,MCD,IBM,AGN,AAPL,D,MO,TJX,SO,ROST,BMY,COST,GWW,ED,SJM,KO,OKE,CERN,WEC,FAST,VFC,MA,ISRG,BF.B,VZ,CVX,BAX,ACN,EQT,SPG",ok
2012-03-30,0.0,0,,regime
2012-05-31,-0.001,30,"ROST,TJX,ORLY,DLTR,AAPL,PM,SHW,MO,YUM,ALXN,ISRG,KO,CCI,SPG,AGN,WEC,BIIB,IBM,FMC,GWW,DISCA,V,SO,AMT,ROP,PSA,ECL,ABT,MA,NEE",ok
2012-06-29,0.0,0,,regime
2012-07-31,-0.016494790578637248,30,"MO,ROST,DLTR,WEC,TJX,PM,MKC,SHW,AAPL,PRGO,ALXN,BF.B,SO,XEL,ED,AGN,AMT,AZO,V,ECL,CCI,BIIB,SPG,BMY,EW,ABT,VTR,OKE,VZ,T",ok
2012-08-31,-0.001,30,"MO,ROST,WEC,MKC,TJX,SHW,PM,WMT,ED,BF.B,PNW,XEL,ALXN,AAPL,SPG,AGN,AMT,VTR,VRSN,ABT,OKE,CCI,UNP,V,T,BIIB,EW,HD,PRGO,VZ",ok
2012-09-28,0.0,0,,regime
