name,top_k,cagr,sharpe,max_dd,win_rate,ann_vol,n_months,cash_months,mean_m,std_m,avg_scale
lgbm+sh12 K= 30 + vol<25% + sw + voltarget(18%),30,0.1951,1.136,-0.2655,0.436,0.1704,179,23,0.01614,0.04919,0.836
lgbm K= 20 + vol_univ<25% + voltarget(18%) + regime_loose,20,0.1922,1.123,-0.2528,0.425,0.1703,179,23,0.01593,0.04915,0.836
lgbm K= 50 + vol<25% + d200>0% + voltarget(18%),50,0.1599,1.09,-0.2408,0.408,0.1466,179,26,0.01331,0.04231,0.836
lgbm+sh12 K= 50 + vol<25% + sw + voltarget(18%),50,0.1723,1.079,-0.2375,0.425,0.16,179,23,0.01438,0.04618,0.836
lgbm+sh12 K= 40 + vol<25% + sw + voltarget(18%),40,0.1678,1.037,-0.2084,0.436,0.1632,179,23,0.0141,0.04712,0.836
lgbm K= 30 + vol_univ<25% + voltarget(18%) + regime_loose,30,0.1696,1.035,-0.255,0.419,0.1653,179,23,0.01426,0.04771,0.836
lgbm+sh12 K= 30 + vol<25% + sw + voltarget(18%),30,0.168,1.027,-0.2793,0.419,0.1652,179,23,0.01414,0.04768,0.836
lgbm+sh12 K= 50 + vol<25% + sw + voltarget(18%),50,0.1488,0.99,-0.2242,0.43,0.1525,179,23,0.01259,0.04403,0.836
lgbm K= 40 + vol_univ<25% + voltarget(18%) + regime_loose,40,0.1498,0.953,-0.2735,0.413,0.1608,179,23,0.01277,0.04643,0.836
lgbm+sh12×0.3 K= 50 + vol<25% + regime_200ma,50,0.1381,0.932,-0.2799,0.413,0.1518,179,30,0.01179,0.04382,0.809
lgbm K= 20 + vol_univ<20% + voltarget(18%) + regime_loose,20,0.1231,0.909,-0.2921,0.385,0.1389,179,28,0.01051,0.04009,0.836
lgbm K= 50 + vol_univ<25% + voltarget(18%) + regime_loose,50,0.1375,0.895,-0.2783,0.413,0.1588,179,23,0.01185,0.04584,0.836
lgbm+sh12×0.5 K= 40 + vol<25% + regime_200ma,40,0.1299,0.889,-0.2857,0.408,0.1508,179,30,0.01117,0.04352,0.809
lgbm K= 30 + vol_univ<20% + voltarget(18%) + regime_loose,30,0.1039,0.827,-0.3134,0.397,0.1303,179,28,0.00898,0.03762,0.836
lgbm K= 40 + vol_univ<20% + voltarget(18%) + regime_loose,40,0.0968,0.813,-0.2872,0.397,0.1235,179,28,0.00837,0.03564,0.836
lgbm K= 50 + vol_univ<20% + voltarget(18%) + regime_loose,50,0.0896,0.779,-0.2792,0.391,0.1198,179,28,0.00778,0.03457,0.836
