name,top_k,weighting,cagr,sharpe,max_dd,win_rate,ann_vol,n_months,cash_months,mean_m,std_m,avg_scale,ratio
inv_vol cap=5% K= 30 3way_blend + vt18% + loose,30,inv_vol_capped,0.6513,1.834,-0.1359,0.503,0.301,179,23,0.04599,0.0869,0.836,0.5293
inv_vol² K= 30 3way_blend + vt18% + loose,30,inv_vol2,0.546,1.831,-0.124,0.486,0.2587,179,23,0.03949,0.07469,0.836,0.5287
inv_vol2 K= 30 3way_blend + vt=18% + loose,30,inv_vol2,0.546,1.831,-0.124,0.486,0.2587,179,23,0.03949,0.07469,0.836,0.5287
inv_vol cap=7% K= 30 3way_blend + vt18% + loose,30,inv_vol_capped,0.6339,1.829,-0.1358,0.497,0.2948,179,23,0.04495,0.08512,0.836,0.5281
inv_vol2 K= 30 3way_blend + vt=15% + loose,30,inv_vol2,0.5255,1.828,-0.1133,0.486,0.2506,179,23,0.03818,0.07235,0.813,0.5277
inv_vol cap=10% K= 30 3way_blend + vt18% + loose,30,inv_vol_capped,0.6323,1.827,-0.1358,0.497,0.2946,179,23,0.04486,0.08505,0.836,0.5275
inv_vol² K= 25 3way_blend + vt18% + loose,25,inv_vol2,0.5843,1.825,-0.1212,0.48,0.2757,179,23,0.04191,0.07958,0.836,0.5267
inv_vol K= 30 3way_blend + vt18% + loose [REF],30,inv_vol,0.6312,1.825,-0.1358,0.497,0.2946,179,23,0.0448,0.08506,0.836,0.5267
inv_vol K= 35 3way_blend + vt18% + loose [REF],35,inv_vol,0.5943,1.815,-0.154,0.475,0.2813,179,23,0.04256,0.08121,0.836,0.5241
inv_vol cap=7% K= 25 3way_blend + vt18% + loose,25,inv_vol_capped,0.6874,1.812,-0.1288,0.486,0.3195,179,23,0.04825,0.09223,0.836,0.5232
inv_vol² K= 35 3way_blend + vt18% + loose,35,inv_vol2,0.5128,1.806,-0.146,0.48,0.2488,179,23,0.03744,0.07182,0.836,0.5212
inv_vol cap=10% K= 25 3way_blend + vt18% + loose,25,inv_vol_capped,0.6781,1.805,-0.1288,0.486,0.3172,179,23,0.04772,0.09156,0.836,0.5212
inv_vol K= 25 3way_blend + vt18% + loose [REF],25,inv_vol,0.6761,1.802,-0.1288,0.486,0.3171,179,23,0.04761,0.09153,0.836,0.5202
inv_vol cap=5% K= 40 3way_blend + vt18% + loose,40,inv_vol_capped,0.5756,1.799,-0.155,0.48,0.2765,179,23,0.04145,0.07983,0.836,0.5192
inv_vol cap=7% K= 40 3way_blend + vt18% + loose,40,inv_vol_capped,0.5735,1.797,-0.155,0.48,0.2759,179,23,0.04132,0.07964,0.836,0.5188
inv_vol cap=10% K= 40 3way_blend + vt18% + loose,40,inv_vol_capped,0.573,1.796,-0.155,0.48,0.2759,179,23,0.04129,0.07964,0.836,0.5185
inv_vol K= 40 3way_blend + vt18% + loose [REF],40,inv_vol,0.5727,1.795,-0.155,0.48,0.2759,179,23,0.04127,0.07964,0.836,0.5182
inv_vol cap=5% K= 25 3way_blend + vt18% + loose,25,inv_vol_capped,0.7313,1.794,-0.1304,0.486,0.3406,179,23,0.05093,0.09833,0.836,0.518
erc K= 30 3way_blend + vt=18% + loose,30,erc,0.6852,1.788,-0.1215,0.508,0.3233,179,23,0.04817,0.09332,0.836,0.5161
ERC K= 30 3way_blend + vt18% + loose,30,erc,0.6852,1.788,-0.1215,0.508,0.3233,179,23,0.04817,0.09332,0.836,0.5161
ERC cap=7% K= 30 3way_blend + vt18% + loose,30,erc,0.6852,1.788,-0.1215,0.508,0.3233,179,23,0.04817,0.09332,0.836,0.5161
ERC cap=10% K= 30 3way_blend + vt18% + loose,30,erc,0.6852,1.788,-0.1215,0.508,0.3233,179,23,0.04817,0.09332,0.836,0.5161
inv_vol² K= 40 3way_blend + vt18% + loose,40,inv_vol2,0.4922,1.787,-0.1481,0.475,0.2428,179,23,0.03615,0.07008,0.836,0.5158
erc K= 30 3way_blend + vt=15% + loose,30,erc,0.6609,1.777,-0.1115,0.508,0.3155,179,23,0.04672,0.09109,0.813,0.5129
ERC cap=10% K= 25 3way_blend + vt18% + loose,25,erc,0.7261,1.766,-0.1165,0.486,0.3446,179,23,0.05071,0.09947,0.836,0.5098
ERC K= 25 3way_blend + vt18% + loose,25,erc,0.7261,1.766,-0.1165,0.486,0.3446,179,23,0.05071,0.09947,0.836,0.5098
ERC cap=7% K= 25 3way_blend + vt18% + loose,25,erc,0.7261,1.766,-0.1165,0.486,0.3446,179,23,0.05071,0.09947,0.836,0.5098
ERC K= 40 3way_blend + vt18% + loose,40,erc,0.6356,1.756,-0.145,0.492,0.3094,179,23,0.04529,0.08933,0.836,0.507
inv_vol² K= 50 3way_blend + vt18% + loose,50,inv_vol2,0.4606,1.743,-0.1398,0.469,0.2353,179,23,0.03418,0.06793,0.836,0.5032
ERC K= 20 3way_blend + vt18% + loose,20,erc,0.7791,1.733,-0.1261,0.497,0.374,179,23,0.05399,0.10795,0.836,0.5002
