name,top_k,cagr,sharpe,max_dd,win_rate,ann_vol,n_months,cash_months,mean_m,std_m,avg_scale
lgbm K= 50 + rs6m>0 + voltarget(18%) + regime_loose,50,0.55,1.758,-0.1281,0.469,0.2729,179,23,0.03997,0.07877,0.836
lgbm K= 50 + d200>0% + voltarget(18%) + regime_loose,50,0.565,1.757,-0.1407,0.486,0.2795,179,23,0.04092,0.08068,0.836
lgbm K= 50 + d200>0% + voltarget(15%) + regime_loose,50,0.5427,1.756,-0.1263,0.486,0.2698,179,23,0.03949,0.07789,0.813
lgbm K= 40 + rs6m>0 + voltarget(18%) + regime_loose,40,0.6027,1.749,-0.1405,0.475,0.2972,179,23,0.04332,0.08579,0.836
lgbm K= 60 + d200>0% + voltarget(18%) + regime_loose,60,0.5231,1.748,-0.1379,0.475,0.2628,179,23,0.03827,0.07586,0.836
lgbm K= 60 + d200>0% + voltarget(15%) + regime_loose,60,0.5026,1.747,-0.124,0.475,0.2537,179,23,0.03693,0.07323,0.813
lgbm K= 30 + d200>0+golden + voltarget(18%) + regime_loose,30,0.6294,1.741,-0.1415,0.48,0.3099,179,23,0.04496,0.08946,0.836
lgbm K= 30 + golden_cross + voltarget(18%) + regime_loose,30,0.6263,1.74,-0.144,0.48,0.3088,179,23,0.04478,0.08915,0.836
lgbm K= 50 inv_vol + voltarget(18%) + regime_loose [ref],50,0.5687,1.74,-0.1441,0.486,0.2843,179,23,0.04123,0.08206,0.836
lgbm K= 40 + d200>0+golden + voltarget(18%) + regime_loose,40,0.5692,1.739,-0.1314,0.469,0.2845,179,23,0.04124,0.08213,0.836
lgbm K= 40 inv_vol + voltarget(18%) + regime_loose [ref],40,0.6162,1.737,-0.1499,0.469,0.3054,179,23,0.04421,0.08817,0.836
lgbm K= 40 + d200>0+golden + voltarget(15%) + regime_loose,40,0.5475,1.736,-0.1235,0.469,0.2755,179,23,0.03985,0.07952,0.813
lgbm K= 30 + rs6m>0 + voltarget(18%) + regime_loose,30,0.6586,1.734,-0.1517,0.458,0.3238,179,23,0.0468,0.09347,0.836
lgbm K= 30 + d200>0+golden + voltarget(15%) + regime_loose,30,0.6058,1.734,-0.1272,0.48,0.301,179,23,0.04351,0.0869,0.813
lgbm K= 50 + d200>0+golden + voltarget(18%) + regime_loose,50,0.5199,1.734,-0.129,0.48,0.2637,179,23,0.0381,0.07613,0.836
lgbm K= 50 + d200>0+golden + voltarget(15%) + regime_loose,50,0.4999,1.731,-0.1164,0.48,0.2551,179,23,0.0368,0.07364,0.813
lgbm K= 40 + d200>0% + voltarget(18%) + regime_loose,40,0.6158,1.73,-0.1491,0.475,0.3067,179,23,0.04422,0.08854,0.836
lgbm K= 40 + d200>0% + voltarget(15%) + regime_loose,40,0.5917,1.726,-0.1335,0.475,0.2969,179,23,0.0427,0.08571,0.813
lgbm K= 40 + golden_cross + voltarget(18%) + regime_loose,40,0.5638,1.726,-0.148,0.469,0.2847,179,23,0.04095,0.08218,0.836
lgbm K= 50 + golden_cross + voltarget(18%) + regime_loose,50,0.5151,1.724,-0.129,0.475,0.2632,179,23,0.03782,0.07599,0.836
lgbm K= 50 + d200>+2% + regime_loose,50,0.6084,1.719,-0.134,0.48,0.3058,179,23,0.0438,0.08827,0.872
lgbm K= 30 + d200>0% + voltarget(18%) + regime_loose,30,0.6643,1.718,-0.1582,0.475,0.3299,179,23,0.04723,0.09524,0.836
lgbm K= 50 + d200>+5% + regime_loose,50,0.6019,1.711,-0.1319,0.475,0.3046,179,23,0.04343,0.08794,0.872
lgbm K= 30 + d200>0% + voltarget(15%) + regime_loose,30,0.6402,1.71,-0.1409,0.475,0.321,179,23,0.04575,0.09266,0.813
lgbm K= 50 + d200>+0% + regime_loose,50,0.605,1.707,-0.1378,0.486,0.3069,179,23,0.04364,0.08859,0.872
lgbm K= 40 + d200>+2% + regime_loose,40,0.6624,1.696,-0.144,0.469,0.3343,179,23,0.04726,0.09651,0.872
lgbm K= 50 + d200>-5% + regime_loose,50,0.6001,1.695,-0.1389,0.469,0.3072,179,23,0.04338,0.08869,0.872
lgbm K= 50 + d200>0% + regime_200ma (strict),50,0.5626,1.695,-0.137,0.469,0.2903,179,30,0.04099,0.08379,0.832
lgbm K= 40 + d200>+5% + regime_loose,40,0.6574,1.693,-0.1401,0.469,0.333,179,23,0.04697,0.09613,0.872
lgbm K= 40 + d200>-5% + regime_loose,40,0.6599,1.686,-0.1483,0.458,0.3357,179,23,0.04716,0.09691,0.872
lgbm K= 30 + d200>+2% + regime_loose,30,0.7089,1.685,-0.1624,0.475,0.3571,179,23,0.05013,0.10309,0.872
lgbm K= 30 + d200>+5% + regime_loose,30,0.714,1.684,-0.1546,0.469,0.3595,179,23,0.05046,0.10379,0.872
lgbm K= 40 + d200>+0% + regime_loose,40,0.6579,1.68,-0.1475,0.475,0.3362,179,23,0.04707,0.09706,0.872
lgbm K= 30 + d200>-5% + regime_loose,30,0.7015,1.676,-0.1581,0.469,0.3561,179,23,0.04973,0.1028,0.872
lgbm K= 30 + d200>+0% + regime_loose,30,0.7059,1.676,-0.1619,0.475,0.358,179,23,0.05001,0.10334,0.872
lgbm K= 20 + d200>0+golden + voltarget(18%) + regime_loose,20,0.7179,1.674,-0.1439,0.48,0.3629,179,23,0.05063,0.10476,0.836
lgbm K= 20 + golden_cross + voltarget(18%) + regime_loose,20,0.7174,1.671,-0.1439,0.48,0.3636,179,23,0.05063,0.10496,0.836
lgbm K= 40 + d200>0% + regime_200ma (strict),40,0.61,1.671,-0.1467,0.458,0.3167,179,30,0.0441,0.09143,0.832
lgbm K= 30 + d200>0% + regime_200ma (strict),30,0.6549,1.663,-0.161,0.458,0.3384,179,30,0.04691,0.09769,0.832
lgbm K= 20 + rs6m>0 + voltarget(18%) + regime_loose,20,0.7519,1.662,-0.1659,0.464,0.3807,179,23,0.05272,0.1099,0.836
lgbm K= 20 + d200>0+golden + voltarget(15%) + regime_loose,20,0.6925,1.662,-0.1295,0.48,0.3546,179,23,0.04912,0.10237,0.813
lgbm K= 20 + d200>0% + voltarget(18%) + regime_loose,20,0.7598,1.654,-0.1667,0.48,0.3865,179,23,0.05328,0.11157,0.836
lgbm K= 20 + d200>0% + voltarget(15%) + regime_loose,20,0.7335,1.642,-0.1496,0.48,0.3779,179,23,0.05173,0.1091,0.813
lgbm K= 20 + d200>0% + regime_200ma (strict),20,0.7385,1.601,-0.1721,0.458,0.3925,179,30,0.05236,0.1133,0.832
