name,top_k,cagr,sharpe,max_dd,win_rate,ann_vol,n_months,cash_months,mean_m,std_m,avg_scale,ratio
lgbm40+highIC K= 30 inv_vol + vt18% + regime_loose,30,0.6092,1.767,-0.1319,0.469,0.2964,179,23,0.04364,0.08557,0.836,0.51
lgbm40+highIC K= 50 inv_vol + vt18% + regime_loose,50,0.5248,1.766,-0.135,0.453,0.2604,179,23,0.03832,0.07516,0.836,0.5099
lgbm40+highIC K= 60 inv_vol + vt18% + regime_loose,60,0.5012,1.762,-0.1375,0.464,0.2506,179,23,0.0368,0.07233,0.836,0.5088
lgbm40+highIC K= 40 inv_vol + vt18% + regime_loose,40,0.5495,1.761,-0.1325,0.458,0.2721,179,23,0.03992,0.07854,0.836,0.5083
lgbm40+highIC K= 20 inv_vol + vt18% + regime_loose,20,0.6812,1.735,-0.1294,0.492,0.3331,179,23,0.04816,0.09616,0.836,0.5008
breakout_60 K= 20 inv_vol + vt18% + regime_loose,20,0.4689,1.707,-0.1294,0.464,0.2449,179,23,0.03484,0.07069,0.836,0.4928
breakout_60 K= 30 inv_vol + vt18% + regime_loose,30,0.4035,1.653,-0.1532,0.469,0.2216,179,23,0.03053,0.06398,0.836,0.4772
breakout50+crt50 K= 20 inv_vol + vt18% + regime_loose,20,0.364,1.649,-0.128,0.464,0.2022,179,23,0.02779,0.05837,0.836,0.4761
breakout_60 K= 50 inv_vol + vt18% + regime_loose,50,0.3591,1.647,-0.1527,0.469,0.2,179,23,0.02745,0.05774,0.836,0.4754
breakout_60 K= 40 inv_vol + vt18% + regime_loose,40,0.377,1.635,-0.1631,0.447,0.211,179,23,0.02874,0.06091,0.836,0.4719
breakout_60 K= 60 inv_vol + vt18% + regime_loose,60,0.3396,1.626,-0.1589,0.475,0.1926,179,23,0.02611,0.0556,0.836,0.4695
4way_highIC K= 60 inv_vol + vt18% + regime_loose,60,0.3212,1.598,-0.1356,0.464,0.1865,179,23,0.02484,0.05384,0.836,0.4614
