name,top_k,cagr,sharpe,max_dd,win_rate,ann_vol,n_months,cash_months,mean_m,std_m,avg_scale,ratio
K= 30 L=0.70+S12=0.20+S5y=0.10 + vt18% + loose,30,0.6312,1.825,-0.1358,0.497,0.2946,179,23,0.0448,0.08506,0.836,0.5267
K=40 L=0.65+S12=0.20+S5y=0.15,40,0.5491,1.803,-0.1415,0.475,0.2647,179,23,0.03977,0.07641,0.836,0.5204
K=40 L=0.70+S12=0.30,40,0.5834,1.799,-0.1582,0.475,0.2796,179,23,0.04193,0.08072,0.836,0.5195
L=0.70+S12=0.30 K= 40 + vt=20% + loose,40,0.5921,1.799,-0.1573,0.475,0.2834,179,23,0.04248,0.08182,0.844,0.5192
L=0.70+S12=0.30 K= 40 + vt=18% + loose,40,0.5834,1.799,-0.1582,0.475,0.2796,179,23,0.04193,0.08072,0.836,0.5195
L=0.70+S12=0.30 K= 40 + vt=15% + loose,40,0.5619,1.796,-0.1448,0.475,0.2711,179,23,0.04057,0.07827,0.813,0.5184
K=40 L=0.70+S12=0.20+S5y=0.10,40,0.5727,1.795,-0.155,0.48,0.2759,179,23,0.04127,0.07964,0.836,0.5182
K=40 L=0.60+S12=0.20+S5y=0.10+Idio=0.10,40,0.5614,1.792,-0.1505,0.475,0.2717,179,23,0.04058,0.07843,0.836,0.5174
K=40 L=0.75+S12=0.25,40,0.595,1.791,-0.1514,0.475,0.2859,179,23,0.04268,0.08254,0.836,0.5171
K=40 L=0.70+S12=0.15+Idio=0.15,40,0.5915,1.79,-0.1473,0.492,0.2848,179,23,0.04247,0.08221,0.836,0.5166
K=40 L=0.65+S12=0.20+Idio=0.15,40,0.5846,1.789,-0.1538,0.492,0.282,179,23,0.04205,0.08142,0.836,0.5165
K=40 L=0.60+S12=0.25+S5y=0.15,40,0.5361,1.786,-0.151,0.475,0.2621,179,23,0.03899,0.07565,0.836,0.5154
L=0.70+S12=0.30 K= 30 + d200>0+rs>0 + vt18% + loose,30,0.6127,1.784,-0.1646,0.475,0.2947,179,23,0.04381,0.08507,0.836,0.515
K= 30 L=0.70+S12=0.30 + vt18% + loose,30,0.6218,1.784,-0.1542,0.48,0.2986,179,23,0.04438,0.0862,0.836,0.5149
BEST: L=0.70+S12=0.30 K= 30 d200+rs vt=18% loose,30,0.6127,1.784,-0.1646,0.475,0.2947,179,23,0.04381,0.08507,0.836,0.515
K=40 L=0.80+S12=0.20,40,0.5965,1.783,-0.1527,0.475,0.288,179,23,0.04281,0.08315,0.836,0.5148
K=40 L=0.85+S12=0.15,40,0.6113,1.782,-0.1487,0.48,0.2945,179,23,0.04373,0.08501,0.836,0.5145
BEST: L=0.70+S12=0.30 K= 30 d200+rs vt=15% loose,30,0.5903,1.779,-0.15,0.475,0.2861,179,23,0.04241,0.0826,0.813,0.5135
L=0.70+S12=0.30 K= 40 + vt=12% + loose,40,0.5165,1.772,-0.1205,0.475,0.2554,179,23,0.03771,0.07374,0.76,0.5115
