feature,n_event,n_ctrl,event_mean,ctrl_mean,event_med,ctrl_med,event_std,ctrl_std,ks_stat,ks_p,auroc,auroc_signed
vol_12m,793,3850,1.457257370241399,4.410093348631408,0.5824789090150542,0.41509016027817647,17.0598229201878,173.05839129049463,0.3208555379047182,1.5897715604129582e-60,0.7034015165162706,0.7034015165162706
vol_1y,793,3850,1.457257370241399,4.410093348631408,0.5824789090150542,0.41509016027817647,17.0598229201878,173.05839129049463,0.3208555379047182,1.5897715604129582e-60,0.7034015165162706,0.7034015165162706
vol_6m,793,3850,1.1858157664912288,0.5401029549708886,0.5948795365219062,0.4226625650281034,9.607442033925553,1.381600095337049,0.2980226331046003,3.92023747835606e-52,0.6918625636658423,0.6918625636658423
pullback_all,793,3850,-0.6453522018911187,-0.45248345205030516,-0.71809252563663,-0.43847928574865525,0.29313874551123964,0.30556809246058053,0.2958310541917099,2.3169358024897004e-51,0.322268223579699,0.677731776420301
max_dd_5y,760,3706,-0.7506906551024716,-0.6008939974397806,-0.7801098911040206,-0.6029212279760756,0.17180584536999216,0.21997143023727234,0.2955300082369983,3.49974000248453e-49,0.3031282841480387,0.6968717158519613
worst_month_24m,793,3850,-0.3173180858700092,-0.23614079201918597,-0.2871794511190118,-0.20464240912825493,0.1504946797145923,0.13698789888830146,0.29413209741078594,9.062697662950253e-51,0.31990468547845596,0.680095314521544
best_month_24m,793,3850,0.6981239517682318,0.30188684502019597,0.3323341225713532,0.2141072479715307,6.284704839811146,0.41373131913189853,0.289420743191235,3.831691991252978e-49,0.6895917197556541,0.6895917197556541
vol_3m,793,3850,1.266524496404668,0.5379487734448101,0.5960013176994124,0.41587641050671925,11.005966052445356,1.1117276194162835,0.27177707538363277,2.64197913067987e-43,0.676515615532009,0.676515615532009
pullback_5y,760,3706,-0.581853284693878,-0.4144436151614357,-0.6338046884542745,-0.3898733995393491,0.28177969808950615,0.28883413167793626,0.2630101968358565,6.54928969125258e-39,0.33797575766182864,0.6620242423381714
quality_score_5y,760,3706,0.08289159494334007,0.16832215344684776,0.03191504417259055,0.11051507693221835,0.1201912162639297,0.18798249062987363,0.24416380265288154,1.5550547908556522e-33,0.3664807424659869,0.6335192575340132
pullback_3y,781,3806,-0.5300394403248504,-0.3870375930478304,-0.5657718150445263,-0.35209829859661,0.2798354624804204,0.2782513612990704,0.24159777371533459,1.0032533158221376e-33,0.3569402850005013,0.6430597149994988
log_price,793,3850,2.1097060758946613,2.8754313120666093,2.1494339046078026,2.8881826562217183,1.5415000382077404,1.3706834140223196,0.23918737000704213,1.5484586273560736e-33,0.34825633383010435,0.6517436661698957
trend_health_5y,793,3850,0.4793180758847956,0.5683597901082215,0.47619047619047616,0.5793650793650794,0.18431405527466768,0.18156613892868062,0.23681597091433157,7.073967138415109e-33,0.35867345768985115,0.6413265423101489
mom_5y,577,2990,0.5383114604703918,0.7298329808581587,-0.21370602821912799,0.2390804644672644,2.6049155222065172,2.786060169646509,0.2354375938280693,4.94758685011031e-24,0.38557699553103064,0.6144230044689694
excess_5y_logret,577,2990,-0.7431152366735729,-0.29927542393912115,-0.6196191238477196,-0.19109629795981373,1.4718669759162393,1.0400038923249963,0.2327602696452067,1.709476039231105e-23,0.38855109173849284,0.6114489082615071
min_dd_60d,793,3850,-0.3107146560589343,-0.23235261147433423,-0.27060127788116917,-0.1841628006640254,0.18559514185153417,0.16638526182395413,0.2256101275773407,7.495402737026731e-30,0.3576112412177986,0.6423887587822015
tight_consolidation_60,793,3850,0.02236233711643548,0.07633766233766233,0.0,0.0,0.07869252696912847,0.15493090666437598,0.19632924452596584,1.1557879741005544e-22,0.1686215423920342,0.8313784576079658
breakout_strength_60,793,3850,-0.22721106109390304,-0.1562967126840693,-0.18670080833087277,-0.10531872699974926,0.19130213980475405,0.15995417420187147,0.19470889765971733,2.695689194977577e-22,0.37954439003619334,0.6204556099638067
max_below_200_streak,793,3850,234.46153846153845,192.21506493506493,221.0,182.0,115.40893396524834,103.76490902263782,0.19344950131835378,5.183285749268027e-22,0.6168998214899855,0.6168998214899855
mom_3y,695,3474,0.41139245069703007,0.3557067340579067,-0.18562912472210724,0.09667197901178826,2.1289895841668387,1.2818716420127645,0.19070836594972726,6.291410150800351e-19,0.4193308565582767,0.5806691434417233
bb_width_pct,793,3850,0.30006166216988583,0.21236027028910096,0.2180852992863618,0.15820455625675095,0.2822333076460628,0.20038234035749966,0.18933132441329162,4.2551985889529336e-21,0.6253195984343526,0.6253195984343526
below_52wh,793,3850,3.280337169836947,1.2956299026966775,0.6155544298812126,0.34785521465705915,34.93802935668287,20.482179707451124,0.16958942696647614,5.3943295146335257e-17,0.6017988568808241,0.6017988568808241
