feature,n_event,n_ctrl,event_mean,ctrl_mean,event_med,ctrl_med,event_std,ctrl_std,ks_stat,ks_p,auroc,auroc_signed
max_dd_5y,2629,12939,-0.6309455752038194,-0.5388111987649088,-0.6412650730807505,-0.514745308310992,0.22324656658979333,0.2238068400227981,0.18649148412139938,5.338303063600091e-67,0.3837496723293968,0.6162503276706033
vol_1y,2753,13520,6.63983852169048,0.45251928279362424,0.43621112417212204,0.34258560847543323,195.13522682572764,1.7844235906084573,0.1799167180719473,3.0353043461539897e-65,0.6138304743399884,0.6138304743399884
vol_12m,2753,13520,6.63983852169048,0.45251928279362424,0.43621112417212204,0.34258560847543323,195.13522682572764,1.7844235906084573,0.1799167180719473,3.0353043461539897e-65,0.6138304743399884,0.6138304743399884
best_month_24m,2753,13520,0.6891700578367387,0.2895763199898233,0.25792189231477636,0.19528532560053613,9.015424757899224,0.8402624583419935,0.17813950139385326,5.823186619502471e-64,0.6196644274024894,0.6196644274024894
worst_month_24m,2753,13520,-0.2481893536399201,-0.200196888220662,-0.21506442452702856,-0.16543234239805465,0.14640874845551835,0.12868097121692845,0.1659968307838463,1.5166281592319185e-55,0.39089137831349124,0.6091086216865087
vol_6m,2753,13520,5.083765054742062,0.4465521992449939,0.42620770906430794,0.3350599997514446,184.90537750268135,2.0576038159455923,0.1630621624177605,1.3287325454530067e-53,0.6099132038851646,0.6099132038851646
vol_3m,2753,13520,4.557404947478923,0.4503526632298433,0.412388092785419,0.327086942124876,163.74980399960074,2.8232731097277757,0.1584796682263781,1.218508302292618e-50,0.6050517778346162,0.6050517778346162
pullback_all,2753,13520,-0.44384810936079555,-0.34673230364640395,-0.41269114616476743,-0.25572606664823816,0.33277664060033385,0.3024110338513053,0.15558242541219153,8.207823034112043e-49,0.41876210352557836,0.5812378964744216
pullback_5y,2629,12939,-0.3822760822840127,-0.2972816868490391,-0.3051961232843635,-0.2062085451381478,0.3083785195090652,0.2736552739680052,0.15181147715657084,1.9716934672743265e-44,0.4250619939405522,0.5749380060594478
tight_consolidation_60,2753,13520,0.07082576583121444,0.12035749506903351,0.0,0.0,0.14928748788587093,0.19256782510665987,0.1452704902881633,1.388734543548219e-42,0.4956686841895984,0.5043313158104016
quality_score_5y,2629,12939,0.1922423269250598,0.24535061448480128,0.11916523649206134,0.19542083895312112,0.21191895821326343,0.22021711062085567,0.13870756336804785,3.909159081244191e-37,0.4176496490790049,0.5823503509209951
pullback_3y,2714,13336,-0.3491577579118329,-0.27658099080879567,-0.2658590230462726,-0.1892758071478825,0.2928708474817432,0.25866882773802913,0.13472638928367606,3.7013022728944626e-36,0.4341100368725076,0.5658899631274924
bb_width_pct,2753,13520,0.21213861286436303,0.16476385189053386,0.15294843703061212,0.12120089850598254,0.21013708240966505,0.16297509027026122,0.1327173476164787,1.3747365868291531e-35,0.590539368564041,0.590539368564041
trend_health_5y,2753,13520,0.5728145221679679,0.617530634267862,0.5817460317460318,0.6325396825396825,0.18582085491531716,0.17240039496814571,0.11828196566628768,2.4572181012414648e-28,0.4281359818336962,0.5718640181663037
min_dd_60d,2753,13520,-0.20901862855999354,-0.17264952195260524,-0.16431935445839319,-0.13520240191268146,0.15617568694849637,0.1309033680481983,0.1109677823224583,5.530799211817493e-25,0.42840677303081953,0.5715932269691805
mom_2y,2753,13520,0.47947626465142396,0.48365331097962283,0.1803696383363631,0.18885281561153688,2.9843259714548265,14.145873636185419,0.10683482462381008,3.4793103043318234e-23,0.48291283097298915,0.5170871690270109
mom_5y,2197,11374,1.5092476657132898,1.2985496518476316,0.5254237288135593,0.6255991130245465,4.309739316371812,3.899386812450723,0.095805548416767,3.694011055337827e-15,0.4822497612718848,0.5177502387281152
dist_from_low_1y,2753,13520,3.488820356945904,0.5307795840492985,0.3663366067070959,0.2991375070620642,95.32887036743294,1.9426856297463655,0.09209630376329636,2.4854075520416648e-17,0.5435427355203684,0.5435427355203684
max_below_200_streak,2753,13520,196.1965128950236,176.30110946745563,185.0,168.0,109.60919695710848,98.39080812265665,0.0906388297220676,8.449001410379522e-17,0.5549072609332046,0.5549072609332046
