tenor,otm,width,cagr,sharpe,dd,n,cred_w
30d,0.05,0.08,0.03853507976102977,1.039085038319625,-0.11064422467140989,386,0.06021164830390328
60d,0.05,0.05,0.08015607395185542,1.0218895636612735,-0.17502241803300767,381,0.11862996761338156
30d,0.03,0.12,0.03762671878558277,1.021503916415562,-0.10795362981320755,386,0.06817177698857985
60d,0.05,0.03,0.08647211187171733,1.0084101849044755,-0.17855376249345833,381,0.134164513274381
30d,0.05,0.05,0.04395411821834916,1.0045981805573851,-0.14938612861443978,386,0.07376867965498869
30d,0.05,0.12,0.03149800601414565,1.0018274405273004,-0.11064422467110058,386,0.04521169029395563
30d,0.03,0.08,0.0465160405448255,0.9829836275894832,-0.1531109046264918,386,0.09369675911717919
60d,0.05,0.12,0.05683016654778905,0.95985952041286,-0.16049076417687103,381,0.08047476135694136
60d,0.03,0.08,0.08132255831553192,0.9540475302209341,-0.19551987284356598,381,0.13886819462623573
30d,0.05,0.03,0.04752903930671892,0.9503310185640771,-0.18887728661901237,386,0.0874974275328014
30d,0.02,0.12,0.03798142590412934,0.9456639363138628,-0.11337552697579911,386,0.07904718370603905
60d,0.02,0.08,0.08412145824440387,0.9415155867288911,-0.23362669475894737,381,0.15175141084146243
60d,0.02,0.12,0.06810335967529113,0.921993594998787,-0.17628502102375299,381,0.11767175317957053
60d,0.05,0.08,0.06682308930179626,0.9198112985208813,-0.16566944984942467,381,0.10180434565690022
60d,0.03,0.12,0.06484856221168678,0.9123553763470968,-0.1689737161358449,381,0.10736187650499336
60d,0.03,0.05,0.08512193879060326,0.8869634777855386,-0.24179609085198273,381,0.15937342353450487
30d,0.02,0.08,0.045599970029796655,0.8816500342720924,-0.17353619497625372,386,0.10800043543599518
83d,0.02,0.08,0.0518741477067306,0.8686614596512027,-0.15184916177673968,193,0.15974576209455066
30d,0.03,0.05,0.04825592018514979,0.8536407905474873,-0.20778037698872787,386,0.11368465797407495
83d,0.03,0.05,0.05224421817458036,0.8352202754772938,-0.1610251166441189,193,0.16732113527833165
83d,0.03,0.08,0.04736861230989753,0.824896471187474,-0.14497637708521616,193,0.14744410226636587
83d,0.02,0.03,0.06274166970427442,0.8216510111262862,-0.20661892011238014,193,0.21764779066248352
60d,0.02,0.05,0.08650470458757509,0.8159646818940568,-0.2963786890307616,381,0.18388773647590148
83d,0.02,0.12,0.04110841903926121,0.7975863759000175,-0.11754881853847898,193,0.125062677086561
60d,0.02,0.03,0.09241221333671246,0.7854150219954967,-0.36835950368650183,381,0.2105796054579599
83d,0.02,0.05,0.05490321254439956,0.783254801069984,-0.18629410715401262,193,0.19146963076997842
83d,0.05,0.03,0.045288657707776014,0.7725543625189272,-0.13770851946326879,193,0.14350945521216366
83d,0.03,0.03,0.05331757537461179,0.7660927670570485,-0.1883294312978009,193,0.1873605515564711
83d,0.03,0.12,0.03679414162023864,0.7301081302502094,-0.11577892538162338,193,0.11467547629310948
83d,0.05,0.05,0.04064138002624085,0.7285239759797479,-0.1359075458631499,193,0.12753541545308703
30d,0.02,0.05,0.047422103573053764,0.7218791876033497,-0.24678288905477597,386,0.14014074610633145
60d,0.03,0.03,0.07648928485892403,0.7070610877028449,-0.32898811506417114,381,0.17937569734617084
83d,0.05,0.12,0.029935681344478438,0.6680888529186823,-0.08976333754273913,193,0.08760536266423301
83d,0.05,0.08,0.03437174118656605,0.657575381000429,-0.1285724701270511,193,0.10986301373102393
30d,0.03,0.03,0.04204874469572517,0.6267379638367433,-0.2598849582833721,386,0.1344515518423676
30d,0.02,0.03,0.04275496499351217,0.5523696036483238,-0.2704170602986483,386,0.1689579348536189
