ticker,date_added
MMM,1957-03-04
AOS,2017-07-26
ABT,1957-03-04
ABBV,2012-12-31
ACN,2011-07-06
ADBE,1997-05-05
AMD,2017-03-20
AES,1998-10-02
AFL,1999-05-28
A,2000-06-05
APD,1985-04-30
ABNB,2023-09-18
AKAM,2007-07-12
ALB,2016-07-01
ARE,2017-03-20
ALGN,2017-06-19
ALLE,2013-12-02
LNT,2016-07-01
ALL,1995-07-13
GOOGL,2006-04-03
GOOG,2014-04-03
MO,1957-03-04
AMZN,2005-11-18
AMCR,2019-06-07
AEE,1991-09-19
AEP,1957-03-04
AXP,1976-06-30
AIG,1980-03-31
AMT,2007-11-19
AWK,2016-03-04
AMP,2005-10-03
AME,2013-09-23
AMGN,1992-01-02
APH,2008-09-30
ADI,1999-10-12
AON,1996-04-23
APA,1997-07-28
APO,2024-12-23
AAPL,1982-11-30
AMAT,1995-03-16
APP,2025-09-22
APTV,2012-12-24
ACGL,2022-11-01
ADM,1957-03-04
ARES,2025-12-11
ANET,2018-08-28
AJG,2016-05-31
AIZ,2007-04-10
T,1983-11-30
ATO,2019-02-15
ADSK,1989-12-01
ADP,1981-03-31
AZO,1997-01-02
AVB,2007-01-10
AVY,1987-12-31
AXON,2023-05-04
BKR,2017-07-07
BALL,1984-10-31
BAC,1976-06-30
BAX,1972-09-30
BDX,1972-09-30
BRK.B,2010-02-16
BBY,1999-06-29
TECH,2021-08-30
BIIB,2003-11-13
BLK,2011-04-04
BX,2023-09-18
XYZ,2025-07-23
BK,1995-03-31
BA,1957-03-04
BKNG,2009-11-06
BSX,1995-02-24
BMY,1957-03-04
AVGO,2014-05-08
BR,2018-06-18
BRO,2021-09-20
BF.B,1982-10-31
BLDR,2023-12-18
BG,2023-03-15
BXP,2006-04-03
CHRW,2007-03-02
CDNS,2017-09-18
CPT,2022-04-04
CPB,1957-03-04
COF,1998-07-01
CAH,1997-05-27
CCL,1998-12-22
CARR,2020-04-03
CVNA,2025-12-22
CASY,2026-04-09
CAT,1957-03-04
CBOE,2017-03-01
CBRE,2006-11-10
CDW,2019-09-23
COR,2001-08-30
CNC,2016-03-30
CNP,1985-07-31
CF,2008-08-27
CRL,2021-05-14
SCHW,1997-06-02
CHTR,2016-09-08
CVX,1957-03-04
CMG,2011-04-28
CB,2010-07-15
CHD,2015-12-29
CIEN,2026-02-09
CI,1976-06-30
CINF,1997-12-18
CTAS,2001-03-01
CSCO,1993-12-01
C,1988-05-31
CFG,2016-01-29
CLX,1969-03-31
CME,2006-08-11
CMS,1957-03-04
KO,1957-03-04
CTSH,2006-11-17
COHR,2026-03-23
COIN,2025-05-19
CL,1957-03-04
CMCSA,2002-11-19
FIX,2025-12-22
CAG,1983-08-31
COP,1957-03-04
ED,1957-03-04
STZ,2005-07-01
CEG,2022-02-02
COO,2016-09-23
CPRT,2018-07-02
GLW,1995-02-27
CPAY,2018-06-20
CTVA,2019-06-03
CSGP,2022-09-19
COST,1993-10-01
CRH,2025-12-22
CRWD,2024-06-24
CCI,2012-03-14
CSX,1957-03-04
CMI,1965-03-31
CVS,1957-03-04
DHR,1998-11-18
DRI,1995-05-31
DDOG,2025-07-09
DVA,2008-07-31
DECK,2024-03-18
DE,1957-03-04
DELL,2024-09-23
DAL,2013-09-11
DVN,2000-08-30
DXCM,2020-05-12
FANG,2018-12-03
DLR,2016-05-18
DG,2012-12-03
DLTR,2011-12-19
D,2016-11-30
DPZ,2020-05-12
DASH,2025-03-24
DOV,1985-10-31
DOW,2019-04-01
DHI,2005-06-22
DTE,1957-03-04
DUK,1976-06-30
DD,2019-06-03
ETN,1957-03-04
EBAY,2002-07-22
SATS,2026-03-23
ECL,1989-01-31
EIX,1957-03-04
EW,2011-04-01
EA,2002-07-22
ELV,2002-07-25
EME,2025-09-22
EMR,1965-03-31
ETR,1957-03-04
EOG,2000-11-02
EPAM,2021-12-14
EQT,2022-10-03
EFX,1997-06-19
EQIX,2015-03-20
EQR,2001-12-03
ERIE,2024-09-23
ESS,2014-04-02
EL,2006-01-05
EG,2017-06-19
EVRG,2018-06-05
ES,2009-07-24
EXC,1957-03-04
EXE,2025-03-24
EXPE,2007-10-02
EXPD,2007-10-10
EXR,2016-01-19
XOM,1957-03-04
FFIV,2010-12-20
FDS,2021-12-20
FICO,2023-03-20
FAST,2008-09-15
FRT,2016-02-01
FDX,1980-12-31
FIS,2006-11-10
FITB,1996-03-29
FSLR,2022-12-19
FE,1997-11-28
FISV,2001-04-02
F,1957-03-04
FTNT,2018-10-11
FTV,2016-07-01
FOXA,2019-03-19
FOX,2019-03-19
BEN,1998-04-30
FCX,2011-07-01
GRMN,2012-12-12
IT,2017-04-05
GE,1957-03-04
GEHC,2023-01-04
GEV,2024-04-02
GEN,2003-03-25
GNRC,2021-03-22
GD,1957-03-04
GIS,1957-03-04
GM,2013-06-06
GPC,1973-12-31
GILD,2004-07-01
GPN,2016-04-25
GL,1989-04-30
GDDY,2024-06-24
GS,2002-07-22
HAL,1957-03-04
HIG,1957-03-04
HAS,1984-09-30
HCA,2015-01-27
DOC,2008-03-31
HSIC,2015-03-17
HSY,1957-03-04
HPE,2015-11-02
HLT,2017-06-19
HD,1988-03-31
HON,1957-03-04
HRL,2009-03-04
HST,2007-03-20
HWM,2016-10-21
HPQ,1974-12-31
HUBB,2023-10-18
HUM,2012-12-10
HBAN,1997-08-28
HII,2018-01-03
IBM,1957-03-04
IEX,2019-08-09
IDXX,2017-01-05
ITW,1986-02-28
INCY,2017-02-28
IR,2020-03-03
PODD,2023-03-15
INTC,1976-12-31
IBKR,2025-08-28
ICE,2007-09-26
IFF,1976-03-31
IP,1957-03-04
INTU,2000-12-05
ISRG,2008-06-02
IVZ,2008-08-21
INVH,2022-09-19
IQV,2017-08-29
IRM,2009-01-06
JBHT,2015-07-01
JBL,2023-12-18
JKHY,2018-11-13
J,2007-10-26
JNJ,1973-06-30
JCI,2010-08-27
JPM,1975-06-30
KVUE,2023-08-25
KDP,2022-06-21
KEY,1994-03-01
KEYS,2018-11-06
KMB,1957-03-04
KIM,2006-04-04
KMI,2012-05-25
KKR,2024-06-24
KLAC,1997-09-30
KHC,2015-07-06
KR,1957-03-04
LHX,2008-09-22
LH,2004-11-01
LRCX,2012-06-29
LVS,2019-10-03
LDOS,2019-08-09
LEN,2005-10-04
LII,2024-12-23
LLY,1970-12-31
LIN,1992-07-01
LYV,2019-12-23
LMT,1957-03-04
L,1995-05-31
LOW,1984-02-29
LULU,2023-10-18
LITE,2026-03-23
LYB,2012-09-05
MTB,2004-02-23
MPC,2011-07-01
MAR,1998-05-29
MRSH,1987-08-31
MLM,2014-07-02
MAS,1981-06-30
MA,2008-07-18
MKC,2003-03-20
MCD,1970-06-30
MCK,1999-01-13
MDT,1986-10-31
MRK,1957-03-04
META,2013-12-23
MET,2000-12-11
MTD,2016-09-06
MGM,2017-07-26
MCHP,2007-09-07
MU,1994-09-27
MSFT,1994-06-01
MAA,2016-12-02
MRNA,2021-07-21
TAP,1976-06-30
MDLZ,2012-10-02
MPWR,2021-02-12
MNST,2012-06-28
MCO,1998-07-01
MS,1993-07-29
MOS,2011-09-26
MSI,1957-03-04
MSCI,2018-04-04
NDAQ,2008-10-22
NTAP,1999-06-25
NFLX,2010-12-20
NEM,1969-06-30
NWSA,2013-08-01
NWS,2015-09-18
NEE,1976-06-30
NKE,1988-11-30
NI,2000-11-02
NDSN,2022-02-15
NSC,1957-03-04
NTRS,1998-01-30
NOC,1957-03-04
NCLH,2017-10-13
NRG,2010-01-29
NUE,1985-04-30
NVDA,2001-11-30
NVR,2019-09-26
NXPI,2021-03-22
ORLY,2009-03-27
OXY,1957-03-04
ODFL,2019-12-09
OMC,1997-12-31
ON,2022-06-21
OKE,2010-03-15
ORCL,1989-08-31
OTIS,2020-04-03
PCAR,1980-12-31
PKG,2017-07-26
PLTR,2024-09-23
PANW,2023-06-20
PSKY,1994-09-30
PH,1985-11-30
PAYX,1998-10-01
PYPL,2015-07-20
PNR,2012-10-01
PEP,1957-03-04
PFE,1957-03-04
PCG,2022-10-03
PM,2008-03-31
PSX,2012-05-01
PNW,1999-10-04
PNC,1988-04-30
POOL,2020-10-07
PPG,1957-03-04
PPL,2001-10-01
PFG,2002-07-22
PG,1957-03-04
PGR,1997-08-04
PLD,2003-07-17
PRU,2002-07-22
PEG,1957-03-04
PTC,2021-04-20
PSA,2005-08-19
PHM,1984-04-30
PWR,2009-07-01
QCOM,1999-07-22
DGX,2002-12-12
Q,2025-11-03
RL,2007-02-02
RJF,2017-03-20
RTX,1957-03-04
O,2015-04-07
REG,2017-03-02
REGN,2013-05-01
RF,1998-08-28
RSG,2008-12-05
RMD,2017-07-26
RVTY,1985-05-31
HOOD,2025-09-22
ROK,2000-03-12
ROL,2018-10-01
ROP,2009-12-23
ROST,2009-12-21
RCL,2014-12-05
SPGI,1957-03-04
CRM,2008-09-15
SNDK,2025-11-28
SBAC,2017-09-01
SLB,1957-03-04
STX,2012-07-02
SRE,2017-03-17
NOW,2019-11-21
SHW,1964-06-30
SPG,2002-06-26
SWKS,2015-03-12
SJM,2008-11-06
SW,2024-07-08
SNA,1982-09-30
SOLV,2024-04-01
SO,1957-03-04
LUV,1994-07-01
SWK,1982-09-30
SBUX,2000-06-07
STT,2003-03-14
STLD,2022-12-22
STE,2019-12-23
SYK,2000-12-12
SMCI,2024-03-18
SYF,2015-11-18
SNPS,2017-03-16
SYY,1986-12-31
TMUS,2019-07-15
TROW,2019-07-29
TTWO,2018-03-19
TPR,2004-09-01
TRGP,2022-10-12
TGT,1976-12-31
TEL,2011-10-17
TDY,2020-06-22
TER,2020-09-21
TSLA,2020-12-21
TXN,2001-03-12
TPL,2024-11-26
TXT,1978-12-31
TMO,2004-08-03
TJX,1985-09-30
TKO,2025-03-24
TTD,2025-07-18
TSCO,2014-01-24
TT,2010-11-17
TDG,2016-06-03
TRV,2002-08-21
TRMB,2021-01-21
TFC,1997-12-04
TYL,2020-06-22
TSN,2005-08-10
USB,1999-11-01
UBER,2023-12-18
UDR,2016-03-07
ULTA,2016-04-18
UNP,1957-03-04
UAL,2015-09-03
UPS,2002-07-22
URI,2014-09-20
UNH,1994-07-01
UHS,2014-09-20
VLO,2002-12-20
VEEV,2026-05-07
VTR,2009-03-04
VLTO,2023-10-02
VRSN,2006-02-01
VRSK,2015-10-08
VZ,1983-11-30
VRTX,2013-09-23
VRT,2026-03-23
VTRS,2004-04-23
VICI,2022-06-08
V,2009-12-21
VST,2024-05-08
VMC,1999-06-30
WRB,2019-12-05
GWW,1981-06-30
WAB,2019-02-27
WMT,1982-08-31
DIS,1976-06-30
WBD,2022-04-11
WM,1998-08-31
WAT,2002-01-02
WEC,2008-10-31
WFC,1976-06-30
WELL,2009-01-30
WST,2020-05-22
WDC,2009-07-01
WY,1979-10-01
WSM,2025-03-24
WMB,1975-03-31
WTW,2016-01-05
WDAY,2024-12-23
WYNN,2008-11-14
XEL,1957-03-04
XYL,2011-11-01
YUM,1997-10-06
ZBRA,2019-12-23
ZBH,2001-08-07
ZTS,2013-06-21
