ticker,status,n_obs,first_date,last_date
0001.HK,ok,6566,2000-01-04,2026-05-08
0002.HK,ok,6566,2000-01-04,2026-05-08
0003.HK,ok,6566,2000-01-04,2026-05-08
0005.HK,ok,6567,2000-01-03,2026-05-08
0006.HK,ok,6566,2000-01-04,2026-05-08
000660.KS,ok,6587,2000-01-04,2026-05-08
0011.HK,empty,0,,
0012.HK,ok,6566,2000-01-04,2026-05-08
0016.HK,ok,6566,2000-01-04,2026-05-08
0017.HK,ok,6566,2000-01-04,2026-05-08
0027.HK,ok,6566,2000-01-04,2026-05-08
003550.KS,ok,5324,2004-11-05,2026-05-08
003670.KS,ok,6109,2001-11-02,2026-05-08
005380.KS,ok,6587,2000-01-04,2026-05-08
005490.KS,ok,6587,2000-01-04,2026-05-08
005930.KS,ok,6587,2000-01-04,2026-05-08
006400.KS,ok,6587,2000-01-04,2026-05-08
0066.HK,ok,6367,2000-10-09,2026-05-08
0083.HK,ok,6566,2000-01-04,2026-05-08
0101.HK,ok,6566,2000-01-04,2026-05-08
010130.KS,ok,6587,2000-01-04,2026-05-08
010950.KS,ok,6587,2000-01-04,2026-05-08
012330.KS,ok,6587,2000-01-04,2026-05-08
0144.HK,ok,6566,2000-01-04,2026-05-08
0175.HK,ok,5079,2005-09-29,2026-05-08
017670.KS,ok,6587,2000-01-04,2026-05-08
0241.HK,ok,5467,2004-03-22,2026-05-08
0267.HK,ok,6566,2000-01-04,2026-05-08
028260.KS,ok,2789,2014-12-18,2026-05-08
0288.HK,ok,2895,2014-08-05,2026-05-08
0291.HK,ok,6566,2000-01-04,2026-05-08
030200.KS,ok,6587,2000-01-04,2026-05-08
032830.KS,ok,3931,2010-05-12,2026-05-08
035420.KS,ok,5852,2002-10-29,2026-05-08
035720.KS,ok,6559,2000-02-11,2026-05-08
036570.KS,ok,6451,2000-07-12,2026-05-08
0386.HK,ok,6359,2000-10-19,2026-05-08
0388.HK,ok,6441,2000-06-27,2026-05-08
041510.KS,ok,6504,2000-04-28,2026-05-08
047810.KS,ok,3648,2011-06-30,2026-05-08
051910.KS,ok,6246,2001-04-25,2026-05-08
055550.KS,ok,6587,2000-01-04,2026-05-08
066570.KS,ok,5986,2002-04-24,2026-05-08
068270.KS,ok,5142,2005-07-19,2026-05-08
0688.HK,ok,6566,2000-01-04,2026-05-08
0700.HK,ok,5405,2004-06-16,2026-05-08
0762.HK,ok,6444,2000-06-22,2026-05-08
0788.HK,ok,1905,2018-08-08,2026-05-08
0823.HK,ok,4564,2007-10-31,2026-05-08
0857.HK,ok,6498,2000-04-07,2026-05-08
086280.KS,ok,5028,2005-12-26,2026-05-08
086790.KS,ok,5819,2002-12-13,2026-05-08
0883.HK,ok,5470,2004-03-17,2026-05-08
090430.KS,ok,4901,2006-06-29,2026-05-08
0939.HK,ok,5060,2005-10-27,2026-05-08
0941.HK,ok,6566,2000-01-04,2026-05-08
096770.KS,ok,4636,2007-07-25,2026-05-08
0992.HK,ok,6510,2000-03-22,2026-05-08
1024.HK,ok,1288,2021-02-05,2026-05-08
1038.HK,ok,6566,2000-01-04,2026-05-08
105560.KS,ok,6072,2001-12-25,2026-05-08
1093.HK,ok,5691,2003-05-13,2026-05-08
1109.HK,ok,6566,2000-01-04,2026-05-08
1113.HK,ok,2692,2015-06-03,2026-05-08
1177.HK,ok,5430,2004-05-12,2026-05-08
1211.HK,ok,5895,2002-07-31,2026-05-08
1299.HK,ok,3822,2010-10-29,2026-05-08
1398.HK,ok,4811,2006-10-27,2026-05-08
1810.HK,ok,1927,2018-07-09,2026-05-08
1876.HK,ok,1623,2019-09-30,2026-05-08
1928.T,ok,6573,2000-01-04,2026-05-08
1929.HK,ok,3541,2011-12-15,2026-05-08
1997.HK,ok,2083,2017-11-15,2026-05-08
2007.HK,ok,4695,2007-04-20,2026-05-08
2018.HK,ok,5115,2005-08-09,2026-05-08
2020.HK,ok,4642,2007-07-10,2026-05-08
207940.KS,ok,2321,2016-11-11,2026-05-08
2269.HK,ok,2192,2017-06-13,2026-05-08
2313.HK,ok,5040,2005-11-24,2026-05-08
2318.HK,ok,5399,2004-06-24,2026-05-08
2319.HK,ok,5409,2004-06-10,2026-05-08
2331.HK,ok,5397,2004-06-28,2026-05-08
2382.HK,ok,4657,2007-06-15,2026-05-08
2388.HK,ok,5899,2002-07-25,2026-05-08
2502.T,ok,6573,2000-01-04,2026-05-08
2503.T,ok,6573,2000-01-04,2026-05-08
2628.HK,ok,5534,2003-12-18,2026-05-08
2688.HK,ok,6214,2001-05-10,2026-05-08
2802.T,ok,6573,2000-01-04,2026-05-08
2899.HK,ok,5531,2003-12-23,2026-05-08
2914.T,ok,6573,2000-01-04,2026-05-08
