ticker,status,n_obs,first_date,last_date
AABA,empty,0,,
AAMRQ,empty,0,,
AAP,ok,6149,2001-11-29,2026-05-08
ABC,empty,0,,
ABI,ok,219,2025-06-26,2026-05-08
ABKFQ,empty,0,,
ABMD,empty,0,,
ABS,ok,194,2018-08-28,2019-06-07
ABX,ok,1420,2020-09-14,2026-05-08
ACAS,empty,0,,
ACKH,empty,0,,
ACS,empty,0,,
ACV,ok,2758,2015-05-21,2026-05-08
ADCT,ok,1502,2020-05-18,2026-05-08
ADS,empty,0,,
AET,ok,5781,1995-12-14,2018-11-29
AFS.A,empty,0,,
AGC,empty,0,,
AGN,empty,0,,
AHM,empty,0,,
AIV,ok,8003,1994-07-22,2026-05-08
AKS,empty,0,,
ALTR,empty,0,,
ALXN,empty,0,,
AMCC,empty,0,,
AMTM,ok,407,2024-09-24,2026-05-08
ANDV,ok,11503,1972-07-13,2018-10-01
ANDW,empty,0,,
ANF,ok,7451,1996-09-26,2026-05-08
ANRZQ,empty,0,,
ANSS,empty,0,,
ANTM,empty,0,,
ANV,ok,66,2026-02-04,2026-05-08
APC,ok,60,2026-02-12,2026-05-08
APCC,empty,0,,
APOL,empty,0,,
ARC,empty,0,,
ARG,empty,0,,
ARNC,empty,0,,
AS,ok,569,2024-02-01,2026-05-08
ASC,ok,3212,2013-08-01,2026-05-08
ASN,empty,0,,
ASND,ok,2837,2015-01-28,2026-05-08
ASO,ok,1406,2020-10-02,2026-05-08
AT,empty,0,,
ATGE,empty,0,,
ATVI,empty,0,,
AV,too_short,3,2026-05-06,2026-05-08
AVP,empty,0,,
AW,empty,0,,
AWE,empty,0,,
AYE,empty,0,,
AZA.A,empty,0,,
BAY,too_short,3,2026-05-06,2026-05-08
BBI,empty,0,,
BCR,empty,0,,
BDK,empty,0,,
BEAM,ok,1572,2020-02-06,2026-05-08
BEV,empty,0,,
BF.B,empty,0,,
BFI,empty,0,,
BFO,empty,0,,
BGEN,empty,0,,
BGG,empty,0,,
BHGE,empty,0,,
BHMSQ,empty,0,,
BIG,empty,0,,
BJS,empty,0,,
BKB,empty,0,,
BLL,empty,0,,
BLS,empty,0,,
BLY,too_short,2,2016-01-27,2016-09-28
BMC,ok,2439,2012-06-18,2022-03-02
BMET,empty,0,,
BMGCA,empty,0,,
BMS,ok,11723,1972-06-05,2019-06-10
BNI,empty,0,,
BNL,ok,1417,2020-09-17,2026-05-08
BOAT,ok,1196,2021-08-04,2026-05-08
