ticker,status,n_obs,first_date,last_date
SPY,ok,8376,1993-01-29,2026-05-08
QQQ,ok,6834,1999-03-10,2026-05-08
DIA,ok,7120,1998-01-20,2026-05-08
IWM,ok,6526,2000-05-26,2026-05-08
IWB,ok,6531,2000-05-19,2026-05-08
IWV,ok,6526,2000-05-26,2026-05-08
MDY,ok,7805,1995-05-04,2026-05-08
VTI,ok,6261,2001-06-15,2026-05-08
RSP,ok,5793,2003-05-01,2026-05-08
USMV,ok,3658,2011-10-20,2026-05-08
MTUM,ok,3285,2013-04-18,2026-05-08
QUAL,ok,3222,2013-07-18,2026-05-08
VLUE,ok,3285,2013-04-18,2026-05-08
SIZE,ok,3285,2013-04-18,2026-05-08
XLK,ok,6886,1998-12-22,2026-05-08
XLF,ok,6886,1998-12-22,2026-05-08
XLE,ok,6886,1998-12-22,2026-05-08
XLV,ok,6886,1998-12-22,2026-05-08
XLI,ok,6886,1998-12-22,2026-05-08
XLP,ok,6886,1998-12-22,2026-05-08
XLY,ok,6886,1998-12-22,2026-05-08
XLU,ok,6886,1998-12-22,2026-05-08
XLB,ok,6886,1998-12-22,2026-05-08
XLRE,ok,2661,2015-10-08,2026-05-08
XLC,ok,1983,2018-06-19,2026-05-08
SMH,ok,6521,2000-06-05,2026-05-08
SOXX,ok,6242,2001-07-13,2026-05-08
IBB,ok,6347,2001-02-12,2026-05-08
XBI,ok,5096,2006-02-06,2026-05-08
ITB,ok,5034,2006-05-05,2026-05-08
KBE,ok,5151,2005-11-15,2026-05-08
KRE,ok,5001,2006-06-22,2026-05-08
OIH,ok,6338,2001-02-26,2026-05-08
GDX,ok,5023,2006-05-22,2026-05-08
EFA,ok,6211,2001-08-27,2026-05-08
VEA,ok,4727,2007-07-26,2026-05-08
IEFA,ok,3403,2012-10-24,2026-05-08
VXUS,ok,3842,2011-01-28,2026-05-08
ACWI,ok,4558,2008-03-28,2026-05-08
ACWX,ok,4556,2008-04-01,2026-05-08
VT,ok,4495,2008-06-26,2026-05-08
EEM,ok,5805,2003-04-14,2026-05-08
VWO,ok,5325,2005-03-10,2026-05-08
IEMG,ok,3403,2012-10-24,2026-05-08
EMXC,ok,2209,2017-07-26,2026-05-08
FM,ok,3100,2012-09-12,2025-01-08
EWJ,ok,7585,1996-03-18,2026-05-08
EWG,ok,7585,1996-03-18,2026-05-08
EWU,ok,7585,1996-03-18,2026-05-08
MCHI,ok,3799,2011-03-31,2026-05-08
FXI,ok,5430,2004-10-08,2026-05-08
EWZ,ok,6493,2000-07-14,2026-05-08
INDA,ok,3586,2012-02-03,2026-05-08
EWA,ok,7585,1996-03-18,2026-05-08
EWC,ok,7585,1996-03-18,2026-05-08
EWY,ok,6536,2000-05-12,2026-05-08
EWT,ok,6507,2000-06-23,2026-05-08
EWH,ok,7585,1996-03-18,2026-05-08
EWS,ok,7585,1996-03-18,2026-05-08
AGG,ok,5689,2003-09-29,2026-05-08
TLT,ok,5983,2002-07-30,2026-05-08
IEF,ok,5983,2002-07-30,2026-05-08
SHY,ok,5983,2002-07-30,2026-05-08
LQD,ok,5983,2002-07-30,2026-05-08
HYG,ok,4801,2007-04-11,2026-05-08
TIP,ok,5641,2003-12-05,2026-05-08
EMB,ok,4625,2007-12-19,2026-05-08
BND,ok,4802,2007-04-10,2026-05-08
GLD,ok,5401,2004-11-18,2026-05-08
SLV,ok,5039,2006-04-28,2026-05-08
USO,ok,5052,2006-04-10,2026-05-08
VNQ,ok,5437,2004-09-29,2026-05-08
REET,ok,2976,2014-07-10,2026-05-08
DBC,ok,5096,2006-02-06,2026-05-08
