name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits
22_fallback_tlt,0.40267298748555014,0.1194382410561079,28.323474642944223,1.0049476831406066,-0.44491228273912364,0,0.5015715115302177,0.5045679027332499,0.17380293998300544,0.8252962730162461,1.0835717274449161,0.6750424274665263,-0.3807806041871994,-0.44491228273912387,35.35113141907831,10,10,10
13_cashyield3,0.39417707849568173,0.1194382410561079,27.473883743957384,1.0000975258962068,-0.44878062284547626,51,0.4910393175684168,0.5006436267505422,0.11715915992927783,0.8292915181402309,1.076265974948028,0.5522294830698906,-0.3634023438687717,-0.44878062284547626,34.29791202289821,10,10,10
15_ts25,0.3866985629590656,0.1194382410561079,26.72603219029577,0.9865733293509117,-0.45013673399731885,54,0.4908890253181625,0.5081458710515019,0.09536005932665903,0.8078628865777895,1.0680038292440694,0.4736153894548071,-0.3579781636661696,-0.45013673399731885,34.28288279787279,10,10,10
00_exp01_winner,0.38635685306490175,0.1194382410561079,26.691861200879387,0.9853464772075993,-0.4501367339973188,51,0.4827872556540348,0.49335896015016156,0.09536005932665903,0.8277901438686279,1.0578188192355644,0.4736153894548071,-0.3641154213690296,-0.45013673399731885,33.47270583146002,10,10,10
20_smartreentry,0.38635685306490175,0.1194382410561079,26.691861200879387,0.9853464772075993,-0.4501367339973188,51,0.4827872556540348,0.49335896015016156,0.09536005932665903,0.8277901438686279,1.0578188192355644,0.4736153894548071,-0.3641154213690296,-0.45013673399731885,33.47270583146002,10,10,10
21_sticky1,0.38635685306490175,0.1194382410561079,26.691861200879387,0.9853464772075993,-0.4501367339973188,51,0.4827872556540348,0.49335896015016156,0.09536005932665903,0.8277901438686279,1.0578188192355644,0.4736153894548071,-0.3641154213690296,-0.45013673399731885,33.47270583146002,10,10,10
24_conv_k2,0.38626629450307615,0.1194382410561079,26.682805344696824,0.9853707069232102,-0.4500327082050606,51,0.4826660056271198,0.49322829493835696,0.09536478623831157,0.8278907591881994,1.057839858509579,0.47365138857452777,-0.3640392788488026,-0.4500327082050607,33.46058082876852,10,10,10
25_softmax_k2,0.3814126648576499,0.1194382410561079,26.1974423801542,0.9867819273918126,-0.443697269922321,51,0.4760358943860698,0.4860130783348885,0.09298748733281537,0.8214968968324667,1.0588845788366448,0.4704701745509326,-0.3580624319590758,-0.44369726992232106,32.797569704663516,10,10,10
11_volp5,0.3718978196268323,0.1194382410561079,25.245957857072444,0.9580669750094258,-0.4501367339973187,51,0.4732960756616878,0.4788022095313851,0.09536005932665903,0.8277901438686279,1.0395588521664663,0.4736153894548071,-0.36810296444652657,-0.45013673399731885,32.52358783222532,10,10,10
15_ts20,0.3760963902001535,0.1194382410561079,25.66581491440456,0.9734857081531693,-0.4501367339973188,58,0.47015098951035245,0.48476606805090927,0.09536005932665903,0.7487776223652864,1.048149120287508,0.4736153894548071,-0.35613131006279025,-0.45013673399731885,32.20907921709178,10,10,10
15_ts30,0.3780792241055144,0.1194382410561079,25.864098304940654,0.9707594884069481,-0.45013673399731874,53,0.4659682825615191,0.47232761807906143,0.09536005932665903,0.8151572453182452,1.0359549041592255,0.4736153894548071,-0.3679639410911715,-0.45013673399731885,31.790808522208454,10,10,10
14_dderisk20,0.37323128834633734,0.1194382410561079,25.379304729022945,0.97655252644248,-0.38916102206521347,51,0.46434465573723066,0.4482974641465092,0.07891488728258511,0.8178651827218073,1.055584384203941,0.41710490789843707,-0.3302910914070075,-0.3891610220652134,31.628445839779612,10,10,10
15_ts15,0.3720143208898099,0.1194382410561079,25.2576079833702,0.9730911364190433,-0.4782654147384692,60,0.4594831682626316,0.48476606805090927,0.00991534526039417,0.7427522467730987,1.0120127395723735,0.14580888891260305,-0.3677071006908204,-0.4782654147384693,31.1422970923197,10,10,10
11_volp10,0.36004431016983474,0.1194382410561079,24.060606911372684,0.9387807293423787,-0.45013673399731885,51,0.45558713737297146,0.4546862431709823,0.09536005932665903,0.8277901438686279,1.01853736217116,0.4736153894548071,-0.3793306487671063,-0.45013673399731885,30.752694003353678,10,10,10
15_ts10,0.37534350473327316,0.1194382410561079,25.590526367716528,0.9761308343979122,-0.47826541473846923,66,0.4521526581832638,0.4739901983893605,0.09440329023352967,0.71796542786723,1.022477542154852,0.4701460353918721,-0.3554828577214994,-0.4782654147384693,30.40924608438292,10,10,10
21_sticky2,0.37054897430774036,0.1194382410561079,25.111073325163247,0.9862475960453934,-0.4774342692800109,64,0.4520804152132835,0.4634407295733667,0.10712268231836464,0.7588128968865793,1.0579571515897537,0.5338285756328202,-0.36532049066568983,-0.47743426928001104,30.402021787384882,10,10,10
17_spdd20,0.35972502447935195,0.1194382410561079,24.028678342324405,0.9831514797321298,-0.44014456641007466,51,0.44973284194375507,0.4555107586808709,0.08851795975446208,0.7488543559021654,1.057137220833176,0.45645222971214106,-0.35398481526226544,-0.44014456641007493,30.16726446043205,10,10,10
25_softmax_k3,0.34926929917480987,0.1194382410561079,22.983105811870196,0.9630285311781442,-0.4087692816917624,51,0.44292656399375846,0.43780403269234724,0.09352254293118367,0.8577194103241246,1.0469765268203393,0.4801433240560079,-0.33036059795433265,-0.4087692816917626,29.486636665432382,10,10,10
11_volp20,0.3383125689433235,0.1194382410561079,21.88743278872156,0.9120317498841046,-0.4501367339973188,51,0.4400696136504445,0.4358264735563171,0.09536005932665903,0.8277901438686279,1.0057115262261798,0.4736153894548071,-0.3812439947692305,-0.45013673399731885,29.20094163110099,10,10,10
17_spdd15,0.3506787459860137,0.1194382410561079,23.124050492990577,0.9812277968662856,-0.4367908311308954,51,0.43858288140877166,0.4427355739469785,0.08620907175938575,0.7230459315482409,1.0559696536320013,0.45031817844735494,-0.3505831003220178,-0.43679083113089545,29.052268406933706,10,10,10
12_halfcash,0.33836068096881555,0.1194382410561079,21.892243991270767,0.9750801651104172,-0.42502870829691575,51,0.42944060461515904,0.4459742120829471,0.07891488728258511,0.6563200323027285,1.0644303473277743,0.41710490789843707,-0.3550333151700348,-0.4250287082969157,28.138040727572445,10,10,10
14_dderisk10,0.33614598324182876,0.1194382410561079,21.670774218572085,0.9341916094873569,-0.3911010383333488,51,0.4227606483536876,0.4440545765015732,0.10233835842253947,0.6590682810901236,1.020834516642482,0.5107844893285518,-0.3256780045691162,-0.3911010383333488,27.470045101425303,10,10,10
14_dderisk15,0.34614607500575967,0.1194382410561079,22.670783394965177,0.9729880153737996,-0.39110103833334875,51,0.42118172644030133,0.36409776888909695,0.10233835842253947,0.7845955421971855,1.0437523151145016,0.5107844893285518,-0.32987481845464334,-0.3911010383333488,27.312152910086677,10,9,10
17_spdd10,0.33233054009017127,0.1194382410561079,21.289229903406337,0.9750751560942651,-0.43004878092928506,51,0.4160826056794885,0.41693750999014445,0.08154949749051332,0.6721775000013279,1.0517272608564392,0.43738843312491776,-0.3443381517046904,-0.4300487809292849,26.802240834005396,10,10,10
