name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,scorer,k,hold,regime,weighting
ml_3plus6|k1|h1|tight|ew,0.2805677810462357,0.1194382410561079,16.11295399901278,0.6820821327884938,-0.9506074896280379,12,0.3366941310675321,0.3931030906795163,-0.22165987017063538,0.8329815034416332,0.8334863844722078,0.2213058077479898,-0.5317600041830697,-0.9296230700776247,18.863393372809746,9,9,10,ml_3plus6,1,1,tight,ew
ml_3plus6|k1|h1|tight|invvol,0.2805677810462357,0.1194382410561079,16.11295399901278,0.6820821327884938,-0.9506074896280379,12,0.3366941310675321,0.3931030906795163,-0.22165987017063538,0.8329815034416332,0.8334863844722078,0.2213058077479898,-0.5317600041830697,-0.9296230700776247,18.863393372809746,9,9,10,ml_3plus6,1,1,tight,invvol
ml_3plus6|k1|h1|strict_dd|ew,0.3485775250586376,0.1194382410561079,22.91392840025297,0.9067392556576402,-0.5889299989557795,42,0.3964640350351479,0.4176295794672915,-0.013727829222416998,0.7490839318777482,0.9109535755511917,0.1492058263580023,-0.3818245108491841,-0.5098902864952333,24.840383769571325,9,9,10,ml_3plus6,1,1,strict_dd,ew
ml_3plus6|k1|h1|strict_dd|invvol,0.3485775250586376,0.1194382410561079,22.91392840025297,0.9067392556576402,-0.5889299989557795,42,0.3964640350351479,0.4176295794672915,-0.013727829222416998,0.7490839318777482,0.9109535755511917,0.1492058263580023,-0.3818245108491841,-0.5098902864952333,24.840383769571325,9,9,10,ml_3plus6,1,1,strict_dd,invvol
ml_3plus6|k1|h1|safer|ew,0.3602685471495499,0.1194382410561079,24.083030609344203,0.947199587938159,-0.462806057338417,51,0.3942368442913482,0.411482695711323,0.20257046049556848,0.7490839318777482,0.9506085423041629,0.6300943546277163,-0.35203805389718795,-0.44840266706708065,24.617664695191355,10,10,10,ml_3plus6,1,1,safer,ew
ml_3plus6|k1|h1|safer|invvol,0.3602685471495499,0.1194382410561079,24.083030609344203,0.947199587938159,-0.462806057338417,51,0.3942368442913482,0.411482695711323,0.20257046049556848,0.7490839318777482,0.9506085423041629,0.6300943546277163,-0.35203805389718795,-0.44840266706708065,24.617664695191355,10,10,10,ml_3plus6,1,1,safer,invvol
ml_3plus6|k1|h1|combo|ew,0.26896256310587185,0.1194382410561079,14.952432204976397,0.6684559648805655,-0.9297218090979545,31,0.3254972140694347,0.3796109323593396,-0.20273120818633528,0.5870054947285435,0.8217597593662473,0.22497322416085683,-0.4840612250389345,-0.9162088599967441,17.743701673000004,9,9,10,ml_3plus6,1,1,combo,ew
ml_3plus6|k1|h1|combo|invvol,0.26896256310587185,0.1194382410561079,14.952432204976397,0.6684559648805655,-0.9297218090979545,31,0.3254972140694347,0.3796109323593396,-0.20273120818633528,0.5870054947285435,0.8217597593662473,0.22497322416085683,-0.4840612250389345,-0.9162088599967441,17.743701673000004,9,9,10,ml_3plus6,1,1,combo,invvol
ml_3plus6|k1|h2|tight|ew,0.23359744798374416,0.1194382410561079,11.415920692763626,0.61449710516834,-0.9634217050163438,9,0.3402044875782662,0.27303554432980437,-0.18785166661062114,1.0058362723561962,0.7723037615413837,0.2785852197869352,-0.5349866586891514,-0.9355764166553401,19.214429023883163,9,8,10,ml_3plus6,1,2,tight,ew
ml_3plus6|k1|h2|tight|invvol,0.23359744798374416,0.1194382410561079,11.415920692763626,0.61449710516834,-0.9634217050163438,9,0.3402044875782662,0.27303554432980437,-0.18785166661062114,1.0058362723561962,0.7723037615413837,0.2785852197869352,-0.5349866586891514,-0.9355764166553401,19.214429023883163,9,8,10,ml_3plus6,1,2,tight,invvol
ml_3plus6|k1|h2|strict_dd|ew,0.2622902008077159,0.1194382410561079,14.285195975160804,0.7659198054538101,-0.57201797922216,38,0.2858373744563559,0.2606449210283158,0.07545782024132808,0.5783781802906796,0.8248517725804113,0.38302622045400353,-0.39195833552776876,-0.5223946053467238,13.777717711692125,10,9,10,ml_3plus6,1,2,strict_dd,ew
ml_3plus6|k1|h2|strict_dd|invvol,0.2622902008077159,0.1194382410561079,14.285195975160804,0.7659198054538101,-0.57201797922216,38,0.2858373744563559,0.2606449210283158,0.07545782024132808,0.5783781802906796,0.8248517725804113,0.38302622045400353,-0.39195833552776876,-0.5223946053467238,13.777717711692125,10,9,10,ml_3plus6,1,2,strict_dd,invvol
ml_3plus6|k1|h2|safer|ew,0.25864941180044654,0.1194382410561079,13.921117074433864,0.7751801963962247,-0.5223946053467237,44,0.2709415597446525,0.22902788492729764,0.09177224030838516,0.5783781802906796,0.8032383556281593,0.42750852598082334,-0.3715003626707186,-0.5223946053467238,12.28813624052179,10,9,10,ml_3plus6,1,2,safer,ew
ml_3plus6|k1|h2|safer|invvol,0.25864941180044654,0.1194382410561079,13.921117074433864,0.7751801963962247,-0.5223946053467237,44,0.2709415597446525,0.22902788492729764,0.09177224030838516,0.5783781802906796,0.8032383556281593,0.42750852598082334,-0.3715003626707186,-0.5223946053467238,12.28813624052179,10,9,10,ml_3plus6,1,2,safer,invvol
ml_3plus6|k1|h2|combo|ew,0.14155002898903368,0.1194382410561079,2.2111787932925786,0.4872534099140771,-0.9596418112020155,22,0.16861551864390084,0.1757537370889285,-0.2762698871881286,0.48638794608684366,0.635886754313435,0.14883694601874944,-0.4907362570893693,-0.940521309963479,2.055532130446623,8,6,10,ml_3plus6,1,2,combo,ew
ml_3plus6|k1|h2|combo|invvol,0.14155002898903368,0.1194382410561079,2.2111787932925786,0.4872534099140771,-0.9596418112020155,22,0.16861551864390084,0.1757537370889285,-0.2762698871881286,0.48638794608684366,0.635886754313435,0.14883694601874944,-0.4907362570893693,-0.940521309963479,2.055532130446623,8,6,10,ml_3plus6,1,2,combo,invvol
ml_3plus6|k1|h3|tight|ew,0.32052532500073294,0.1194382410561079,20.108708394462504,0.7310410992512363,-0.7983221324544179,5,0.20231806767931815,0.14300699538868966,0.0009163974726076329,0.8208470832761212,0.5545013283348896,0.27011913889872924,-0.5400674037357792,-0.7208605850609641,5.4257870339883585,10,4,10,ml_3plus6,1,3,tight,ew
ml_3plus6|k1|h3|tight|invvol,0.32052532500073294,0.1194382410561079,20.108708394462504,0.7310410992512363,-0.7983221324544179,5,0.20231806767931815,0.14300699538868966,0.0009163974726076329,0.8208470832761212,0.5545013283348896,0.27011913889872924,-0.5400674037357792,-0.7208605850609641,5.4257870339883585,10,4,10,ml_3plus6,1,3,tight,invvol
ml_3plus6|k1|h3|strict_dd|ew,0.3215502556834531,0.1194382410561079,20.21120146273452,0.675114543113505,-0.5751099068163039,30,0.24921591504424495,0.19468370010156544,-0.14695354521317106,0.6528274533397134,0.5574046328384611,-0.3280820413150984,-0.43970003203689706,-0.5751099068163039,10.115571770481036,9,8,10,ml_3plus6,1,3,strict_dd,ew
