name,cagr,sharpe,max_dd,n_months,cash_months,equity_months,final_equity
R1_mom12_1_K3,0.073435794959267,0.391978000325253,-0.7849941125729336,244,0,244,4.224547095125612
R2_mom_lowvol_K3,0.05822092144179125,0.37682943989924667,-0.7044125115877633,244,0,244,3.160232125020525
R3_mom_qual_K3,0.0802270763465236,0.47817164552618646,-0.7294714248360945,244,0,244,4.802560708213658
R4_mom_qual_regime_K3,0.06794187786555783,0.46153448401945174,-0.5159536191184007,244,20,224,3.8059950089864993
R5_mom_qual_regime_ivw_K3,0.06902513254123765,0.4681499983175265,-0.5278046236999221,244,20,224,3.8852677068872468
R6_gbm_pred_K3,-0.048298870286366924,0.05407143912821159,-0.9381534663249335,244,20,224,0.3654645232619923
R7_gbm_pred_ivw_K3,-0.041074102926780265,0.06677597491829125,-0.9279882003742619,244,20,224,0.4262155583470055
R8_gbm_lowvol_ivw_K3,-0.026851861831840962,-0.05048482897822088,-0.6875193392947101,244,20,224,0.5749615117957625
R1_mom12_1_K5,0.09782819931166453,0.5009500773875112,-0.7529994455038121,244,0,244,6.671125366355474
R2_mom_lowvol_K5,0.0769156349166964,0.4987639143243704,-0.6034377222218396,244,0,244,4.5119146049349075
R3_mom_qual_K5,0.08597057464027125,0.5371463875520193,-0.7042378717924762,244,0,244,5.349343776157051
R4_mom_qual_regime_K5,0.08075535737877915,0.5595117382047121,-0.5156225240828511,244,20,224,4.850543530517832
R5_mom_qual_regime_ivw_K5,0.08267724313937941,0.5746679364449331,-0.51736069057664,244,20,224,5.028979180840612
R6_gbm_pred_K5,-0.05865869151021785,-0.043525286470488984,-0.8878935357004746,244,20,224,0.29254412472701774
R7_gbm_pred_ivw_K5,-0.062050447277822496,-0.06391248275595279,-0.8913664227659236,244,20,224,0.27184171802610596
R8_gbm_lowvol_ivw_K5,-0.01885986621057001,-0.019548938844073785,-0.6621428234621917,244,20,224,0.6789917545929028
R1_mom12_1_K10,0.08198414580281432,0.4682297170927928,-0.6871254734948371,244,0,244,4.96392154289784
R2_mom_lowvol_K10,0.09171494018864323,0.6173896611642486,-0.5887034056913587,244,0,244,5.9550876557309325
R3_mom_qual_K10,0.09290579817377975,0.6199782482349027,-0.6227961889553166,244,0,244,6.088572901930466
R4_mom_qual_regime_K10,0.08666746823191973,0.6539102769349225,-0.36508500781769737,244,20,224,5.419578807950773
R5_mom_qual_regime_ivw_K10,0.08948488579775016,0.6782456024046183,-0.36184103956516334,244,20,224,5.7125664485088965
R6_gbm_pred_K10,-0.02825972568923374,0.01871417540685268,-0.7907712279177367,244,20,224,0.5582826368866478
R7_gbm_pred_ivw_K10,-0.02809067443368607,0.0007889141584423612,-0.7653517864952311,244,20,224,0.560260796854001
R8_gbm_lowvol_ivw_K10,0.015323032765593103,0.1787396605347765,-0.5327436522644244,244,20,224,1.362342105675663
R1_mom12_1_K20,0.08530199594597532,0.512958520332487,-0.6848450711476959,244,0,244,5.282776469492321
R2_mom_lowvol_K20,0.09917264694134587,0.708844576137763,-0.5675763925251733,244,0,244,6.839224895107263
R3_mom_qual_K20,0.10583804535692076,0.7511205091778922,-0.5239806392331585,244,0,244,7.7338258749497495
R4_mom_qual_regime_K20,0.09774551666766329,0.7923070485460096,-0.26523686002992,244,20,224,6.660916641429859
R5_mom_qual_regime_ivw_K20,0.09972262222847217,0.8219474400374931,-0.2581268014261996,244,20,224,6.90914380455069
R6_gbm_pred_K20,0.0052072250173083034,0.13795524721567726,-0.6771084540273347,244,20,224,1.1113833761344951
R7_gbm_pred_ivw_K20,0.002885733657766343,0.11870482688041353,-0.6551659602521622,244,20,224,1.0603426222146344
R8_gbm_lowvol_ivw_K20,0.022784152530834323,0.230264686079089,-0.47887798326291975,244,20,224,1.581033729540538
R1_mom12_1_K30,0.09110590316530742,0.5717066701877701,-0.6532972991348956,244,0,244,5.887899796539618
R2_mom_lowvol_K30,0.10043451861455432,0.7389006125737073,-0.5495448119660058,244,0,244,7.000657553113875
R3_mom_qual_K30,0.10845301334021706,0.7980253347711653,-0.47035551506136897,244,0,244,8.114308774648428
R4_mom_qual_regime_K30,0.09931354422249394,0.8378249178219305,-0.23329437908830186,244,20,224,6.857072929608513
R5_mom_qual_regime_ivw_K30,0.1007814912094489,0.8666022880604531,-0.22191896317617743,244,20,224,7.0456772559541845
R6_gbm_pred_K30,0.010158882589854645,0.15400066480746466,-0.6128016226592679,244,20,224,1.2281657164261974
R7_gbm_pred_ivw_K30,0.010222048031595099,0.1502154524411528,-0.5756455228999681,244,20,224,1.2297282089034058
R8_gbm_lowvol_ivw_K30,0.02821253508873922,0.27346195529036904,-0.42451965380235246,244,20,224,1.7607006054814425
