date,equity,ret_m,regime,n_picks,gross,picks,weights_csv
2003-09-30,1.0259381322487064,0.02696509734605252,bull,3,1.0,"CSX,SRE,NI","0.3235,0.3363,0.3402"
2003-10-31,1.055725713082712,0.02903448063550921,recovery,3,1.0,"CSX,SRE,NI","0.3235,0.3363,0.3402"
2003-11-28,1.122060177668831,0.06283304817159649,recovery,3,1.0,"CSX,SRE,NI","0.3235,0.3363,0.3402"
2003-12-31,1.0789109372051402,-0.03845537104198534,recovery,3,1.0,"CSX,SRE,NI","0.3235,0.3363,0.3402"
2004-01-30,1.098632312503731,0.018278965036426318,recovery,3,1.0,"CSX,SRE,NI","0.3235,0.3363,0.3402"
2004-02-27,1.080739539702062,-0.01628640683332188,recovery,3,1.0,"CSX,SRE,NI","0.3235,0.3363,0.3402"
2004-03-31,1.0248349079308023,-0.0507789055424854,bull,3,1.0000000000000002,"AAPL,MO,NVDA","0.3262,0.4774,0.1963"
2004-04-30,1.0176678165878967,-0.006993410633695509,bull,3,1.0000000000000002,"AAPL,MO,NVDA","0.3262,0.4774,0.1963"
2004-05-31,1.073557546689199,0.05491942379458643,recovery,3,1.0000000000000002,"AAPL,MO,NVDA","0.3262,0.4774,0.1963"
2004-06-30,0.9943127338039034,-0.07381515143709139,recovery,3,1.0000000000000002,"AAPL,MO,NVDA","0.3262,0.4774,0.1963"
2004-07-30,0.9918636093026786,-0.0024631329942393855,normal,3,1.0000000000000002,"AAPL,MO,NVDA","0.3262,0.4774,0.1963"
2004-08-31,1.0522990944815913,0.06093124559877897,normal,3,1.0000000000000002,"AAPL,MO,NVDA","0.3262,0.4774,0.1963"
2004-09-30,1.1222395807137069,0.06753198738689603,normal,3,1.0,"AAPL,NI,NEE","0.1438,0.4070,0.4492"
2004-10-29,1.1898883655092545,0.06028016295105659,normal,3,1.0,"AAPL,NI,NEE","0.1438,0.4070,0.4492"
2004-11-30,1.2387180900812915,0.041037231716387595,recovery,3,1.0,"AAPL,NI,NEE","0.1438,0.4070,0.4492"
2004-12-31,1.29518223557694,0.04558272455029927,recovery,3,1.0,"AAPL,NI,NEE","0.1438,0.4070,0.4492"
2005-01-31,1.3408237379971926,0.03523944443225124,normal,3,1.0,"AAPL,NI,NEE","0.1438,0.4070,0.4492"
